,dropoutFn,nlayers,learningrate,nstart,layerForm,dR,activationFn,testAccuracy,valAccuracy
50,<function dropout at 0x7fa1df404a60>,4,10.0,512,cone,0.0,3,0.1473136842250824,0.14695339947938918
51,<function dropout at 0x7fa1df404a60>,4,10.0,512,cone,0.5,3,0.1473136842250824,0.1469534009695053
52,<function dropout at 0x7fa1df404a60>,4,10.0,1024,cone,0.0,3,0.1473136991262436,0.1469534024596214
53,<function dropout at 0x7fa1df404a60>,4,10.0,1024,cone,0.5,3,0.1473136842250824,0.14695339798927307
54,<function dropout at 0x7fa1df404a60>,4,1.0,256,cone,0.0,3,0.1473136842250824,0.14695339798927307
55,<function dropout at 0x7fa1df404a60>,4,1.0,256,cone,0.5,3,0.1473136842250824,0.14695339649915695
56,<function dropout at 0x7fa1df404a60>,4,1.0,512,cone,0.0,3,0.1473136842250824,0.14695339649915695
57,<function dropout at 0x7fa1df404a60>,4,1.0,512,cone,0.5,3,0.1473136991262436,0.14695339798927307
58,<function dropout at 0x7fa1df404a60>,4,1.0,1024,cone,0.0,3,0.1473136991262436,0.14695339947938918
59,<function dropout at 0x7fa1df404a60>,4,1.0,1024,cone,0.5,3,0.1473136991262436,0.14695339351892472
60,<function dropout at 0x7fa1df404a60>,4,0.1,256,cone,0.0,3,0.965337872505188,0.9487455189228059
61,<function dropout at 0x7fa1df404a60>,4,0.1,256,cone,0.5,3,0.9376083016395569,0.9100358605384828
62,<function dropout at 0x7fa1df404a60>,4,0.1,512,cone,0.0,3,0.9584055542945862,0.9483870863914489
63,<function dropout at 0x7fa1df404a60>,4,0.1,512,cone,0.5,3,0.9410744905471802,0.9129032492637635
64,<function dropout at 0x7fa1df404a60>,4,0.1,1024,cone,0.0,3,0.9722703099250793,0.9716845929622651
65,<function dropout at 0x7fa1df404a60>,4,0.1,1024,cone,0.5,3,0.968804121017456,0.9372759938240051
66,<function dropout at 0x7fa1df404a60>,4,0.01,256,cone,0.0,3,0.9584055542945862,0.9422938823699951
67,<function dropout at 0x7fa1df404a60>,4,0.01,256,cone,0.5,3,0.8544193506240845,0.8143369376659393
68,<function dropout at 0x7fa1df404a60>,4,0.01,512,cone,0.0,3,0.9393413662910461,0.9172043025493622
69,<function dropout at 0x7fa1df404a60>,4,0.01,512,cone,0.5,3,0.9064124822616577,0.8860215127468108
70,<function dropout at 0x7fa1df404a60>,4,0.01,1024,cone,0.0,3,0.9653379917144775,0.9548387050628663
71,<function dropout at 0x7fa1df404a60>,4,0.01,1024,cone,0.5,3,0.9133448600769043,0.8767025053501128
72,<function dropout at 0x7fa1df404a60>,8,10.0,256,cone,0.0,3,0.1473136842250824,0.1469534009695053
73,<function dropout at 0x7fa1df404a60>,8,10.0,256,cone,0.5,3,0.1473136842250824,0.14695339947938918
74,<function dropout at 0x7fa1df404a60>,8,10.0,512,cone,0.0,3,0.1473136842250824,0.14695339649915695
75,<function dropout at 0x7fa1df404a60>,8,10.0,512,cone,0.5,3,0.1473136991262436,0.14695339351892472
76,<function dropout at 0x7fa1df404a60>,8,10.0,1024,cone,0.0,3,0.1473136842250824,0.14695339947938918
77,<function dropout at 0x7fa1df404a60>,8,10.0,1024,cone,0.5,3,0.1473136842250824,0.14695339798927307
78,<function dropout at 0x7fa1df404a60>,8,1.0,256,cone,0.0,3,0.1473136842250824,0.14695340394973752
79,<function dropout at 0x7fa1df404a60>,8,1.0,256,cone,0.5,3,0.1473136991262436,0.14695339351892472
80,<function dropout at 0x7fa1df404a60>,8,1.0,512,cone,0.0,3,0.1473136842250824,0.14695339947938918
81,<function dropout at 0x7fa1df404a60>,8,1.0,512,cone,0.5,3,0.1473136842250824,0.14695339500904084
82,<function dropout at 0x7fa1df404a60>,8,1.0,1024,cone,0.0,3,0.1473136842250824,0.14695339649915695
83,<function dropout at 0x7fa1df404a60>,8,1.0,1024,cone,0.5,3,0.1473136842250824,0.14695339947938918
84,<function dropout at 0x7fa1df404a60>,8,0.1,256,cone,0.0,3,0.9826690554618835,0.9641577064990998
85,<function dropout at 0x7fa1df404a60>,8,0.1,256,cone,0.5,3,0.2876949608325958,0.3494623571634292
86,<function dropout at 0x7fa1df404a60>,8,0.1,512,cone,0.0,3,0.9618716835975647,0.9440860331058502
87,<function dropout at 0x7fa1df404a60>,8,0.1,512,cone,0.5,3,0.4003466069698334,0.36487454622983934
88,<function dropout at 0x7fa1df404a60>,8,0.1,1024,cone,0.0,3,0.968804121017456,0.9620071828365327
89,<function dropout at 0x7fa1df404a60>,8,0.1,1024,cone,0.5,3,0.43327558040618896,0.3580645054578781
90,<function dropout at 0x7fa1df404a60>,8,0.01,256,cone,0.0,3,0.9601386189460754,0.9584229290485381
91,<function dropout at 0x7fa1df404a60>,8,0.01,256,cone,0.5,3,0.5441941022872925,0.49784945547580717
92,<function dropout at 0x7fa1df404a60>,8,0.01,512,cone,0.0,3,0.9740034341812134,0.956630849838257
93,<function dropout at 0x7fa1df404a60>,8,0.01,512,cone,0.5,3,0.4506065845489502,0.387096756696701
94,<function dropout at 0x7fa1df404a60>,8,0.01,1024,cone,0.0,3,0.9618716835975647,0.9655914068222047
95,<function dropout at 0x7fa1df404a60>,8,0.01,1024,cone,0.5,3,0.3154245913028717,0.25268816351890566
96,<function dropout at 0x7fa1df404a60>,16,10.0,256,cone,0.0,3,0.1473136991262436,0.14695339947938918
97,<function dropout at 0x7fa1df404a60>,16,10.0,256,cone,0.5,3,0.1473136991262436,0.14695339798927307
98,<function dropout at 0x7fa1df404a60>,16,10.0,512,cone,0.0,3,0.1473136842250824,0.14695339649915695
99,<function dropout at 0x7fa1df404a60>,16,10.0,512,cone,0.5,3,0.1473136842250824,0.14695339798927307
100,<function dropout at 0x7fa1df404a60>,16,10.0,1024,cone,0.0,3,0.1473136842250824,0.14695339351892472
101,<function dropout at 0x7fa1df404a60>,16,10.0,1024,cone,0.5,3,0.1473136842250824,0.14695339649915695
102,<function dropout at 0x7fa1df404a60>,16,1.0,256,cone,0.0,3,0.1473136842250824,0.14695339798927307
103,<function dropout at 0x7fa1df404a60>,16,1.0,256,cone,0.5,3,0.1473136842250824,0.14695339947938918
104,<function dropout at 0x7fa1df404a60>,16,1.0,512,cone,0.0,3,0.1473136842250824,0.14695339500904084
105,<function dropout at 0x7fa1df404a60>,16,1.0,512,cone,0.5,3,0.1473136842250824,0.14695339798927307
106,<function dropout at 0x7fa1df404a60>,16,1.0,1024,cone,0.0,3,0.1473136842250824,0.14695339798927307
107,<function dropout at 0x7fa1df404a60>,16,1.0,1024,cone,0.5,3,0.1473136842250824,0.14695339798927307
108,<function dropout at 0x7fa1df404a60>,16,0.1,256,cone,0.0,3,0.9549393057823181,0.9469534456729888
109,<function dropout at 0x7fa1df404a60>,16,0.1,256,cone,0.5,3,0.1473136842250824,0.14695339798927307
110,<function dropout at 0x7fa1df404a60>,16,0.1,512,cone,0.0,3,0.9566724300384521,0.9197132647037506
111,<function dropout at 0x7fa1df404a60>,16,0.1,512,cone,0.5,3,0.1473136991262436,0.14695339798927307
112,<function dropout at 0x7fa1df404a60>,16,0.1,1024,cone,0.0,3,0.9462738037109375,0.9322580695152284
113,<function dropout at 0x7fa1df404a60>,16,0.1,1024,cone,0.5,3,0.1473136842250824,0.14695339649915695
114,<function dropout at 0x7fa1df404a60>,16,0.01,256,cone,0.0,3,0.95147305727005,0.9347670137882234
115,<function dropout at 0x7fa1df404a60>,16,0.01,256,cone,0.5,3,0.29289430379867554,0.2559139803051949
116,<function dropout at 0x7fa1df404a60>,16,0.01,512,cone,0.0,3,0.9601386785507202,0.954121881723404
117,<function dropout at 0x7fa1df404a60>,16,0.01,512,cone,0.5,3,0.10051992535591125,0.14516128450632093
118,<function dropout at 0x7fa1df404a60>,16,0.01,1024,cone,0.0,3,0.9497399926185608,0.957706093788147
119,<function dropout at 0x7fa1df404a60>,16,0.01,1024,cone,0.5,3,0.2876949906349182,0.23154121190309523
