,learningrate,nstart,activationFn,dropoutFn,nlayers,dR,layerForm,testAccuracy,valAccuracy
107,0.1,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
108,0.01,256,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.5323638319969177,0.544284850358963
109,0.01,256,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.4318505823612213,0.4382573753595353
110,0.01,256,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.5725691914558411,0.5768582344055175
111,0.01,256,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.4060450792312622,0.4096814692020416
112,0.01,256,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.6221842169761658,0.6291692972183228
113,0.01,256,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.334616482257843,0.340068718791008
114,0.01,256,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.7453663945198059,0.7271705269813536
115,0.01,256,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.1642429530620575,0.1612429827451706
116,0.01,256,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.7791559100151062,0.7892255067825318
117,0.01,256,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.16324493288993835,0.16024361103773116
118,0.01,256,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.8080980777740479,0.7913804173469544
119,0.01,256,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
120,0.01,512,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.547191321849823,0.5534978449344636
121,0.01,512,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.45337894558906555,0.4596502542495728
122,0.01,512,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.623894989490509,0.6181449353694916
123,0.01,512,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.4329911470413208,0.4404435008764267
124,0.01,512,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.6360136270523071,0.6533729195594787
125,0.01,512,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.35258054733276367,0.3488132625818252
126,0.01,512,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.7654690146446228,0.7496252655982971
127,0.01,512,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.16310235857963562,0.16205497682094572
128,0.01,512,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.8252067565917969,0.8138039112091064
129,0.01,512,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.16324493288993835,0.1602123826742172
130,0.01,512,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.8216423988342285,0.820737075805664
131,0.01,512,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
132,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.0,cone,0.5719988346099854,0.5694878399372101
133,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,2,0.5,cone,0.467778742313385,0.47545286118984226
134,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.0,cone,0.6261762380599976,0.6318238735198974
135,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,3,0.5,cone,0.4525235593318939,0.45958777368068693
136,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.0,cone,0.6856287121772766,0.6793566703796386
137,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,4,0.5,cone,0.4294268786907196,0.439194267988205
138,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.0,cone,0.7773025631904602,0.7698313891887665
139,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,8,0.5,cone,0.2909894585609436,0.2907245606184006
140,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.0,cone,0.8262047171592712,0.8195503115653993
141,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,16,0.5,cone,0.16324493288993835,0.16068083792924878
142,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.0,cone,0.8217849731445312,0.8382261455059051
143,0.01,1024,3,<function dropout at 0x7fcdd6020a60>,32,0.5,cone,0.0996578186750412,0.10368520021438597
