,activationFn,valAccuracy,dropoutFn,nlayers,learningrate,layerForm,nstart,dR,testAccuracy
68,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,512,0.0,0.9748954176902771
69,3,0.6625000238418578,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,512,0.5,0.7112970352172852
70,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,1024,0.0,0.97907954454422
71,3,0.6950000345706939,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,1024,0.5,0.7405856847763062
72,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,256,0.0,0.3472803235054016
73,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,256,0.5,0.3472803235054016
74,3,0.55,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,512,0.0,0.6527196168899536
75,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,512,0.5,0.3472803235054016
76,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,1024,0.0,0.3472803235054016
77,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,1024,0.5,0.3472803235054016
78,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,256,0.0,0.6527196168899536
79,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,256,0.5,0.6527196168899536
80,3,0.6000000000000001,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,512,0.0,0.6527196168899536
81,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,512,0.5,0.3472803235054016
82,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,1024,0.0,0.6527196764945984
83,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,1024,0.5,0.3472803235054016
84,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,256,0.0,0.9832636117935181
85,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,256,0.5,0.6527196168899536
86,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,512,0.0,0.9916318655014038
87,3,0.6274999976158142,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,512,0.5,0.6527196168899536
88,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,1024,0.0,0.9916318655014038
89,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,1024,0.5,0.6527196168899536
90,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,256,0.0,0.9790794849395752
91,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,256,0.5,0.6527196764945984
92,3,0.9925000071525573,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,512,0.0,0.9748954176902771
93,3,0.6562499880790711,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,512,0.5,0.6694560050964355
94,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,1024,0.0,0.9916318655014038
95,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,0.01,cone,1024,0.5,0.6527196168899536
96,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,256,0.0,0.3472803235054016
97,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,256,0.5,0.3472803235054016
98,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,512,0.0,0.3472803235054016
99,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,512,0.5,0.3472803235054016
100,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,1024,0.0,0.3472803235054016
101,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,10.0,cone,1024,0.5,0.3472803235054016
102,3,0.7825000166893006,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,256,0.0,0.6694560050964355
103,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,256,0.5,0.6527196168899536
104,3,0.4875000059604644,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,512,0.0,0.3472803235054016
105,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,512,0.5,0.3472803235054016
106,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,1024,0.0,0.6527196168899536
107,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,16,1.0,cone,1024,0.5,0.3472803235054016
108,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,256,0.0,0.9623429775238037
109,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,256,0.5,0.6527196168899536
110,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,512,0.0,0.991631805896759
111,3,0.625,<function dropout at 0x7fa1a9bd9a60>,16,0.1,cone,512,0.5,0.6527196764945984
