,activationFn,nlayers,dropoutFn,learningrate,nstart,dR,valAccuracy,layerForm,testAccuracy
53,3,4,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
54,3,4,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.9999999999999999,cone,1.0
55,3,4,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
56,3,4,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.9999999999999999,cone,1.0
57,3,4,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
58,3,4,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
59,3,4,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
60,3,4,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.9999999999999999,cone,1.0
61,3,4,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.9999999999999999,cone,1.0
62,3,4,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
63,3,4,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.9999999999999999,cone,1.0
64,3,4,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
65,3,4,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.9999999999999999,cone,1.0
66,3,4,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
67,3,4,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.9999999999999999,cone,1.0
68,3,4,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
69,3,4,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.9999999999999999,cone,1.0
70,3,4,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
71,3,4,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.9999999999999999,cone,1.0
72,3,8,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
73,3,8,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
74,3,8,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
75,3,8,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
76,3,8,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
77,3,8,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
78,3,8,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
79,3,8,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
80,3,8,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.5230769515037536,cone,0.40000003576278687
81,3,8,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
82,3,8,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
83,3,8,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
84,3,8,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.9999999999999999,cone,1.0
85,3,8,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.5769231140613555,cone,0.6000000238418579
86,3,8,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
87,3,8,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.5615384876728057,cone,0.6000000238418579
88,3,8,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
89,3,8,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.5384615659713744,cone,0.6000000238418579
90,3,8,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
91,3,8,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.9999999999999999,cone,1.0
92,3,8,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
93,3,8,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.9999999999999999,cone,0.9666666984558105
94,3,8,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
95,3,8,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.9999999999999999,cone,1.0
96,3,16,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
97,3,16,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
98,3,16,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.4615384936332702,cone,0.40000003576278687
99,3,16,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
100,3,16,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
101,3,16,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
102,3,16,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
103,3,16,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
104,3,16,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
105,3,16,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
106,3,16,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.4615384936332702,cone,0.40000003576278687
107,3,16,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
108,3,16,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.9999999999999999,cone,1.0
109,3,16,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.5384615659713744,cone,0.6000000238418579
110,3,16,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
111,3,16,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.5384615659713744,cone,0.6000000238418579
112,3,16,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
113,3,16,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.5384615659713744,cone,0.6000000238418579
114,3,16,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
115,3,16,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.6307692527770995,cone,0.5666667222976685
116,3,16,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
117,3,16,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.5384615659713744,cone,0.6000000238418579
118,3,16,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
119,3,16,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.584615421295166,cone,0.6000000238418579
120,3,32,<function dropout at 0x7ff5a7791a60>,10.0,256,0.0,0.5153846442699431,cone,0.6000000238418579
121,3,32,<function dropout at 0x7ff5a7791a60>,10.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
122,3,32,<function dropout at 0x7ff5a7791a60>,10.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
123,3,32,<function dropout at 0x7ff5a7791a60>,10.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
124,3,32,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
125,3,32,<function dropout at 0x7ff5a7791a60>,10.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
126,3,32,<function dropout at 0x7ff5a7791a60>,1.0,256,0.0,0.5384615659713744,cone,0.6000000238418579
127,3,32,<function dropout at 0x7ff5a7791a60>,1.0,256,0.5,0.5384615659713744,cone,0.6000000238418579
128,3,32,<function dropout at 0x7ff5a7791a60>,1.0,512,0.0,0.5384615659713744,cone,0.6000000238418579
129,3,32,<function dropout at 0x7ff5a7791a60>,1.0,512,0.5,0.5384615659713744,cone,0.6000000238418579
130,3,32,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.0,0.5384615659713744,cone,0.6000000238418579
131,3,32,<function dropout at 0x7ff5a7791a60>,1.0,1024,0.5,0.5384615659713744,cone,0.6000000238418579
132,3,32,<function dropout at 0x7ff5a7791a60>,0.1,256,0.0,0.5384615659713744,cone,0.6000000238418579
133,3,32,<function dropout at 0x7ff5a7791a60>,0.1,256,0.5,0.5384615659713744,cone,0.6000000238418579
134,3,32,<function dropout at 0x7ff5a7791a60>,0.1,512,0.0,0.9999999999999999,cone,1.0
135,3,32,<function dropout at 0x7ff5a7791a60>,0.1,512,0.5,0.5384615659713744,cone,0.6000000238418579
136,3,32,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.0,0.9999999999999999,cone,1.0
137,3,32,<function dropout at 0x7ff5a7791a60>,0.1,1024,0.5,0.5076923370361327,cone,0.6000000238418579
138,3,32,<function dropout at 0x7ff5a7791a60>,0.01,256,0.0,0.9999999999999999,cone,1.0
139,3,32,<function dropout at 0x7ff5a7791a60>,0.01,256,0.5,0.5692308068275451,cone,0.6000000238418579
140,3,32,<function dropout at 0x7ff5a7791a60>,0.01,512,0.0,0.9999999999999999,cone,1.0
141,3,32,<function dropout at 0x7ff5a7791a60>,0.01,512,0.5,0.5384615659713744,cone,0.6000000238418579
142,3,32,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.0,0.9999999999999999,cone,1.0
143,3,32,<function dropout at 0x7ff5a7791a60>,0.01,1024,0.5,0.5384615659713744,cone,0.6000000238418579
