,dropoutFn,learningrate,activationFn,layerForm,nlayers,nstart,testAccuracy,valAccuracy,dR
16,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,1024,0.5179714560508728,0.5048648834228516,0.0
17,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,4,1024,0.5179714560508728,0.5048648715019226,0.5
18,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,256,0.5179715156555176,0.5048648715019226,0.0
19,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,256,0.5179714560508728,0.5048648953437805,0.5
20,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,512,0.5179714560508728,0.5048648893833161,0.0
21,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,512,0.5179714560508728,0.5048649311065674,0.5
22,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,1024,0.5179714560508728,0.5048648715019226,0.0
23,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,8,1024,0.5179714560508728,0.5048649013042451,0.5
24,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,256,0.5179714560508728,0.5048649311065674,0.0
25,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,256,0.5179714560508728,0.5048649013042451,0.5
26,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,512,0.5179715156555176,0.5048648715019226,0.0
27,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,512,0.5179714560508728,0.5048649311065674,0.5
28,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,1024,0.5179714560508728,0.5048648893833161,0.0
29,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,16,1024,0.5179714560508728,0.5048648715019226,0.5
30,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,256,0.5179714560508728,0.5048648715019226,0.0
31,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,256,0.517971396446228,0.5048648834228516,0.5
32,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,512,0.5179714560508728,0.5048648715019226,0.0
33,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,512,0.5179714560508728,0.5048648715019226,0.5
34,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,1024,0.5179715156555176,0.5048648774623872,0.0
35,<function dropout at 0x7f962ddd1a60>,10.0,3,rect,32,1024,0.5179714560508728,0.5048648893833161,0.5
36,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,256,0.5179714560508728,0.5048648834228516,0.0
37,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,256,0.5179714560508728,0.5048648774623872,0.5
38,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,512,0.5179714560508728,0.5048648715019226,0.0
39,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,512,0.5179714560508728,0.5048648715019226,0.5
40,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,1024,0.5179715156555176,0.5048648715019226,0.0
41,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,2,1024,0.5179714560508728,0.5048648715019226,0.5
42,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,256,0.5179714560508728,0.504864913225174,0.0
43,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,256,0.5179714560508728,0.5048648953437807,0.5
44,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,512,0.5179714560508728,0.5048648893833161,0.0
45,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,512,0.5179714560508728,0.5048648715019226,0.5
46,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,1024,0.5179714560508728,0.5048649311065674,0.0
47,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,3,1024,0.5179714560508728,0.5048648715019226,0.5
48,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,256,0.5179715156555176,0.5048648953437805,0.0
49,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,256,0.5179714560508728,0.5048648893833161,0.5
50,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,512,0.5179715156555176,0.5048648715019226,0.0
51,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,512,0.5179714560508728,0.5048648715019226,0.5
52,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,1024,0.5179714560508728,0.504864913225174,0.0
53,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,4,1024,0.5179714560508728,0.5048649251461029,0.5
54,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,256,0.5179714560508728,0.5048648953437805,0.0
55,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,256,0.5179715156555176,0.5048648715019226,0.5
56,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,512,0.5179715156555176,0.5048648834228516,0.0
57,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,512,0.5179714560508728,0.5048648953437807,0.5
58,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,1024,0.5179714560508728,0.5048648715019226,0.0
59,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,8,1024,0.5179714560508728,0.5048649191856385,0.5
60,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,256,0.5179714560508728,0.5048648715019226,0.0
61,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,256,0.517971396446228,0.5048648715019226,0.5
62,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,512,0.5179714560508728,0.5048648953437805,0.0
63,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,512,0.5179714560508728,0.5048649251461029,0.5
64,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,1024,0.5179714560508728,0.5048648893833161,0.0
65,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,16,1024,0.5179714560508728,0.5048648893833161,0.5
66,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,256,0.5179714560508728,0.5048648715019226,0.0
67,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,256,0.5179714560508728,0.5048648953437805,0.5
68,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,512,0.5179714560508728,0.5048648953437805,0.0
69,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,512,0.5179714560508728,0.5048649311065674,0.5
70,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,1024,0.5179714560508728,0.5048648834228516,0.0
71,<function dropout at 0x7f962ddd1a60>,1.0,3,rect,32,1024,0.5179714560508728,0.5048649311065674,0.5
72,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,256,1.0000001192092896,0.9999999999999999,0.0
73,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,256,1.0000001192092896,0.9987027645111083,0.5
74,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,512,1.0000001192092896,0.9999999999999999,0.0
75,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,512,1.0000001192092896,0.9995675802230835,0.5
76,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,1024,1.0000001192092896,0.9999999999999999,0.0
77,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,2,1024,1.0000001192092896,0.9998919010162353,0.5
78,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,256,1.0000001192092896,0.9999999999999999,0.0
79,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,256,1.0000001192092896,0.9995675802230835,0.5
80,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,512,1.0000001192092896,0.9999999999999999,0.0
81,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,512,1.0000001192092896,0.9998919010162353,0.5
82,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,1024,1.0000001192092896,0.9999999999999999,0.0
83,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,3,1024,1.0000001192092896,0.9995675802230835,0.5
84,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,256,1.0000001192092896,0.9999999999999999,0.0
85,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,256,0.997538149356842,0.9978379011154174,0.5
86,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,512,1.0000001192092896,0.9999999999999999,0.0
87,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,512,1.0,0.9999999999999999,0.5
88,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,1024,1.0000001192092896,0.9999999999999999,0.0
89,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,4,1024,1.0000001192092896,0.9999999999999999,0.5
90,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,256,1.0000001192092896,0.9999999999999999,0.0
91,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,256,0.9965534210205078,0.9990270495414734,0.5
92,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,512,0.5179714560508728,0.504864901304245,0.0
93,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,512,0.5179714560508728,0.5048648834228516,0.5
94,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,1024,0.5179714560508728,0.5048648715019226,0.0
95,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,8,1024,0.5179714560508728,0.5048648715019226,0.5
96,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,256,0.5179714560508728,0.5048648715019226,0.0
97,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,256,0.5179714560508728,0.5048648834228516,0.5
98,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,512,0.5179714560508728,0.5048649311065674,0.0
99,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,512,0.5179714560508728,0.5048648715019226,0.5
100,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,1024,0.5179715156555176,0.5048648893833161,0.0
101,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,16,1024,0.5179714560508728,0.5048648715019226,0.5
102,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,256,0.5179714560508728,0.5048648893833161,0.0
103,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,256,0.5179715156555176,0.5048648774623872,0.5
104,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,512,0.5179715156555176,0.5048649311065674,0.0
105,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,512,0.5179714560508728,0.5048648774623872,0.5
106,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,1024,0.5179714560508728,0.5048649072647096,0.0
107,<function dropout at 0x7f962ddd1a60>,0.1,3,rect,32,1024,0.5179714560508728,0.5048648834228516,0.5
108,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,256,0.9995077252388,0.9999999999999999,0.0
109,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,256,0.9980305433273315,0.9961081564426423,0.5
110,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,512,0.9995077252388,0.9999999999999999,0.0
111,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,512,0.9985229969024658,0.9967567920684816,0.5
112,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,1024,1.0000001192092896,0.9999999999999999,0.0
113,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,2,1024,1.0000001192092896,0.9994594931602477,0.5
114,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,256,1.0,0.9999999999999999,0.0
115,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,256,0.9955686926841736,0.9964324712753296,0.5
116,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,512,1.0000001192092896,0.9999999999999999,0.0
117,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,512,0.9980305433273315,0.9965405702590943,0.5
118,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,1024,1.0000001192092896,0.9999999999999999,0.0
119,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,3,1024,0.9965534210205078,0.9978379011154174,0.5
120,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,256,1.0000001192092896,0.9999999999999999,0.0
121,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,256,0.9881831407546997,0.9883243441581727,0.5
122,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,512,1.0000001192092896,0.9999999999999999,0.0
123,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,512,0.9955686926841736,0.9967567920684816,0.5
124,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,1024,1.0000001192092896,0.9999999999999999,0.0
125,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,4,1024,0.9990153312683105,0.9964324593544007,0.5
126,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,256,1.0000001192092896,0.9999999999999999,0.0
127,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,256,0.9886754751205444,0.9831352233886718,0.5
128,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,512,1.0,0.9999999999999999,0.0
129,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,512,0.9985229969024658,0.9975135684013365,0.5
130,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,1024,1.0000001192092896,0.9999999999999999,0.0
131,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,8,1024,0.9960610866546631,0.9978379011154174,0.5
132,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,256,1.0000001192092896,0.9999999999999999,0.0
133,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,256,0.5248646140098572,0.5524324387311936,0.5
134,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,512,1.0000001192092896,0.9999999999999999,0.0
135,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,512,0.6051206588745117,0.5819459557533264,0.5
136,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,1024,1.0,0.9999999999999999,0.0
137,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,16,1024,0.4820285439491272,0.49513513445854196,0.5
138,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,256,1.0000001192092896,0.9999999999999999,0.0
139,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,256,0.5179714560508728,0.5048648834228516,0.5
140,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,512,1.0000001192092896,0.9999999999999999,0.0
141,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,512,0.517971396446228,0.5048648715019226,0.5
142,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,1024,1.0000001192092896,0.9999999999999999,0.0
143,<function dropout at 0x7f962ddd1a60>,0.01,3,rect,32,1024,0.5179714560508728,0.5048648834228516,0.5
