,layerForm,learningrate,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy,dropoutFn
81,rect,0.1,3,0.25148810148239137,256,16,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
82,rect,0.1,3,0.25148811936378473,256,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
83,rect,0.1,3,0.2514881163835525,256,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
84,rect,0.1,3,0.9159226357936859,512,2,0.0,0.903499960899353,<function dropout at 0x7fe4bda4ca60>
85,rect,0.1,3,0.9004464387893678,512,2,0.5,0.8800000548362732,<function dropout at 0x7fe4bda4ca60>
86,rect,0.1,3,0.9133928894996642,512,3,0.0,0.8860000371932983,<function dropout at 0x7fe4bda4ca60>
87,rect,0.1,3,0.9059524416923522,512,3,0.5,0.8845000863075256,<function dropout at 0x7fe4bda4ca60>
88,rect,0.1,3,0.9135416805744171,512,4,0.0,0.8990000486373901,<function dropout at 0x7fe4bda4ca60>
89,rect,0.1,3,0.9023809790611266,512,4,0.5,0.874000072479248,<function dropout at 0x7fe4bda4ca60>
90,rect,0.1,3,0.25148809850215914,512,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
91,rect,0.1,3,0.9014881193637849,512,8,0.5,0.8530000448226929,<function dropout at 0x7fe4bda4ca60>
92,rect,0.1,3,0.25148811936378473,512,16,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
93,rect,0.1,3,0.25148809552192686,512,16,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
94,rect,0.1,3,0.25148811042308805,512,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
95,rect,0.1,3,0.2514881134033203,512,32,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
96,rect,0.1,3,0.9120535790920259,1024,2,0.0,0.8910000324249268,<function dropout at 0x7fe4bda4ca60>
97,rect,0.1,3,0.9074405312538149,1024,2,0.5,0.8915000557899475,<function dropout at 0x7fe4bda4ca60>
98,rect,0.1,3,0.9101190626621245,1024,3,0.0,0.8950000405311584,<function dropout at 0x7fe4bda4ca60>
99,rect,0.1,3,0.9050595700740814,1024,3,0.5,0.8865001201629639,<function dropout at 0x7fe4bda4ca60>
100,rect,0.1,3,0.922172635793686,1024,4,0.0,0.9145000576972961,<function dropout at 0x7fe4bda4ca60>
101,rect,0.1,3,0.9037202656269073,1024,4,0.5,0.8730000853538513,<function dropout at 0x7fe4bda4ca60>
102,rect,0.1,3,0.2514881163835525,1024,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
103,rect,0.1,3,0.25148811936378473,1024,8,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
104,rect,0.1,3,0.25148811936378473,1024,16,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
105,rect,0.1,3,0.2514880895614624,1024,16,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
106,rect,0.1,3,0.2514881163835525,1024,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
107,rect,0.1,3,0.2514881134033203,1024,32,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
108,rect,0.01,3,0.9005952775478365,256,2,0.0,0.8800000548362732,<function dropout at 0x7fe4bda4ca60>
109,rect,0.01,3,0.8721726298332215,256,2,0.5,0.8429999947547913,<function dropout at 0x7fe4bda4ca60>
110,rect,0.01,3,0.9111607134342193,256,3,0.0,0.8840000629425049,<function dropout at 0x7fe4bda4ca60>
111,rect,0.01,3,0.8589286327362061,256,3,0.5,0.830000102519989,<function dropout at 0x7fe4bda4ca60>
112,rect,0.01,3,0.9135416746139527,256,4,0.0,0.8995000720024109,<function dropout at 0x7fe4bda4ca60>
113,rect,0.01,3,0.8635417103767395,256,4,0.5,0.8280000686645508,<function dropout at 0x7fe4bda4ca60>
114,rect,0.01,3,0.9139881193637848,256,8,0.0,0.9015001058578491,<function dropout at 0x7fe4bda4ca60>
115,rect,0.01,3,0.7171131312847137,256,8,0.5,0.6640000343322754,<function dropout at 0x7fe4bda4ca60>
116,rect,0.01,3,0.9086309731006622,256,16,0.0,0.8940001130104065,<function dropout at 0x7fe4bda4ca60>
117,rect,0.01,3,0.39330359101295476,256,16,0.5,0.3504999876022339,<function dropout at 0x7fe4bda4ca60>
118,rect,0.01,3,0.9285714864730835,256,32,0.0,0.9030000567436218,<function dropout at 0x7fe4bda4ca60>
119,rect,0.01,3,0.2514881134033203,256,32,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
120,rect,0.01,3,0.9127977013587953,512,2,0.0,0.8895000219345093,<function dropout at 0x7fe4bda4ca60>
121,rect,0.01,3,0.8827381432056427,512,2,0.5,0.84850013256073,<function dropout at 0x7fe4bda4ca60>
122,rect,0.01,3,0.9107142746448517,512,3,0.0,0.8910000920295715,<function dropout at 0x7fe4bda4ca60>
123,rect,0.01,3,0.8778273820877076,512,3,0.5,0.8515000343322754,<function dropout at 0x7fe4bda4ca60>
124,rect,0.01,3,0.9230655074119568,512,4,0.0,0.8980000019073486,<function dropout at 0x7fe4bda4ca60>
125,rect,0.01,3,0.8514881849288939,512,4,0.5,0.8135000467300415,<function dropout at 0x7fe4bda4ca60>
126,rect,0.01,3,0.9174106955528258,512,8,0.0,0.9150000214576721,<function dropout at 0x7fe4bda4ca60>
127,rect,0.01,3,0.8602678894996644,512,8,0.5,0.8140000104904175,<function dropout at 0x7fe4bda4ca60>
128,rect,0.01,3,0.9212798058986664,512,16,0.0,0.9195001125335693,<function dropout at 0x7fe4bda4ca60>
129,rect,0.01,3,0.2708333507180214,512,16,0.5,0.14800000190734863,<function dropout at 0x7fe4bda4ca60>
130,rect,0.01,3,0.9174107730388642,512,32,0.0,0.9120000004768372,<function dropout at 0x7fe4bda4ca60>
131,rect,0.01,3,0.2514881044626236,512,32,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
132,rect,0.01,3,0.9153274059295654,1024,2,0.0,0.8920000791549683,<function dropout at 0x7fe4bda4ca60>
133,rect,0.01,3,0.8944940924644471,1024,2,0.5,0.8760000467300415,<function dropout at 0x7fe4bda4ca60>
134,rect,0.01,3,0.9194940805435181,1024,3,0.0,0.8915000557899475,<function dropout at 0x7fe4bda4ca60>
135,rect,0.01,3,0.8711310088634491,1024,3,0.5,0.8485000729560852,<function dropout at 0x7fe4bda4ca60>
136,rect,0.01,3,0.9133928835391999,1024,4,0.0,0.8995000123977661,<function dropout at 0x7fe4bda4ca60>
137,rect,0.01,3,0.8839286029338838,1024,4,0.5,0.846500039100647,<function dropout at 0x7fe4bda4ca60>
138,rect,0.01,3,0.9194941222667694,1024,8,0.0,0.9139999747276306,<function dropout at 0x7fe4bda4ca60>
139,rect,0.01,3,0.8802083849906922,1024,8,0.5,0.8445000052452087,<function dropout at 0x7fe4bda4ca60>
140,rect,0.01,3,0.9220238447189331,1024,16,0.0,0.9135000705718994,<function dropout at 0x7fe4bda4ca60>
141,rect,0.01,3,0.055654766596853755,1024,16,0.5,0.027500001713633537,<function dropout at 0x7fe4bda4ca60>
142,rect,0.01,3,0.922023856639862,1024,32,0.0,0.9149999618530273,<function dropout at 0x7fe4bda4ca60>
143,rect,0.01,3,0.25148811936378473,1024,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
