,layerForm,nlayers,valAccuracy,nstart,dR,learningrate,activationFn,dropoutFn,testAccuracy
33,cone,3,0.36781609058380127,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.34285715222358704
34,cone,3,0.9643678545951843,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
35,cone,3,0.9655172824859618,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
36,cone,3,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
37,cone,3,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
38,cone,3,0.9655172824859618,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
39,cone,3,0.9655172824859618,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
40,cone,3,0.6321839094161986,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
41,cone,3,0.6321839094161986,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
42,cone,3,0.9655172824859618,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9885714650154114
43,cone,3,0.9425287246704104,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
44,cone,3,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
45,cone,3,0.666666668653488,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
46,cone,3,0.9655172824859618,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
47,cone,3,0.9655172824859618,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
48,cone,4,0.6321839094161986,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
49,cone,4,0.5793103456497192,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
50,cone,4,0.954023003578186,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
51,cone,4,0.954023003578186,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
52,cone,4,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
53,cone,4,0.6321839094161986,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
54,cone,4,0.9655172824859618,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
55,cone,4,0.9689655482769011,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
56,cone,4,0.6321839094161986,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
57,cone,4,0.6321839094161986,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
58,cone,4,0.9494252920150759,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
59,cone,4,0.9666667044162749,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
60,cone,4,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
61,cone,4,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
62,cone,4,0.9655172824859618,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
63,cone,4,0.9574712872505187,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
64,cone,4,0.6321839094161986,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
65,cone,4,0.6321839094161986,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
66,cone,4,0.9643678367137909,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
67,cone,4,0.9563218593597412,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
68,cone,4,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
69,cone,4,0.6321839094161986,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
70,cone,4,0.9655172824859618,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
71,cone,4,0.9655172824859618,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
72,cone,8,0.5528735637664794,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
73,cone,8,0.6321839094161986,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
74,cone,8,0.9655172824859618,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
75,cone,8,0.9770115017890932,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
76,cone,8,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
77,cone,8,0.6321839094161986,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
78,cone,8,0.9609195709228514,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
79,cone,8,0.9425287246704104,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
80,cone,8,0.6321839094161986,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
81,cone,8,0.5793103456497192,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
82,cone,8,0.9655172824859618,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
83,cone,8,0.9425287246704104,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
84,cone,8,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
85,cone,8,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
86,cone,8,0.954023003578186,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
87,cone,8,0.954023003578186,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
88,cone,8,0.6321839094161986,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
89,cone,8,0.6321839094161986,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
90,cone,8,0.9770115017890932,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
91,cone,8,0.9666667044162749,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
92,cone,8,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
93,cone,8,0.6321839094161986,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
94,cone,8,0.9655172824859618,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
95,cone,8,0.9264367640018465,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
96,cone,16,0.6321839094161986,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
97,cone,16,0.6321839094161986,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
98,cone,16,0.9632184147834778,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
99,cone,16,0.9701149702072142,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
100,cone,16,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
101,cone,16,0.6321839094161986,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
102,cone,16,0.6321839094161986,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
103,cone,16,0.6436781644821166,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
104,cone,16,0.5528735637664794,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
105,cone,16,0.6321839094161986,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
106,cone,16,0.9655172705650329,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
107,cone,16,0.9655172824859618,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.977142870426178
108,cone,16,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
109,cone,16,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
110,cone,16,0.6321839094161986,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
111,cone,16,0.6850574731826782,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
112,cone,16,0.6321839094161986,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
113,cone,16,0.6321839094161986,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
114,cone,16,0.9620689928531646,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9828571677207947
115,cone,16,0.9655172824859618,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
116,cone,16,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
117,cone,16,0.6321839094161986,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
118,cone,16,0.6321839094161986,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
119,cone,16,0.6379310488700867,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
120,cone,32,0.6321839094161986,256,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
121,cone,32,0.6321839094161986,256,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
122,cone,32,0.954023003578186,256,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
123,cone,32,0.9770115017890932,256,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
124,cone,32,0.6321839094161986,256,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
125,cone,32,0.6321839094161986,256,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
126,cone,32,0.5528735637664794,256,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
127,cone,32,0.6321839094161986,256,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
128,cone,32,0.5528735637664794,512,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.34285712242126465
129,cone,32,0.6321839094161986,512,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
130,cone,32,0.6321839094161986,512,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
131,cone,32,0.9689655482769011,512,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9657142758369446
132,cone,32,0.6321839094161986,512,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
133,cone,32,0.6321839094161986,512,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
134,cone,32,0.6321839094161986,512,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
135,cone,32,0.6908046126365662,512,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
136,cone,32,0.5528735637664794,1024,0.0,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428179740906
137,cone,32,0.6321839094161986,1024,0.0,1.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
138,cone,32,0.9655172824859618,1024,0.0,0.1,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
139,cone,32,0.9689655482769011,1024,0.0,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9714285731315613
140,cone,32,0.6321839094161986,1024,0.5,10.0,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
141,cone,32,0.5793103456497192,1024,0.5,1.0,3,<function dropout at 0x7f6cb4784a60>,0.34285712242126465
142,cone,32,0.6321839094161986,1024,0.5,0.1,3,<function dropout at 0x7f6cb4784a60>,0.6571428775787354
143,cone,32,0.7505747079849243,1024,0.5,0.01,3,<function dropout at 0x7f6cb4784a60>,0.9599999785423279
