,layerForm,testAccuracy,dR,learningrate,nstart,valAccuracy,nlayers,dropoutFn,activationFn
75,cone,0.390625,0.5,10.0,256,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
76,cone,0.390625,0.5,10.0,256,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
77,cone,0.390625,0.5,10.0,256,0.38888889551162714,32,<function dropout at 0x7fb7e073aa60>,3
78,cone,0.390625,0.5,10.0,512,0.38888889551162714,2,<function dropout at 0x7fb7e073aa60>,3
79,cone,0.390625,0.5,10.0,512,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
80,cone,0.390625,0.5,10.0,512,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
81,cone,0.390625,0.5,10.0,512,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
82,cone,0.390625,0.5,10.0,512,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
83,cone,0.390625,0.5,10.0,512,0.38888889551162714,32,<function dropout at 0x7fb7e073aa60>,3
84,cone,0.390625,0.5,10.0,1024,0.4111111164093017,2,<function dropout at 0x7fb7e073aa60>,3
85,cone,0.390625,0.5,10.0,1024,0.38888889551162714,3,<function dropout at 0x7fb7e073aa60>,3
86,cone,0.390625,0.5,10.0,1024,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
87,cone,0.390625,0.5,10.0,1024,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
88,cone,0.390625,0.5,10.0,1024,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
89,cone,0.390625,0.5,10.0,1024,0.38888889551162714,32,<function dropout at 0x7fb7e073aa60>,3
90,cone,0.390625,0.5,1.0,256,0.4685185253620147,2,<function dropout at 0x7fb7e073aa60>,3
91,cone,0.390625,0.5,1.0,256,0.4129629671573638,3,<function dropout at 0x7fb7e073aa60>,3
92,cone,0.390625,0.5,1.0,256,0.42407407760620114,4,<function dropout at 0x7fb7e073aa60>,3
93,cone,0.609375,0.5,1.0,256,0.6111111044883729,8,<function dropout at 0x7fb7e073aa60>,3
94,cone,0.390625,0.5,1.0,256,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
95,cone,0.609375,0.5,1.0,256,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
96,cone,0.390625,0.5,1.0,512,0.4333333432674408,2,<function dropout at 0x7fb7e073aa60>,3
97,cone,0.390625,0.5,1.0,512,0.4425925970077514,3,<function dropout at 0x7fb7e073aa60>,3
98,cone,0.390625,0.5,1.0,512,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
99,cone,0.390625,0.5,1.0,512,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
100,cone,0.390625,0.5,1.0,512,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
101,cone,0.609375,0.5,1.0,512,0.5444444417953491,32,<function dropout at 0x7fb7e073aa60>,3
102,cone,0.390625,0.5,1.0,1024,0.47777777910232544,2,<function dropout at 0x7fb7e073aa60>,3
103,cone,0.609375,0.5,1.0,1024,0.6111111044883729,3,<function dropout at 0x7fb7e073aa60>,3
104,cone,0.390625,0.5,1.0,1024,0.38888889551162714,4,<function dropout at 0x7fb7e073aa60>,3
105,cone,0.390625,0.5,1.0,1024,0.38888889551162714,8,<function dropout at 0x7fb7e073aa60>,3
106,cone,0.390625,0.5,1.0,1024,0.38888889551162714,16,<function dropout at 0x7fb7e073aa60>,3
107,cone,0.609375,0.5,1.0,1024,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
108,cone,0.7421875,0.5,0.1,256,0.7962962985038757,2,<function dropout at 0x7fb7e073aa60>,3
109,cone,0.75,0.5,0.1,256,0.77962965965271,3,<function dropout at 0x7fb7e073aa60>,3
110,cone,0.65625,0.5,0.1,256,0.6592592775821685,4,<function dropout at 0x7fb7e073aa60>,3
111,cone,0.609375,0.5,0.1,256,0.6111111044883729,8,<function dropout at 0x7fb7e073aa60>,3
112,cone,0.609375,0.5,0.1,256,0.6111111044883729,16,<function dropout at 0x7fb7e073aa60>,3
113,cone,0.609375,0.5,0.1,256,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
114,cone,0.765625,0.5,0.1,512,0.8111111342906953,2,<function dropout at 0x7fb7e073aa60>,3
115,cone,0.7421875,0.5,0.1,512,0.7666666567325591,3,<function dropout at 0x7fb7e073aa60>,3
116,cone,0.7734375,0.5,0.1,512,0.7722222268581389,4,<function dropout at 0x7fb7e073aa60>,3
117,cone,0.609375,0.5,0.1,512,0.6111111044883729,8,<function dropout at 0x7fb7e073aa60>,3
118,cone,0.390625,0.5,0.1,512,0.5370370388031006,16,<function dropout at 0x7fb7e073aa60>,3
119,cone,0.609375,0.5,0.1,512,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
120,cone,0.7109375,0.5,0.1,1024,0.8129630029201508,2,<function dropout at 0x7fb7e073aa60>,3
121,cone,0.734375,0.5,0.1,1024,0.781481510400772,3,<function dropout at 0x7fb7e073aa60>,3
122,cone,0.71875,0.5,0.1,1024,0.6796296417713167,4,<function dropout at 0x7fb7e073aa60>,3
123,cone,0.609375,0.5,0.1,1024,0.6185185253620148,8,<function dropout at 0x7fb7e073aa60>,3
124,cone,0.390625,0.5,0.1,1024,0.43333333730697626,16,<function dropout at 0x7fb7e073aa60>,3
125,cone,0.609375,0.5,0.1,1024,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
126,cone,0.765625,0.5,0.01,256,0.7407407760620118,2,<function dropout at 0x7fb7e073aa60>,3
127,cone,0.734375,0.5,0.01,256,0.6962962985038759,3,<function dropout at 0x7fb7e073aa60>,3
128,cone,0.6796875,0.5,0.01,256,0.7092592537403107,4,<function dropout at 0x7fb7e073aa60>,3
129,cone,0.609375,0.5,0.01,256,0.6148148059844971,8,<function dropout at 0x7fb7e073aa60>,3
130,cone,0.609375,0.5,0.01,256,0.6148148119449616,16,<function dropout at 0x7fb7e073aa60>,3
131,cone,0.609375,0.5,0.01,256,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
132,cone,0.75,0.5,0.01,512,0.7944444477558136,2,<function dropout at 0x7fb7e073aa60>,3
133,cone,0.703125,0.5,0.01,512,0.7129629731178284,3,<function dropout at 0x7fb7e073aa60>,3
134,cone,0.6953125,0.5,0.01,512,0.7111111104488373,4,<function dropout at 0x7fb7e073aa60>,3
135,cone,0.609375,0.5,0.01,512,0.6111111044883729,8,<function dropout at 0x7fb7e073aa60>,3
136,cone,0.609375,0.5,0.01,512,0.6111111044883729,16,<function dropout at 0x7fb7e073aa60>,3
137,cone,0.609375,0.5,0.01,512,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
138,cone,0.7734375,0.5,0.01,1024,0.7962962985038757,2,<function dropout at 0x7fb7e073aa60>,3
139,cone,0.71875,0.5,0.01,1024,0.7370370507240297,3,<function dropout at 0x7fb7e073aa60>,3
140,cone,0.6796875,0.5,0.01,1024,0.6851851940155029,4,<function dropout at 0x7fb7e073aa60>,3
141,cone,0.59375,0.5,0.01,1024,0.6111111044883729,8,<function dropout at 0x7fb7e073aa60>,3
142,cone,0.6171875,0.5,0.01,1024,0.701851862668991,16,<function dropout at 0x7fb7e073aa60>,3
143,cone,0.609375,0.5,0.01,1024,0.6111111044883729,32,<function dropout at 0x7fb7e073aa60>,3
