,learningrate,testAccuracy,dR,activationFn,nlayers,nstart,layerForm,dropoutFn,valAccuracy
40,1.0,0.23999997973442078,0.0,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.07222222276031971
41,1.0,0.23999997973442078,0.0,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
42,1.0,0.3199999928474426,0.0,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.25555556304752824
43,1.0,0.23999997973442078,0.0,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.06111111156642436
44,1.0,0.23999997973442078,0.0,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
45,1.0,0.3199999928474426,0.0,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.27777779102325434
46,1.0,0.23999997973442078,0.0,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
47,1.0,0.23999997973442078,0.0,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
48,1.0,0.23999997973442078,0.0,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.2722222309559584
49,1.0,0.23999997973442078,0.0,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
50,1.0,0.23999997973442078,0.0,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
51,1.0,0.3199999928474426,0.0,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.18888889513909818
52,1.0,0.23999997973442078,0.0,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
53,1.0,0.23999997973442078,0.0,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
54,1.0,0.23999997973442078,0.5,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.08333333507180216
55,1.0,0.23999997973442078,0.5,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.07222222313284875
56,1.0,0.23999997973442078,0.5,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
57,1.0,0.23999997973442078,0.5,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
58,1.0,0.23999997973442078,0.5,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.06111111156642436
59,1.0,0.23999997973442078,0.5,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.07777777947485448
60,1.0,0.23999997973442078,0.5,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
61,1.0,0.23999997973442078,0.5,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
62,1.0,0.23999997973442078,0.5,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
63,1.0,0.23999997973442078,0.5,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
64,1.0,0.23999997973442078,0.5,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
65,1.0,0.23999997973442078,0.5,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
66,1.0,0.23999997973442078,0.5,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
67,1.0,0.23999997973442078,0.5,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
68,1.0,0.23999997973442078,0.5,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
69,1.0,0.23999997973442078,0.5,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
70,1.0,0.23999997973442078,0.5,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
71,1.0,0.23999997973442078,0.5,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
72,0.1,0.30000001192092896,0.0,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.3944444507360458
73,0.1,0.2800000011920929,0.0,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.2722222313284874
74,0.1,0.3799999952316284,0.0,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.26111111640930174
75,0.1,0.2800000011920929,0.0,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.3888888984918594
76,0.1,0.3199999928474426,0.0,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.3166666775941848
77,0.1,0.29999998211860657,0.0,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.3611111223697662
78,0.1,0.23999999463558197,0.0,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.33333334326744074
79,0.1,0.3199999928474426,0.0,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.20555556043982504
80,0.1,0.25999999046325684,0.0,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.30555556714534754
81,0.1,0.29999998211860657,0.0,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.31666667610406873
82,0.1,0.2199999988079071,0.0,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.2611111223697662
83,0.1,0.30000001192092896,0.0,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.3000000104308128
84,0.1,0.3199999928474426,0.0,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.3500000119209289
85,0.1,0.2199999988079071,0.0,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.26111112013459203
86,0.1,0.30000001192092896,0.0,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.24444445073604582
87,0.1,0.35999998450279236,0.0,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.2277777828276157
88,0.1,0.18000000715255737,0.0,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.2500000067055225
89,0.1,0.35999998450279236,0.0,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.23333333954215046
90,0.1,0.4399999976158142,0.5,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.21111111640930175
91,0.1,0.3799999952316284,0.5,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.22222222536802289
92,0.1,0.29999998211860657,0.5,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.2777777850627899
93,0.1,0.29999998211860657,0.5,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.2555555641651153
94,0.1,0.3199999928474426,0.5,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.15000000298023222
95,0.1,0.35999998450279236,0.5,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.22222222834825514
96,0.1,0.29999998211860657,0.5,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.18888889253139493
97,0.1,0.3799999952316284,0.5,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.20000000447034832
98,0.1,0.3400000035762787,0.5,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.2388888947665691
99,0.1,0.23999997973442078,0.5,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.14444444850087165
100,0.1,0.23999997973442078,0.5,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.14444444999098782
101,0.1,0.23999997973442078,0.5,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.06111111156642436
102,0.1,0.23999997973442078,0.5,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
103,0.1,0.23999997973442078,0.5,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
104,0.1,0.23999997973442078,0.5,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
105,0.1,0.23999997973442078,0.5,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
106,0.1,0.23999997973442078,0.5,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
107,0.1,0.23999997973442078,0.5,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
108,0.01,0.35999998450279236,0.0,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.18888889253139493
109,0.01,0.23999999463558197,0.0,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.26666667759418483
110,0.01,0.3199999928474426,0.0,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.155555559694767
111,0.01,0.2800000011920929,0.0,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.34444445669651025
112,0.01,0.29999998211860657,0.0,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.1722222253680229
113,0.01,0.3399999737739563,0.0,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.24444445371627802
114,0.01,0.3999999761581421,0.0,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.2111111134290695
115,0.01,0.3799999952316284,0.0,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.38888889551162714
116,0.01,0.3399999737739563,0.0,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.30555556565523145
117,0.01,0.2999999523162842,0.0,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.5055555641651153
118,0.01,0.3199999928474426,0.0,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.3555555641651153
119,0.01,0.3999999761581421,0.0,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.38888889551162714
120,0.01,0.2199999839067459,0.0,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.5944444656372071
121,0.01,0.2199999988079071,0.0,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.20000000447034832
122,0.01,0.3199999928474426,0.0,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.28888889998197553
123,0.01,0.35999998450279236,0.0,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.40000001490116116
124,0.01,0.3799999952316284,0.0,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.28333334326744075
125,0.01,0.13999998569488525,0.0,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.33333334326744074
126,0.01,0.30000001192092896,0.5,3,2,256,cone,<function dropout at 0x7f0197cfaa60>,0.1611111156642437
127,0.01,0.36000001430511475,0.5,3,2,512,cone,<function dropout at 0x7f0197cfaa60>,0.19444444775581357
128,0.01,0.3999999761581421,0.5,3,2,1024,cone,<function dropout at 0x7f0197cfaa60>,0.2055555611848831
129,0.01,0.3999999761581421,0.5,3,3,256,cone,<function dropout at 0x7f0197cfaa60>,0.21666666865348813
130,0.01,0.30000001192092896,0.5,3,3,512,cone,<function dropout at 0x7f0197cfaa60>,0.21666667163372036
131,0.01,0.3400000035762787,0.5,3,3,1024,cone,<function dropout at 0x7f0197cfaa60>,0.30555556714534754
132,0.01,0.2199999839067459,0.5,3,4,256,cone,<function dropout at 0x7f0197cfaa60>,0.30555556714534754
133,0.01,0.3399999737739563,0.5,3,4,512,cone,<function dropout at 0x7f0197cfaa60>,0.30555556714534754
134,0.01,0.3799999952316284,0.5,3,4,1024,cone,<function dropout at 0x7f0197cfaa60>,0.19444444701075556
135,0.01,0.2799999713897705,0.5,3,8,256,cone,<function dropout at 0x7f0197cfaa60>,0.27777779102325434
136,0.01,0.29999998211860657,0.5,3,8,512,cone,<function dropout at 0x7f0197cfaa60>,0.45000001192092887
137,0.01,0.3199999928474426,0.5,3,8,1024,cone,<function dropout at 0x7f0197cfaa60>,0.294444452226162
138,0.01,0.25999999046325684,0.5,3,16,256,cone,<function dropout at 0x7f0197cfaa60>,0.23333334028720853
139,0.01,0.23999997973442078,0.5,3,16,512,cone,<function dropout at 0x7f0197cfaa60>,0.07777777947485448
140,0.01,0.20000000298023224,0.5,3,16,1024,cone,<function dropout at 0x7f0197cfaa60>,0.38888889551162714
141,0.01,0.23999997973442078,0.5,3,32,256,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
142,0.01,0.23999997973442078,0.5,3,32,512,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
143,0.01,0.23999997973442078,0.5,3,32,1024,cone,<function dropout at 0x7f0197cfaa60>,0.05555555596947669
