,learningrate,testAccuracy,nlayers,dropoutFn,layerForm,activationFn,valAccuracy,nstart,dR
75,0.1,0.692307710647583,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.5
76,0.1,0.769230842590332,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,1024,0.0
77,0.1,0.8076924085617065,2,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,1024,0.5
78,0.1,0.884615421295166,3,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,256,0.0
79,0.1,0.8076923489570618,3,<function dropout at 0x7f99509d2a60>,rect,3,0.7999999999999999,256,0.5
80,0.1,0.8076924085617065,3,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
81,0.1,0.8461538553237915,3,<function dropout at 0x7f99509d2a60>,rect,3,0.7125,512,0.5
82,0.1,0.8076923489570618,3,<function dropout at 0x7f99509d2a60>,rect,3,0.7499999999999999,1024,0.0
83,0.1,0.5,3,<function dropout at 0x7f99509d2a60>,rect,3,0.6375000000000001,1024,0.5
84,0.1,0.8076924085617065,4,<function dropout at 0x7f99509d2a60>,rect,3,0.9999999999999999,256,0.0
85,0.1,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.65,256,0.5
86,0.1,0.8076923489570618,4,<function dropout at 0x7f99509d2a60>,rect,3,0.8750000000000001,512,0.0
87,0.1,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
88,0.1,0.8461538553237915,4,<function dropout at 0x7f99509d2a60>,rect,3,0.7,1024,0.0
89,0.1,0.5,4,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
90,0.1,0.769230842590332,8,<function dropout at 0x7f99509d2a60>,rect,3,0.9999999999999999,256,0.0
91,0.1,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
92,0.1,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
93,0.1,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
94,0.1,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.0
95,0.1,0.5,8,<function dropout at 0x7f99509d2a60>,rect,3,0.625,1024,0.5
96,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.0
97,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,256,0.5
98,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.0
99,0.1,0.5,16,<function dropout at 0x7f99509d2a60>,rect,3,0.625,512,0.5
