,learningrate,layerForm,dropoutFn,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy
24,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,2,0.0,0.8799999952316284
25,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,2,0.5,0.8799999952316284
26,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,3,0.0,0.8799999952316284
27,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,3,0.5,0.8799999952316284
28,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,4,0.0,0.8799999952316284
29,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,4,0.5,0.8799999952316284
30,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.0,0.8799999952316284
31,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.5,0.8799999952316284
32,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,16,0.0,0.8799999952316284
33,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,16,0.5,0.8799999952316284
34,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8428571738302709,1024,32,0.0,0.11999999731779099
35,10.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.5,0.8799999952316284
36,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,2,0.0,0.8799999952316284
37,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,2,0.5,0.8799999952316284
38,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.0,0.8799999952316284
39,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.5,0.8799999952316284
40,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.0,0.8799999952316284
41,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.5,0.8799999952316284
42,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.0,0.8799999952316284
43,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.5,0.8799999952316284
44,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.0,0.8799999952316284
45,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.5,0.8799999952316284
46,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.0,0.8799999952316284
47,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.5,0.8799999952316284
48,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,2,0.0,0.8799999952316284
49,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,2,0.5,0.8799999952316284
50,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.15714286342263226,512,3,0.0,0.11999999731779099
51,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,3,0.5,0.8799999952316284
52,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8428571738302709,512,4,0.0,0.8799999952316284
53,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,4,0.5,0.8799999952316284
54,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.0,0.8799999952316284
55,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.5,0.8799999952316284
56,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.0,0.8799999952316284
57,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.5,0.8799999952316284
58,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.0,0.8799999952316284
59,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.5,0.8799999952316284
60,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,2,0.0,0.8799999952316284
61,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,2,0.5,0.8799999952316284
62,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,3,0.0,0.8799999952316284
63,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,3,0.5,0.8799999952316284
64,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.07142857462167738,1024,4,0.0,0.11999999731779099
65,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,4,0.5,0.8799999952316284
66,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.0,0.8799999952316284
67,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.5,0.8799999952316284
68,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,16,0.0,0.8799999952316284
69,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,16,0.5,0.8799999952316284
70,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.0,0.8799999952316284
71,1.0,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.5,0.8799999952316284
72,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8500000596046446,256,2,0.0,0.7199999690055847
73,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,256,2,0.5,0.7999999523162842
74,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,256,3,0.0,0.7199999690055847
75,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.5,0.8799999952316284
76,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857789993285,256,4,0.0,0.8399999737739563
77,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.5,0.8799999952316284
78,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8785714864730834,256,8,0.0,0.7599999904632568
79,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.5,0.8799999952316284
80,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.0,0.8799999952316284
81,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.5,0.8799999952316284
82,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.0,0.8799999952316284
83,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.5,0.8799999952316284
84,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,512,2,0.0,0.7199999690055847
85,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8500000655651092,512,2,0.5,0.8399999737739563
86,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8714286327362059,512,3,0.0,0.7199999690055847
87,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8785714864730834,512,3,0.5,0.8799999952316284
88,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8428571939468384,512,4,0.0,0.7199999690055847
89,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,4,0.5,0.7999999523162842
90,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8928571939468385,512,8,0.0,0.8799999952316284
91,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.5,0.8799999952316284
92,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8714286327362059,512,16,0.0,0.7999999523162842
93,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.5,0.8799999952316284
94,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.0,0.8799999952316284
95,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.5,0.8799999952316284
96,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,2,0.0,0.7999999523162842
97,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857789993286,1024,2,0.5,0.8399999737739563
98,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,3,0.0,0.7599999904632568
99,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857670783997,1024,3,0.5,0.8399999737739563
100,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8714286327362059,1024,4,0.0,0.7199999690055847
101,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9214286088943482,1024,4,0.5,0.8799999952316284
102,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8285714805126191,1024,8,0.0,0.8799999952316284
103,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.5,0.8799999952316284
104,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9214286088943482,1024,16,0.0,0.8799999952316284
105,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.4142857298254968,1024,16,0.5,0.11999999731779099
106,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.0,0.8799999952316284
107,0.1,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.5,0.8799999952316284
108,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,2,0.0,0.8799999952316284
109,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,256,2,0.5,0.7999999523162842
110,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,256,3,0.0,0.7999999523162842
111,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,3,0.5,0.8399999737739563
112,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,256,4,0.0,0.8399999737739563
113,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,4,0.5,0.8799999952316284
114,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8714286267757414,256,8,0.0,0.6399999856948853
115,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,8,0.5,0.8799999952316284
116,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.0,0.8799999952316284
117,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,16,0.5,0.8799999952316284
118,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.0,0.8799999952316284
119,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,256,32,0.5,0.8799999952316284
120,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857789993285,512,2,0.0,0.7999999523162842
121,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857789993285,512,2,0.5,0.7999999523162842
122,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,512,3,0.0,0.7999999523162842
123,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,3,0.5,0.7999999523162842
124,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,4,0.0,0.8399999737739563
125,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,4,0.5,0.8799999952316284
126,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.0,0.8799999952316284
127,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,8,0.5,0.7599999904632568
128,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8714286267757414,512,16,0.0,0.8799999952316284
129,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,16,0.5,0.8799999952316284
130,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.7785714685916901,512,32,0.0,0.8799999952316284
131,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,512,32,0.5,0.8799999952316284
132,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8642857789993285,1024,2,0.0,0.7999999523162842
133,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,2,0.5,0.7999999523162842
134,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,3,0.0,0.7199999690055847
135,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9000000476837158,1024,3,0.5,0.7999999523162842
136,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8928571939468383,1024,4,0.0,0.7999999523162842
137,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,4,0.5,0.8799999952316284
138,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,8,0.0,0.7999999523162842
139,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,8,0.5,0.8799999952316284
140,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8571429252624511,1024,16,0.0,0.8399999737739563
141,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,16,0.5,0.8799999952316284
142,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.8785714864730834,1024,32,0.0,0.8799999952316284
143,0.01,cone,<function dropout at 0x7f68d1bb9a60>,3,0.9285714626312257,1024,32,0.5,0.8799999952316284
