,dropoutFn,dR,activationFn,nstart,testAccuracy,nlayers,valAccuracy,learningrate,layerForm
83,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.8887935280799866,4,0.9343669176101684,0.01,cone
84,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,8,0.12144702672958375,10.0,cone
85,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,8,0.12144702672958375,1.0,cone
86,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.27615779638290405,8,0.22583979517221447,0.1,cone
87,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.40737563371658325,8,0.3994832158088685,0.01,cone
88,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,16,0.12144702672958375,10.0,cone
89,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,16,0.12144702672958375,1.0,cone
90,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,16,0.12144702672958375,0.1,cone
91,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.16094911098480225,16,0.1920757979154587,0.01,cone
92,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,32,0.12144702672958375,10.0,cone
93,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,32,0.12144702672958375,1.0,cone
94,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,32,0.12144702672958375,0.1,cone
95,<function dropout at 0x7f2283f34a60>,0.5,3,256,0.1037735864520073,32,0.12144702672958375,0.01,cone
96,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,2,0.12144702672958375,10.0,cone
97,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735864520073,2,0.12144702672958375,1.0,cone
98,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9668381810188293,2,0.9915589928627015,0.1,cone
99,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.9531159996986389,2,0.9827734887599947,0.01,cone
100,<function dropout at 0x7f2283f34a60>,0.5,3,512,0.1037735790014267,3,0.12144702672958375,10.0,cone
