,layerForm,dR,nstart,dropoutFn,activationFn,nlayers,learningrate,valAccuracy,testAccuracy
93,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,32,1.0,0.22727273404598236,0.35135138034820557
94,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,32,0.1,0.22727273404598236,0.35135138034820557
95,rect,0.5,256,<function dropout at 0x7fe72c434a60>,3,32,0.01,0.22727273404598236,0.35135138034820557
96,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,2,10.0,0.22727273404598236,0.35135138034820557
97,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,2,1.0,0.22727273404598236,0.35135138034820557
98,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,2,0.1,0.9409090995788574,0.9729729890823364
99,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,2,0.01,0.900000023841858,0.9189189672470093
100,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,3,10.0,0.22727273404598236,0.35135138034820557
101,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,3,1.0,0.22727273404598236,0.35135138034820557
102,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,3,0.1,0.9227273106575011,0.9729729890823364
103,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,3,0.01,0.9636363804340362,0.8648649454116821
104,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,4,10.0,0.22727273404598236,0.35135138034820557
105,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,4,1.0,0.22727273404598236,0.35135138034820557
106,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,4,0.1,0.25909091830253606,0.35135138034820557
107,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,4,0.01,0.9772727489471434,0.9189189672470093
108,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,8,10.0,0.22727273404598236,0.35135138034820557
109,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,8,1.0,0.22727273404598236,0.35135138034820557
110,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,8,0.1,0.22727273404598236,0.35135138034820557
111,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,8,0.01,0.9590909183025359,0.8378379344940186
112,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,16,10.0,0.22727273404598236,0.35135138034820557
113,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,16,1.0,0.22727273404598236,0.35135138034820557
114,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,16,0.1,0.22727273404598236,0.35135138034820557
115,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,16,0.01,0.22727273404598236,0.35135138034820557
116,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,32,10.0,0.22727273404598236,0.35135138034820557
117,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,32,1.0,0.22727273404598236,0.35135138034820557
118,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,32,0.1,0.22727273404598236,0.35135138034820557
119,rect,0.5,512,<function dropout at 0x7fe72c434a60>,3,32,0.01,0.22727273404598236,0.35135138034820557
120,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,2,10.0,0.22727273404598236,0.35135138034820557
121,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,2,1.0,0.25454546064138417,0.35135138034820557
122,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,2,0.1,0.8909091114997864,0.9189189076423645
123,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,2,0.01,0.986363649368286,0.9729729890823364
124,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,3,10.0,0.22727273404598236,0.35135138034820557
125,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,3,1.0,0.22727273404598236,0.35135138034820557
126,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,3,0.1,0.28636364340782167,0.35135138034820557
127,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,3,0.01,0.9909090995788573,0.9729729890823364
128,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,4,10.0,0.22727273404598236,0.35135138034820557
129,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,4,1.0,0.22727273404598236,0.35135138034820557
130,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,4,0.1,0.23181818872690202,0.35135138034820557
131,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,4,0.01,0.9818181991577147,0.9729729890823364
132,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,8,10.0,0.22727273404598236,0.35135138034820557
133,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,8,1.0,0.22727273404598236,0.35135138034820557
134,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,8,0.1,0.22727273404598236,0.35135138034820557
135,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,8,0.01,0.9181818425655365,0.9459459781646729
136,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,16,10.0,0.22727273404598236,0.35135138034820557
137,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,16,1.0,0.22727273404598236,0.35135138034820557
138,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,16,0.1,0.22727273404598236,0.35135138034820557
139,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,16,0.01,0.22727273404598236,0.35135138034820557
140,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,32,10.0,0.22727273404598236,0.35135138034820557
141,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,32,1.0,0.22727273404598236,0.35135138034820557
142,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,32,0.1,0.22727273404598236,0.35135138034820557
143,rect,0.5,1024,<function dropout at 0x7fe72c434a60>,3,32,0.01,0.22727273404598236,0.35135138034820557
