,learningrate,testAccuracy,nstart,activationFn,layerForm,dR,valAccuracy,nlayers,dropoutFn
55,1.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
56,1.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
57,1.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
58,1.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
59,1.0,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
60,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
61,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
62,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
63,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
64,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
65,1.0,0.4399999678134918,1024,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
66,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,2,<function dropout at 0x7f942b83ca60>
67,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,3,<function dropout at 0x7f942b83ca60>
68,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,4,<function dropout at 0x7f942b83ca60>
69,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
70,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
71,1.0,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
72,0.1,0.9199999570846558,256,3,cone,0.0,0.716666692495346,2,<function dropout at 0x7f942b83ca60>
73,0.1,0.9199999570846558,256,3,cone,0.0,0.6666666865348815,3,<function dropout at 0x7f942b83ca60>
74,0.1,0.9599999785423279,256,3,cone,0.0,0.7333333611488342,4,<function dropout at 0x7f942b83ca60>
75,0.1,0.9599999785423279,256,3,cone,0.0,0.6666666865348815,8,<function dropout at 0x7f942b83ca60>
76,0.1,0.7599999904632568,256,3,cone,0.0,0.6833333551883697,16,<function dropout at 0x7f942b83ca60>
77,0.1,0.4399999678134918,256,3,cone,0.0,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
78,0.1,0.9599999785423279,256,3,cone,0.5,0.8166667044162752,2,<function dropout at 0x7f942b83ca60>
79,0.1,0.9199999570846558,256,3,cone,0.5,0.7666666984558105,3,<function dropout at 0x7f942b83ca60>
80,0.1,0.8799999952316284,256,3,cone,0.5,0.7333333611488342,4,<function dropout at 0x7f942b83ca60>
81,0.1,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
82,0.1,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
83,0.1,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
84,0.1,0.9599999785423279,512,3,cone,0.0,0.6666666865348815,2,<function dropout at 0x7f942b83ca60>
85,0.1,0.9599999785423279,512,3,cone,0.0,0.6666666865348815,3,<function dropout at 0x7f942b83ca60>
86,0.1,0.9199999570846558,512,3,cone,0.0,0.6666666865348815,4,<function dropout at 0x7f942b83ca60>
87,0.1,1.0,512,3,cone,0.0,0.8333333730697633,8,<function dropout at 0x7f942b83ca60>
88,0.1,0.8799999952316284,512,3,cone,0.0,0.7666666984558106,16,<function dropout at 0x7f942b83ca60>
89,0.1,0.11999999731779099,512,3,cone,0.0,0.18333333730697632,32,<function dropout at 0x7f942b83ca60>
90,0.1,0.9599999785423279,512,3,cone,0.5,0.7000000238418579,2,<function dropout at 0x7f942b83ca60>
91,0.1,0.9599999785423279,512,3,cone,0.5,0.716666692495346,3,<function dropout at 0x7f942b83ca60>
92,0.1,0.8399999737739563,512,3,cone,0.5,0.6833333551883697,4,<function dropout at 0x7f942b83ca60>
93,0.1,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
94,0.1,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
95,0.1,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
96,0.1,0.9599999785423279,1024,3,cone,0.0,0.6833333551883697,2,<function dropout at 0x7f942b83ca60>
97,0.1,1.0,1024,3,cone,0.0,0.8166667044162751,3,<function dropout at 0x7f942b83ca60>
98,0.1,0.9599999785423279,1024,3,cone,0.0,0.6666666865348815,4,<function dropout at 0x7f942b83ca60>
99,0.1,0.9199999570846558,1024,3,cone,0.0,0.6833333551883697,8,<function dropout at 0x7f942b83ca60>
100,0.1,0.7599999904632568,1024,3,cone,0.0,0.5500000163912774,16,<function dropout at 0x7f942b83ca60>
101,0.1,0.47999995946884155,1024,3,cone,0.0,0.21666667312383647,32,<function dropout at 0x7f942b83ca60>
102,0.1,0.9599999785423279,1024,3,cone,0.5,0.7000000238418578,2,<function dropout at 0x7f942b83ca60>
103,0.1,0.9199999570846558,1024,3,cone,0.5,0.7333333611488342,3,<function dropout at 0x7f942b83ca60>
104,0.1,0.8399999737739563,1024,3,cone,0.5,0.5833333522081374,4,<function dropout at 0x7f942b83ca60>
105,0.1,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
106,0.1,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
107,0.1,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
108,0.01,0.8799999952316284,256,3,cone,0.0,0.6666666865348815,2,<function dropout at 0x7f942b83ca60>
109,0.01,0.9599999785423279,256,3,cone,0.0,0.8333333730697633,3,<function dropout at 0x7f942b83ca60>
110,0.01,0.9199999570846558,256,3,cone,0.0,0.6666666865348815,4,<function dropout at 0x7f942b83ca60>
111,0.01,0.8799999952316284,256,3,cone,0.0,0.6666666865348815,8,<function dropout at 0x7f942b83ca60>
112,0.01,0.9199999570846558,256,3,cone,0.0,0.800000035762787,16,<function dropout at 0x7f942b83ca60>
113,0.01,0.8399999737739563,256,3,cone,0.0,0.7166666924953461,32,<function dropout at 0x7f942b83ca60>
114,0.01,0.9599999785423279,256,3,cone,0.5,0.7000000238418579,2,<function dropout at 0x7f942b83ca60>
115,0.01,0.9199999570846558,256,3,cone,0.5,0.7500000298023224,3,<function dropout at 0x7f942b83ca60>
116,0.01,0.8399999737739563,256,3,cone,0.5,0.8333333730697633,4,<function dropout at 0x7f942b83ca60>
117,0.01,0.4399999976158142,256,3,cone,0.5,0.1833333387970924,8,<function dropout at 0x7f942b83ca60>
118,0.01,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
119,0.01,0.4399999678134918,256,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
120,0.01,0.8799999952316284,512,3,cone,0.0,0.716666692495346,2,<function dropout at 0x7f942b83ca60>
121,0.01,0.9599999785423279,512,3,cone,0.0,0.6666666865348815,3,<function dropout at 0x7f942b83ca60>
122,0.01,0.9199999570846558,512,3,cone,0.0,0.6666666865348815,4,<function dropout at 0x7f942b83ca60>
123,0.01,0.9199999570846558,512,3,cone,0.0,0.6833333551883697,8,<function dropout at 0x7f942b83ca60>
124,0.01,0.8799999952316284,512,3,cone,0.0,0.6666666865348815,16,<function dropout at 0x7f942b83ca60>
125,0.01,0.8799999952316284,512,3,cone,0.0,0.6166666850447654,32,<function dropout at 0x7f942b83ca60>
126,0.01,1.0,512,3,cone,0.5,0.8333333730697633,2,<function dropout at 0x7f942b83ca60>
127,0.01,0.9199999570846558,512,3,cone,0.5,0.6666666865348815,3,<function dropout at 0x7f942b83ca60>
128,0.01,0.9199999570846558,512,3,cone,0.5,0.6833333551883697,4,<function dropout at 0x7f942b83ca60>
129,0.01,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,8,<function dropout at 0x7f942b83ca60>
130,0.01,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
131,0.01,0.4399999678134918,512,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
132,0.01,0.9199999570846558,1024,3,cone,0.0,0.6666666865348815,2,<function dropout at 0x7f942b83ca60>
133,0.01,0.9199999570846558,1024,3,cone,0.0,0.716666692495346,3,<function dropout at 0x7f942b83ca60>
134,0.01,1.0,1024,3,cone,0.0,0.8333333730697633,4,<function dropout at 0x7f942b83ca60>
135,0.01,0.9199999570846558,1024,3,cone,0.0,0.6666666865348815,8,<function dropout at 0x7f942b83ca60>
136,0.01,0.9599999785423279,1024,3,cone,0.0,0.8333333730697633,16,<function dropout at 0x7f942b83ca60>
137,0.01,0.5999999642372131,1024,3,cone,0.0,0.6666666865348815,32,<function dropout at 0x7f942b83ca60>
138,0.01,0.9599999785423279,1024,3,cone,0.5,0.6666666865348815,2,<function dropout at 0x7f942b83ca60>
139,0.01,0.9199999570846558,1024,3,cone,0.5,0.7333333611488342,3,<function dropout at 0x7f942b83ca60>
140,0.01,0.9599999785423279,1024,3,cone,0.5,0.7000000238418579,4,<function dropout at 0x7f942b83ca60>
141,0.01,0.6399999856948853,1024,3,cone,0.5,0.3000000089406967,8,<function dropout at 0x7f942b83ca60>
142,0.01,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,16,<function dropout at 0x7f942b83ca60>
143,0.01,0.4399999678134918,1024,3,cone,0.5,0.16666667163372037,32,<function dropout at 0x7f942b83ca60>
