,layerForm,nstart,dR,learningrate,testAccuracy,dropoutFn,valAccuracy,nlayers,activationFn
24,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
25,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
26,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
27,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
28,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
29,cone,256,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
30,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
31,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
32,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
33,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
34,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
35,cone,256,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
36,cone,256,0.5,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.802439022064209,2,3
37,cone,256,0.5,0.1,0.736842155456543,<function dropout at 0x7f9c848a3a60>,0.7780487477779389,3,3
38,cone,256,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7707316637039183,4,3
39,cone,256,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.756097501516342,8,3
40,cone,256,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
41,cone,256,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
42,cone,256,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7902438819408417,2,3
43,cone,256,0.5,0.01,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.7878048539161681,3,3
44,cone,256,0.5,0.01,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.7853658318519592,4,3
45,cone,256,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7536584734916686,8,3
46,cone,256,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.758536523580551,16,3
47,cone,256,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
48,cone,512,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
49,cone,512,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
50,cone,512,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
51,cone,512,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
52,cone,512,0.0,10.0,0.2631579041481018,<function dropout at 0x7f9c848a3a60>,0.6536584854125976,16,3
53,cone,512,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
54,cone,512,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
55,cone,512,0.0,1.0,0.2631579041481018,<function dropout at 0x7f9c848a3a60>,0.29512194991111756,3,3
56,cone,512,0.0,1.0,0.2631579041481018,<function dropout at 0x7f9c848a3a60>,0.25121951699256895,4,3
57,cone,512,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
58,cone,512,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
59,cone,512,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
60,cone,512,0.0,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.7975609660148621,2,3
61,cone,512,0.0,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.7999999880790709,3,3
62,cone,512,0.0,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.8536585271358492,4,3
63,cone,512,0.0,0.1,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.7682926476001739,8,3
64,cone,512,0.0,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7853658258914947,16,3
65,cone,512,0.0,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
66,cone,512,0.0,0.01,0.7763157486915588,<function dropout at 0x7f9c848a3a60>,0.8219512403011323,2,3
67,cone,512,0.0,0.01,0.75,<function dropout at 0x7f9c848a3a60>,0.8341463685035707,3,3
68,cone,512,0.0,0.01,0.7499999403953552,<function dropout at 0x7f9c848a3a60>,0.809756052494049,4,3
69,cone,512,0.0,0.01,0.75,<function dropout at 0x7f9c848a3a60>,0.8073170721530915,8,3
70,cone,512,0.0,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.763414579629898,16,3
71,cone,512,0.0,0.01,0.6710525751113892,<function dropout at 0x7f9c848a3a60>,0.7804877638816834,32,3
72,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
73,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
74,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
75,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
76,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
77,cone,512,0.5,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
78,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
79,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
80,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
81,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
82,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
83,cone,512,0.5,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
84,cone,512,0.5,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.7902438819408415,2,3
85,cone,512,0.5,0.1,0.75,<function dropout at 0x7f9c848a3a60>,0.7756097257137299,3,3
86,cone,512,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.763414579629898,4,3
87,cone,512,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
88,cone,512,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
89,cone,512,0.5,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
90,cone,512,0.5,0.01,0.7894736528396606,<function dropout at 0x7f9c848a3a60>,0.8121951162815094,2,3
91,cone,512,0.5,0.01,0.763157844543457,<function dropout at 0x7f9c848a3a60>,0.8073170661926269,3,3
92,cone,512,0.5,0.01,0.7763157486915588,<function dropout at 0x7f9c848a3a60>,0.809756064414978,4,3
93,cone,512,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
94,cone,512,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7609755516052246,16,3
95,cone,512,0.5,0.01,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
96,cone,1024,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
97,cone,1024,0.0,10.0,0.2631579041481018,<function dropout at 0x7f9c848a3a60>,0.2439024448394775,3,3
98,cone,1024,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
99,cone,1024,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
100,cone,1024,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.6536584854125976,16,3
101,cone,1024,0.0,10.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
102,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,2,3
103,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,3,3
104,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,4,3
105,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,8,3
106,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,16,3
107,cone,1024,0.0,1.0,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7560974955558776,32,3
108,cone,1024,0.0,0.1,0.7894736528396606,<function dropout at 0x7f9c848a3a60>,0.8146341681480409,2,3
109,cone,1024,0.0,0.1,0.7631579041481018,<function dropout at 0x7f9c848a3a60>,0.790243875980377,3,3
110,cone,1024,0.0,0.1,0.7105262875556946,<function dropout at 0x7f9c848a3a60>,0.8024389982223511,4,3
111,cone,1024,0.0,0.1,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.8219511926174163,8,3
112,cone,1024,0.0,0.1,0.7236841917037964,<function dropout at 0x7f9c848a3a60>,0.7926829099655152,16,3
113,cone,1024,0.0,0.1,0.7368420958518982,<function dropout at 0x7f9c848a3a60>,0.7902438700199128,32,3
114,cone,1024,0.0,0.01,0.7894736528396606,<function dropout at 0x7f9c848a3a60>,0.8219512045383454,2,3
115,cone,1024,0.0,0.01,0.75,<function dropout at 0x7f9c848a3a60>,0.799999988079071,3,3
