,dR,nstart,activationFn,nlayers,dropoutFn,learningrate,valAccuracy,testAccuracy,layerForm
23,0.0,256,3,32,<function dropout at 0x7fb415711a60>,0.01,0.7045454561710358,0.6782407760620117,cone
24,0.0,512,3,2,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
25,0.0,512,3,2,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
26,0.0,512,3,2,<function dropout at 0x7fb415711a60>,0.1,0.6318182051181793,0.4652777910232544,cone
27,0.0,512,3,2,<function dropout at 0x7fb415711a60>,0.01,0.5136363685131073,0.5162037014961243,cone
28,0.0,512,3,3,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
29,0.0,512,3,3,<function dropout at 0x7fb415711a60>,1.0,0.4090909361839295,0.6134259700775146,cone
30,0.0,512,3,3,<function dropout at 0x7fb415711a60>,0.1,0.6545454740524291,0.4490740895271301,cone
31,0.0,512,3,3,<function dropout at 0x7fb415711a60>,0.01,0.5590909302234651,0.44675928354263306,cone
32,0.0,512,3,4,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712962985038757,cone
33,0.0,512,3,4,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
34,0.0,512,3,4,<function dropout at 0x7fb415711a60>,0.1,0.6045454800128938,0.40740737318992615,cone
35,0.0,512,3,4,<function dropout at 0x7fb415711a60>,0.01,0.5545454740524294,0.46064817905426025,cone
36,0.0,512,3,8,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
37,0.0,512,3,8,<function dropout at 0x7fb415711a60>,1.0,0.5545454859733582,0.6712962985038757,cone
38,0.0,512,3,8,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.49768519401550293,cone
39,0.0,512,3,8,<function dropout at 0x7fb415711a60>,0.01,0.6136363983154297,0.4490741193294525,cone
40,0.0,512,3,16,<function dropout at 0x7fb415711a60>,10.0,0.5000000298023224,0.32870373129844666,cone
41,0.0,512,3,16,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
42,0.0,512,3,16,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.6111111044883728,cone
43,0.0,512,3,16,<function dropout at 0x7fb415711a60>,0.01,0.550000023841858,0.5300925970077515,cone
44,0.0,512,3,32,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712962985038757,cone
45,0.0,512,3,32,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
46,0.0,512,3,32,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.6712963581085205,cone
47,0.0,512,3,32,<function dropout at 0x7fb415711a60>,0.01,0.5772727549076081,0.5393518805503845,cone
48,0.0,1024,3,2,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712962985038757,cone
49,0.0,1024,3,2,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
50,0.0,1024,3,2,<function dropout at 0x7fb415711a60>,0.1,0.6000000268220902,0.5810185074806213,cone
51,0.0,1024,3,2,<function dropout at 0x7fb415711a60>,0.01,0.5772727549076081,0.43981480598449707,cone
52,0.0,1024,3,3,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
53,0.0,1024,3,3,<function dropout at 0x7fb415711a60>,1.0,0.518181848526001,0.4166666567325592,cone
54,0.0,1024,3,3,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.5509259104728699,cone
55,0.0,1024,3,3,<function dropout at 0x7fb415711a60>,0.01,0.5954545676708223,0.4259259104728699,cone
56,0.0,1024,3,4,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712962985038757,cone
57,0.0,1024,3,4,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
58,0.0,1024,3,4,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.45370370149612427,cone
59,0.0,1024,3,4,<function dropout at 0x7fb415711a60>,0.01,0.5181818306446077,0.4907407760620117,cone
60,0.0,1024,3,8,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
61,0.0,1024,3,8,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712962985038757,cone
62,0.0,1024,3,8,<function dropout at 0x7fb415711a60>,0.1,0.5909091234207153,0.5717592835426331,cone
63,0.0,1024,3,8,<function dropout at 0x7fb415711a60>,0.01,0.8772727429866791,0.5717592835426331,cone
64,0.0,1024,3,16,<function dropout at 0x7fb415711a60>,10.0,0.5909091234207153,0.6712963581085205,cone
65,0.0,1024,3,16,<function dropout at 0x7fb415711a60>,1.0,0.5909091234207153,0.6712963581085205,cone
66,0.0,1024,3,16,<function dropout at 0x7fb415711a60>,0.1,0.6227272987365723,0.6666666865348816,cone
67,0.0,1024,3,16,<function dropout at 0x7fb415711a60>,0.01,0.7136363863945008,0.5625,cone
