,learningrate,dropoutFn,dR,testAccuracy,activationFn,layerForm,valAccuracy,nstart,nlayers
57,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,8
58,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,16
59,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,32
60,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39642859101295475,512,2
61,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,3
62,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,4
63,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,8
64,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,16
65,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,32
66,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,2
67,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,3
68,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,4
69,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,8
70,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,16
71,1.0,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,32
72,0.1,<function dropout at 0x7f452873ba60>,0.0,0.7169811725616455,3,cone,0.7000000119209289,256,2
73,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.6214286029338837,256,3
74,0.1,<function dropout at 0x7f452873ba60>,0.0,0.7169811129570007,3,cone,0.7071428716182708,256,4
75,0.1,<function dropout at 0x7f452873ba60>,0.0,0.7358490228652954,3,cone,0.7035714507102967,256,8
76,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.650000035762787,256,16
77,0.1,<function dropout at 0x7f452873ba60>,0.0,0.30188679695129395,3,cone,0.3785714387893676,256,32
78,0.1,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.6785714507102966,512,2
79,0.1,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.6714285910129546,512,3
80,0.1,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.6857143104076384,512,4
81,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.6607143163681031,512,8
82,0.1,<function dropout at 0x7f452873ba60>,0.0,0.7358490824699402,3,cone,0.6285714566707611,512,16
83,0.1,<function dropout at 0x7f452873ba60>,0.0,0.43396228551864624,3,cone,0.41785715222358705,512,32
84,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.6964285969734192,1024,2
85,0.1,<function dropout at 0x7f452873ba60>,0.0,0.641509473323822,3,cone,0.6785714566707611,1024,3
86,0.1,<function dropout at 0x7f452873ba60>,0.0,0.7169811725616455,3,cone,0.6750000298023224,1024,4
87,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.6464285969734191,1024,8
88,0.1,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.6607143163681032,1024,16
89,0.1,<function dropout at 0x7f452873ba60>,0.0,0.4716981053352356,3,cone,0.3750000089406967,1024,32
90,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6603773832321167,3,cone,0.7071428716182708,256,2
91,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6603773832321167,3,cone,0.6000000298023224,256,3
92,0.1,<function dropout at 0x7f452873ba60>,0.5,0.641509473323822,3,cone,0.5607143163681031,256,4
93,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,8
94,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,16
95,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,32
96,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6792452931404114,3,cone,0.6642857432365418,512,2
97,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6603773832321167,3,cone,0.6500000476837159,512,3
98,0.1,<function dropout at 0x7f452873ba60>,0.5,0.5849056839942932,3,cone,0.47500001788139345,512,4
99,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,8
100,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,16
101,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,32
102,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6037735939025879,3,cone,0.6750000238418579,1024,2
103,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6792452931404114,3,cone,0.6392857670783998,1024,3
104,0.1,<function dropout at 0x7f452873ba60>,0.5,0.6792452931404114,3,cone,0.5785714566707612,1024,4
105,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,8
106,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,16
107,0.1,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,32
108,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.7142857313156127,256,2
109,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.7071428775787353,256,3
110,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6226415038108826,3,cone,0.6714286088943482,256,4
111,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.6142857551574706,256,8
112,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6603773832321167,3,cone,0.5964285850524902,256,16
113,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.596428620815277,256,32
114,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.7000000238418579,512,2
115,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.6607143282890321,512,3
116,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.6928571701049804,512,4
117,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.7000000238418579,512,8
118,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6415094137191772,3,cone,0.6750000178813934,512,16
119,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6792452931404114,3,cone,0.5857143044471741,512,32
120,0.01,<function dropout at 0x7f452873ba60>,0.0,0.7169811725616455,3,cone,0.7464285731315612,1024,2
121,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.7464285731315612,1024,3
122,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6603773832321167,3,cone,0.710714304447174,1024,4
123,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.710714304447174,1024,8
124,0.01,<function dropout at 0x7f452873ba60>,0.0,0.698113203048706,3,cone,0.6392857491970063,1024,16
125,0.01,<function dropout at 0x7f452873ba60>,0.0,0.6226415038108826,3,cone,0.6714286029338837,1024,32
126,0.01,<function dropout at 0x7f452873ba60>,0.5,0.5471698045730591,3,cone,0.6428571939468385,256,2
127,0.01,<function dropout at 0x7f452873ba60>,0.5,0.5660377740859985,3,cone,0.5035714268684387,256,3
128,0.01,<function dropout at 0x7f452873ba60>,0.5,0.5283018946647644,3,cone,0.560714316368103,256,4
129,0.01,<function dropout at 0x7f452873ba60>,0.5,0.3962264060974121,3,cone,0.39642857909202583,256,8
130,0.01,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.34642858505249025,256,16
131,0.01,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,256,32
132,0.01,<function dropout at 0x7f452873ba60>,0.5,0.698113203048706,3,cone,0.6214286148548127,512,2
133,0.01,<function dropout at 0x7f452873ba60>,0.5,0.6603773832321167,3,cone,0.5428571462631225,512,3
134,0.01,<function dropout at 0x7f452873ba60>,0.5,0.5094339847564697,3,cone,0.371428593993187,512,4
135,0.01,<function dropout at 0x7f452873ba60>,0.5,0.49056607484817505,3,cone,0.36428571939468385,512,8
136,0.01,<function dropout at 0x7f452873ba60>,0.5,0.49056604504585266,3,cone,0.4250000238418579,512,16
137,0.01,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,512,32
138,0.01,<function dropout at 0x7f452873ba60>,0.5,0.698113203048706,3,cone,0.6750000298023224,1024,2
139,0.01,<function dropout at 0x7f452873ba60>,0.5,0.6037735939025879,3,cone,0.650000047683716,1024,3
140,0.01,<function dropout at 0x7f452873ba60>,0.5,0.6415094137191772,3,cone,0.6428571939468385,1024,4
141,0.01,<function dropout at 0x7f452873ba60>,0.5,0.37735849618911743,3,cone,0.32142859697341924,1024,8
142,0.01,<function dropout at 0x7f452873ba60>,0.5,0.09433962404727936,3,cone,0.11428572237491608,1024,16
143,0.01,<function dropout at 0x7f452873ba60>,0.5,0.3207547068595886,3,cone,0.39285716414451605,1024,32
