,dR,nstart,learningrate,valAccuracy,activationFn,dropoutFn,nlayers,layerForm,testAccuracy
108,0.5,512,0.1,0.23846155181527134,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.5483870506286621
109,0.5,512,0.1,0.3000000178813934,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.4838709533214569
110,0.5,512,0.1,0.26153847649693485,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.4516128897666931
111,0.5,512,0.1,0.023076923936605456,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.22580644488334656
112,0.5,512,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
113,0.5,512,0.1,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
114,0.5,512,0.01,0.3461538702249527,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.5483870506286621
115,0.5,512,0.01,0.13076923564076423,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.3870967626571655
116,0.5,512,0.01,0.2230769336223602,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.3870967626571655
117,0.5,512,0.01,0.5307692587375641,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.25806450843811035
118,0.5,512,0.01,0.3076923191547393,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.4193548262119293
119,0.5,512,0.01,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
120,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.06451612710952759
121,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,3,cone,0.06451612710952759
122,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,4,cone,0.06451612710952759
123,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,8,cone,0.06451612710952759
124,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,16,cone,0.06451612710952759
125,0.5,1024,10.0,0.0,3,<function dropout at 0x7ffa97e45a60>,32,cone,0.06451612710952759
126,0.5,1024,1.0,0.01538461595773697,3,<function dropout at 0x7ffa97e45a60>,2,cone,0.16129031777381897
