,valAccuracy,testAccuracy,dR,dropoutFn,nlayers,nstart,layerForm,learningrate,activationFn
83,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,2,1024,rect,0.01,3
84,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,3,256,rect,10.0,3
85,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,3,256,rect,1.0,3
86,0.9701492190361025,0.9828571677207947,0.5,<function dropout at 0x7f742e293a60>,3,256,rect,0.1,3
87,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,3,256,rect,0.01,3
88,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,3,512,rect,10.0,3
89,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,3,512,rect,1.0,3
90,0.9701492190361025,0.9828571677207947,0.5,<function dropout at 0x7f742e293a60>,3,512,rect,0.1,3
91,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,3,512,rect,0.01,3
92,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,3,1024,rect,10.0,3
93,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,3,1024,rect,1.0,3
94,0.9582089245319367,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,3,1024,rect,0.1,3
95,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,3,1024,rect,0.01,3
96,0.6119402647018434,0.6571428179740906,0.5,<function dropout at 0x7f742e293a60>,4,256,rect,10.0,3
97,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,4,256,rect,1.0,3
98,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,4,256,rect,0.1,3
99,0.9701492190361025,0.9828571677207947,0.5,<function dropout at 0x7f742e293a60>,4,256,rect,0.01,3
100,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,4,512,rect,10.0,3
101,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,4,512,rect,1.0,3
102,0.9701492190361025,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,4,512,rect,0.1,3
103,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,4,512,rect,0.01,3
104,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,4,1024,rect,10.0,3
105,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,4,1024,rect,1.0,3
106,0.9462686240673065,0.977142870426178,0.5,<function dropout at 0x7f742e293a60>,4,1024,rect,0.1,3
107,0.9701492190361025,0.9714285731315613,0.5,<function dropout at 0x7f742e293a60>,4,1024,rect,0.01,3
108,0.6119402647018434,0.6571428775787354,0.5,<function dropout at 0x7f742e293a60>,8,256,rect,10.0,3
