,nstart,nlayers,layerForm,valAccuracy,activationFn,dropoutFn,testAccuracy,learningrate,dR
66,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
67,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
68,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.1,0.0
69,512,4,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
70,512,4,rect,0.9399999856948854,3,<function dropout at 0x7fe539533a60>,0.7599999904632568,0.01,0.0
71,512,4,rect,0.8399999916553499,3,<function dropout at 0x7fe539533a60>,0.6799999475479126,0.01,0.5
72,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
73,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
74,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
75,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
76,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
77,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
78,512,8,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.7999999523162842,0.01,0.0
79,512,8,rect,0.8499999940395356,3,<function dropout at 0x7fe539533a60>,0.6799999475479126,0.01,0.5
80,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
81,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
82,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
83,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
84,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
85,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.5
86,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8399999737739563,0.01,0.0
87,512,16,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.01,0.5
88,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.0
89,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,10.0,0.5
90,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.0
91,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,1.0,0.5
92,512,32,rect,0.9999999999999999,3,<function dropout at 0x7fe539533a60>,0.8799999952316284,0.1,0.0
