,testAccuracy,nstart,dropoutFn,dR,valAccuracy,learningrate,activationFn,nlayers,layerForm
69,0.9677239060401917,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9793815016746521,0.01,3,8,rect
70,0.9654979705810547,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9776632785797121,0.01,3,16,rect
71,0.9621590971946716,512,<function dropout at 0x7f7e98c5fa60>,0.0,0.9828178822994235,0.01,3,32,rect
72,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384924530984,10.0,3,2,rect
73,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542597,10.0,3,3,rect
74,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384850025176,10.0,3,4,rect
75,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542596,10.0,3,8,rect
76,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384924530983,10.0,3,16,rect
77,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385148048401,10.0,3,32,rect
78,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384999036791,1.0,3,2,rect
79,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542597,1.0,3,3,rect
80,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,1.0,3,4,rect
81,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384701013566,1.0,3,8,rect
82,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,1.0,3,16,rect
83,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168385073542596,1.0,3,32,rect
84,0.9749581813812256,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9898625671863556,0.1,3,2,rect
85,0.9699498414993286,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9874570548534394,0.1,3,3,rect
86,0.9705063104629517,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9859106540679932,0.1,3,4,rect
87,0.9693933725357056,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9786941528320313,0.1,3,8,rect
88,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,0.1,3,16,rect
89,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.1116838499903679,0.1,3,32,rect
90,0.9604896306991577,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9783505439758303,0.01,3,2,rect
91,0.9565942883491516,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9733677029609681,0.01,3,3,rect
92,0.9549248218536377,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.9780068755149841,0.01,3,4,rect
93,0.6911519765853882,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.7434707939624785,0.01,3,8,rect
94,0.13578185439109802,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.15378006994724275,0.01,3,16,rect
95,0.09905398637056351,512,<function dropout at 0x7f7e98c5fa60>,0.5,0.11168384626507757,0.01,3,32,rect
96,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384999036789,10.0,3,2,rect
97,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385297060016,10.0,3,3,rect
98,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384701013566,10.0,3,4,rect
99,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384775519372,10.0,3,8,rect
100,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385297060016,10.0,3,16,rect
101,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530984,10.0,3,32,rect
102,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.1116838499903679,1.0,3,2,rect
103,0.0990539938211441,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385148048403,1.0,3,3,rect
104,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385222554209,1.0,3,4,rect
105,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542597,1.0,3,8,rect
106,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168384924530984,1.0,3,16,rect
107,0.09905398637056351,1024,<function dropout at 0x7f7e98c5fa60>,0.0,0.11168385073542594,1.0,3,32,rect
