,nlayers,layerForm,dR,dropoutFn,activationFn,testAccuracy,nstart,valAccuracy,learningrate
103,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7456140518188477,512,0.7433962166309357,0.01
104,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
105,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.49056604504585266,1.0
106,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7412281036376953,1024,0.7377358555793762,0.1
107,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.780701756477356,1024,0.7396226465702057,0.01
108,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
109,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,1.0
110,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,256,0.49056604504585266,0.1
111,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.530701756477356,256,0.5216981232166291,0.01
112,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
113,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.4210526645183563,512,0.5094339847564698,1.0
114,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,512,0.5056603968143464,0.1
115,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,512,0.49056604504585266,0.01
116,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
117,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,1.0
118,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.4981132119894028,0.1
119,16,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.574561357498169,1024,0.49056604206562043,0.01
120,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5037736028432848,10.0
121,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,256,0.516037729382515,1.0
122,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8114035129547119,256,0.698113203048706,0.1
123,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7017543315887451,256,0.7235849022865296,0.01
124,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5056603968143464,10.0
125,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.530701756477356,512,0.6066037863492966,1.0
126,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7368420958518982,512,0.7000000119209289,0.1
127,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7763158082962036,512,0.7226415038108827,0.01
128,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5056603968143464,10.0
129,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.49056604504585266,1.0
130,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7324561476707458,1024,0.675471705198288,0.1
131,32,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8114035129547119,1024,0.8066037774085999,0.01
132,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
133,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,1.0
134,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,256,0.49056604504585266,0.1
135,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5219298601150513,256,0.5452830195426941,0.01
136,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
137,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,1.0
138,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5066037833690644,0.1
139,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,512,0.4933962315320969,0.01
140,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
141,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.49056604504585266,1.0
142,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.49056604504585266,0.1
143,32,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.5066037714481354,0.01
