,nstart,testAccuracy,layerForm,dropoutFn,activationFn,learningrate,nlayers,dR,valAccuracy
85,512,0.9800000786781311,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,2,0.5,0.979799246788025
86,512,0.9767568111419678,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,3,0.0,0.9799246788024905
87,512,0.9816216826438904,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,3,0.5,0.9786700010299685
88,512,0.9794594049453735,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,4,0.0,0.9795482754707339
89,512,0.9772973656654358,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,4,0.5,0.9781681120395661
90,512,0.9745946526527405,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,8,0.0,0.9731493055820464
91,512,0.9772973656654358,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,8,0.5,0.9741530418395995
92,512,0.9745945930480957,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,16,0.0,0.976160591840744
93,512,0.499459445476532,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,16,0.5,0.5444165617227555
94,512,0.9729730486869812,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,32,0.0,0.972270965576172
95,512,0.499459445476532,cone,<function dropout at 0x7fa1714e4a60>,3,0.01,32,0.5,0.48657463788986205
96,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,2,0.0,0.5144290924072266
97,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,2,0.5,0.5144290924072266
98,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,3,0.0,0.5144290924072266
99,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,3,0.5,0.5144290924072266
100,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,4,0.0,0.5144290924072266
101,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,4,0.5,0.5144290983676911
102,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,8,0.0,0.5144290924072266
103,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,8,0.5,0.5144290924072266
104,1024,0.49945947527885437,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,16,0.0,0.5028858065605164
105,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,16,0.5,0.5144290924072266
106,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,32,0.0,0.5144290924072266
107,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,10.0,32,0.5,0.5144291043281556
108,1024,0.499459445476532,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,2,0.0,0.4855708986520767
109,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,2,0.5,0.5144290924072266
110,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,3,0.0,0.5144290924072266
111,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,3,0.5,0.5144291400909424
112,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,4,0.0,0.5144290924072266
113,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,4,0.5,0.5144290924072266
114,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,8,0.0,0.5028858184814453
115,1024,0.5005406141281128,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,8,0.5,0.5144290924072266
116,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,16,0.0,0.5028858155012131
117,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,16,0.5,0.5144290924072266
118,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,32,0.0,0.5143036305904388
119,1024,0.500540554523468,cone,<function dropout at 0x7fa1714e4a60>,3,1.0,32,0.5,0.5144290924072266
120,1024,0.9756757616996765,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,2,0.0,0.9795482754707338
121,1024,0.978378415107727,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,2,0.5,0.9815557837486268
122,1024,0.9735134840011597,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,3,0.0,0.9780426621437075
123,1024,0.9783784747123718,cone,<function dropout at 0x7fa1714e4a60>,3,0.1,3,0.5,0.9803011119365693
