,learningrate,nstart,layerForm,dR,nlayers,dropoutFn,valAccuracy,testAccuracy,activationFn
35,10.0,1024,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
36,1.0,256,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.6633334100246429,0.46153849363327026,3
37,1.0,256,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
38,1.0,256,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
39,1.0,256,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.363333374261856,0.5384615659713745,3
40,1.0,256,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.46666672229766837,0.46153849363327026,3
41,1.0,256,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
42,1.0,256,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.37000004053115837,0.5384615659713745,3
43,1.0,256,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
44,1.0,256,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
45,1.0,256,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
46,1.0,256,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
47,1.0,256,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.43333338499069207,0.5384615659713745,3
48,1.0,512,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
49,1.0,512,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
50,1.0,512,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
51,1.0,512,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
52,1.0,512,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.40000004768371583,0.5384615659713745,3
53,1.0,512,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.40666670799255367,0.5384615659713745,3
54,1.0,512,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
55,1.0,512,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
56,1.0,512,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
57,1.0,512,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
58,1.0,512,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
59,1.0,512,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.46666672229766837,0.5384615659713745,3
60,1.0,1024,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.4000000357627869,0.5576923489570618,3
61,1.0,1024,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.3666667103767394,0.5384615659713745,3
62,1.0,1024,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
63,1.0,1024,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
64,1.0,1024,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.4333333849906921,0.5384615659713745,3
65,1.0,1024,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
66,1.0,1024,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
67,1.0,1024,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
68,1.0,1024,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
69,1.0,1024,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
70,1.0,1024,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
71,1.0,1024,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
72,0.1,256,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.5866667211055756,0.8653846979141235,3
73,0.1,256,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.6900000631809234,0.826923131942749,3
74,0.1,256,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.6966667175292968,0.826923131942749,3
75,0.1,256,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.7533334016799927,0.7884615659713745,3
76,0.1,256,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.7000000476837157,0.826923131942749,3
77,0.1,256,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.6600000500679016,0.5961538553237915,3
78,0.1,256,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.6533333897590636,0.8076923489570618,3
79,0.1,256,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.6666667342185973,0.7307692766189575,3
80,0.1,256,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.6933333814144134,0.711538553237915,3
81,0.1,256,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.35333337485790245,0.5384615659713745,3
82,0.1,256,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.3600000381469726,0.5384615659713745,3
83,0.1,256,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.4433333694934845,0.5384615659713745,3
84,0.1,512,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.7100000500679016,0.8461538553237915,3
85,0.1,512,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.6633333563804625,0.826923131942749,3
86,0.1,512,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.6200000047683716,0.8461538553237915,3
87,0.1,512,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.7333334088325502,0.826923131942749,3
88,0.1,512,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.7000000476837157,0.826923131942749,3
89,0.1,512,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.6366667509078979,0.7500000596046448,3
90,0.1,512,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.7200000643730164,0.826923131942749,3
91,0.1,512,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.6433333933353423,0.7500000596046448,3
92,0.1,512,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.763333410024643,0.7500000596046448,3
93,0.1,512,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.3866667032241821,0.5384615659713745,3
94,0.1,512,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.3433333694934845,0.5384615659713745,3
95,0.1,512,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.4666667222976685,0.5384615659713745,3
96,0.1,1024,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.6900000572204589,0.884615421295166,3
97,0.1,1024,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.7133333861827849,0.8653846979141235,3
98,0.1,1024,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.7000000476837157,0.7884615659713745,3
99,0.1,1024,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.6800000727176666,0.8653846979141235,3
100,0.1,1024,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.7800000607967379,0.8461538553237915,3
101,0.1,1024,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.6800000667572021,0.769230842590332,3
102,0.1,1024,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.7433333992958069,0.8076924085617065,3
103,0.1,1024,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.7333334028720857,0.8461538553237915,3
104,0.1,1024,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.703333395719528,0.692307710647583,3
105,0.1,1024,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.33666670620441436,0.5384615659713745,3
106,0.1,1024,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
107,0.1,1024,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.33333337306976313,0.5384615659713745,3
108,0.01,256,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.7200000643730162,0.769230842590332,3
109,0.01,256,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.7733334302902223,0.7884615659713745,3
110,0.01,256,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.6633334040641784,0.807692289352417,3
111,0.01,256,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.6500000655651093,0.692307710647583,3
112,0.01,256,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.6266667306423186,0.769230842590332,3
113,0.01,256,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.5966667175292969,0.6730769872665405,3
114,0.01,256,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.7833334207534791,0.6538462042808533,3
115,0.01,256,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.7500000894069674,0.75,3
116,0.01,256,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.7533334255218508,0.634615421295166,3
117,0.01,256,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.5300000429153443,0.4807692766189575,3
118,0.01,256,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.7000000298023223,0.5961538553237915,3
119,0.01,256,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.4366667091846465,0.5384615659713745,3
120,0.01,512,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.6333333730697631,0.75,3
121,0.01,512,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.6700000762939452,0.8461539149284363,3
122,0.01,512,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.7666667699813844,0.769230842590332,3
123,0.01,512,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.6000000834465026,0.75,3
124,0.01,512,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.7000000476837157,0.769230842590332,3
125,0.01,512,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.5533333837985993,0.5576923489570618,3
126,0.01,512,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.713333386182785,0.769230842590332,3
127,0.01,512,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.6966667175292968,0.7500000596046448,3
128,0.01,512,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.6600000739097595,0.692307710647583,3
129,0.01,512,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.716666728258133,0.7692307829856873,3
130,0.01,512,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.42666670680046076,0.5384615659713745,3
131,0.01,512,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
132,0.01,1024,cone,0.0,2,<function dropout at 0x7f4c921afa60>,0.7333333492279052,0.8076923489570618,3
133,0.01,1024,cone,0.0,3,<function dropout at 0x7f4c921afa60>,0.6666667342185973,0.7884615659713745,3
134,0.01,1024,cone,0.0,4,<function dropout at 0x7f4c921afa60>,0.7000000715255736,0.8653846979141235,3
135,0.01,1024,cone,0.0,8,<function dropout at 0x7f4c921afa60>,0.7200000286102294,0.8653846979141235,3
136,0.01,1024,cone,0.0,16,<function dropout at 0x7f4c921afa60>,0.7433334171772005,0.7307692766189575,3
137,0.01,1024,cone,0.0,32,<function dropout at 0x7f4c921afa60>,0.790000081062317,0.8076924085617065,3
138,0.01,1024,cone,0.5,2,<function dropout at 0x7f4c921afa60>,0.6933333992958068,0.807692289352417,3
139,0.01,1024,cone,0.5,3,<function dropout at 0x7f4c921afa60>,0.7100000500679016,0.7884616255760193,3
140,0.01,1024,cone,0.5,4,<function dropout at 0x7f4c921afa60>,0.7200000643730162,0.6538462042808533,3
141,0.01,1024,cone,0.5,8,<function dropout at 0x7f4c921afa60>,0.5566667258739472,0.5,3
142,0.01,1024,cone,0.5,16,<function dropout at 0x7f4c921afa60>,0.36666668951511383,0.5576923489570618,3
143,0.01,1024,cone,0.5,32,<function dropout at 0x7f4c921afa60>,0.6666667461395263,0.46153849363327026,3
