,dropoutFn,testAccuracy,activationFn,valAccuracy,layerForm,nlayers,learningrate,dR,nstart
55,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,1.0,0.0,512
56,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,1.0,0.0,1024
57,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,1.0,0.5,256
58,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,1.0,0.5,512
59,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,4,1.0,0.5,1024
60,<function dropout at 0x7f5ae6e12a60>,0.75,3,0.9364340782165528,rect,4,0.1,0.0,256
61,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9325581073760987,rect,4,0.1,0.0,512
62,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9434108257293702,rect,4,0.1,0.0,1024
63,<function dropout at 0x7f5ae6e12a60>,0.7699999809265137,3,0.8798449337482452,rect,4,0.1,0.5,256
64,<function dropout at 0x7f5ae6e12a60>,0.75,3,0.8193798422813416,rect,4,0.1,0.5,512
65,<function dropout at 0x7f5ae6e12a60>,0.7400000095367432,3,0.8302325606346131,rect,4,0.1,0.5,1024
66,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9255813598632812,rect,4,0.01,0.0,256
67,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9224805831909179,rect,4,0.01,0.0,512
68,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.9379844665527344,rect,4,0.01,0.0,1024
69,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.7503876090049743,rect,4,0.01,0.5,256
70,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.7503876030445099,rect,4,0.01,0.5,512
71,<function dropout at 0x7f5ae6e12a60>,0.7599999904632568,3,0.7496124029159547,rect,4,0.01,0.5,1024
72,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.0,256
73,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.0,512
74,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.0,1024
75,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.5,256
76,<function dropout at 0x7f5ae6e12a60>,0.0,3,0.007751937955617905,rect,8,10.0,0.5,512
