,layerForm,testAccuracy,dR,dropoutFn,valAccuracy,activationFn,nstart,nlayers,learningrate
45,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893048703670504,3,512,32,1.0
46,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,512,32,0.1
47,rect,0.995987594127655,0.0,<function dropout at 0x7f3ba2b0da60>,0.9943851053714753,3,512,32,0.01
48,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,1024,2,10.0
49,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,1024,2,1.0
50,rect,0.9969135522842407,0.0,<function dropout at 0x7f3ba2b0da60>,0.9975268244743349,3,1024,2,0.1
51,rect,0.9854937791824341,0.0,<function dropout at 0x7f3ba2b0da60>,0.9812835156917572,3,1024,2,0.01
52,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,3,10.0
53,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489305227994919,3,1024,3,1.0
54,rect,0.9981480836868286,0.0,<function dropout at 0x7f3ba2b0da60>,0.9986631870269778,3,1024,3,0.1
55,rect,0.9932098388671875,0.0,<function dropout at 0x7f3ba2b0da60>,0.9931150615215302,3,1024,3,0.01
56,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,1024,4,10.0
57,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,1024,4,1.0
58,rect,0.9981481432914734,0.0,<function dropout at 0x7f3ba2b0da60>,0.9986631870269778,3,1024,4,0.1
59,rect,0.9962961673736572,0.0,<function dropout at 0x7f3ba2b0da60>,0.9969252288341524,3,1024,4,0.01
60,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,1024,8,10.0
61,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489305078983307,3,1024,8,1.0
62,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,8,0.1
63,rect,0.9969134330749512,0.0,<function dropout at 0x7f3ba2b0da60>,0.998529499769211,3,1024,8,0.01
64,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304810762406,3,1024,16,10.0
65,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,1024,16,1.0
66,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,1024,16,0.1
67,rect,0.996604859828949,0.0,<function dropout at 0x7f3ba2b0da60>,0.9985963404178622,3,1024,16,0.01
68,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,32,10.0
69,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,1024,32,1.0
70,rect,0.33364197611808777,0.0,<function dropout at 0x7f3ba2b0da60>,0.3489304810762406,3,1024,32,0.1
71,rect,0.9950615763664246,0.0,<function dropout at 0x7f3ba2b0da60>,0.9986631870269778,3,1024,32,0.01
72,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,2,10.0
73,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,256,2,1.0
74,rect,0.9691357016563416,0.5,<function dropout at 0x7f3ba2b0da60>,0.9639038383960723,3,256,2,0.1
75,rect,0.9441357254981995,0.5,<function dropout at 0x7f3ba2b0da60>,0.9330883026123047,3,256,2,0.01
76,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893048107624064,3,256,3,10.0
77,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489305049180985,3,256,3,1.0
78,rect,0.9749999046325684,0.5,<function dropout at 0x7f3ba2b0da60>,0.9676471412181855,3,256,3,0.1
79,rect,0.8922839164733887,0.5,<function dropout at 0x7f3ba2b0da60>,0.8828877389431,3,256,3,0.01
80,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,256,4,10.0
81,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,256,4,1.0
82,rect,0.9635801315307617,0.5,<function dropout at 0x7f3ba2b0da60>,0.962366396188736,3,256,4,0.1
83,rect,0.7836419343948364,0.5,<function dropout at 0x7f3ba2b0da60>,0.793516081571579,3,256,4,0.01
84,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,8,10.0
85,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,256,8,1.0
86,rect,0.9317900538444519,0.5,<function dropout at 0x7f3ba2b0da60>,0.9256016850471497,3,256,8,0.1
87,rect,0.9175925850868225,0.5,<function dropout at 0x7f3ba2b0da60>,0.9054813385009766,3,256,8,0.01
88,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893048405647287,3,256,16,10.0
89,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,16,1.0
90,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489305078983307,3,256,16,0.1
91,rect,0.2657407522201538,0.5,<function dropout at 0x7f3ba2b0da60>,0.3048128306865692,3,256,16,0.01
92,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,256,32,10.0
93,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,256,32,1.0
94,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304870367051,3,256,32,0.1
95,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,256,32,0.01
96,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,2,10.0
97,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,2,1.0
98,rect,0.9635801911354065,0.5,<function dropout at 0x7f3ba2b0da60>,0.9651070237159728,3,512,2,0.1
99,rect,0.9432097673416138,0.5,<function dropout at 0x7f3ba2b0da60>,0.9387701690196991,3,512,2,0.01
100,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,3,10.0
101,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,512,3,1.0
102,rect,0.9848765134811401,0.5,<function dropout at 0x7f3ba2b0da60>,0.9796792507171631,3,512,3,0.1
103,rect,0.8685184717178345,0.5,<function dropout at 0x7f3ba2b0da60>,0.8633690416812897,3,512,3,0.01
104,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,4,10.0
105,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,4,1.0
106,rect,0.986728310585022,0.5,<function dropout at 0x7f3ba2b0da60>,0.980548232793808,3,512,4,0.1
107,rect,0.7425925731658936,0.5,<function dropout at 0x7f3ba2b0da60>,0.7662433445453644,3,512,4,0.01
108,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,8,10.0
109,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,8,1.0
110,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,8,0.1
111,rect,0.6629629135131836,0.5,<function dropout at 0x7f3ba2b0da60>,0.6572192549705506,3,512,8,0.01
112,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,512,16,10.0
113,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304959774018,3,512,16,1.0
114,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,512,16,0.1
115,rect,0.39135804772377014,0.5,<function dropout at 0x7f3ba2b0da60>,0.3558155030012131,3,512,16,0.01
116,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,512,32,10.0
117,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,512,32,1.0
118,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,512,32,0.1
119,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,512,32,0.01
120,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,2,10.0
121,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,1024,2,1.0
122,rect,0.9814813137054443,0.5,<function dropout at 0x7f3ba2b0da60>,0.9743985116481783,3,1024,2,0.1
123,rect,0.9339505434036255,0.5,<function dropout at 0x7f3ba2b0da60>,0.924732679128647,3,1024,2,0.01
124,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489305078983307,3,1024,3,10.0
125,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893048107624064,3,1024,3,1.0
126,rect,0.9932097792625427,0.5,<function dropout at 0x7f3ba2b0da60>,0.9904412508010864,3,1024,3,0.1
127,rect,0.8469134569168091,0.5,<function dropout at 0x7f3ba2b0da60>,0.8594251930713654,3,1024,3,0.01
128,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,1024,4,10.0
129,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,4,1.0
130,rect,0.99043208360672,0.5,<function dropout at 0x7f3ba2b0da60>,0.9940508961677551,3,1024,4,0.1
131,rect,0.7509258985519409,0.5,<function dropout at 0x7f3ba2b0da60>,0.7685829281806946,3,1024,4,0.01
132,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,8,10.0
133,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893047809600836,3,1024,8,1.0
134,rect,0.33364200592041016,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489305108785629,3,1024,8,0.1
135,rect,0.6484567523002625,0.5,<function dropout at 0x7f3ba2b0da60>,0.6383021295070648,3,1024,8,0.01
136,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.348930498957634,3,1024,16,10.0
137,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893049299716955,3,1024,16,1.0
138,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050491809846,3,1024,16,0.1
139,rect,0.6219135522842407,0.5,<function dropout at 0x7f3ba2b0da60>,0.5223261773586273,3,1024,16,0.01
140,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050789833074,3,1024,32,10.0
141,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304840564728,3,1024,32,1.0
142,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.34893050193786623,3,1024,32,0.1
143,rect,0.33364197611808777,0.5,<function dropout at 0x7f3ba2b0da60>,0.3489304900169373,3,1024,32,0.01
