,learningrate,nstart,valAccuracy,dropoutFn,activationFn,testAccuracy,dR,layerForm,nlayers
72,0.1,256,0.9937499999999999,<function dropout at 0x7fc0b4af2a60>,3,0.6782407760620117,0.0,cone,2
73,0.1,256,0.90625,<function dropout at 0x7fc0b4af2a60>,3,0.6620370745658875,0.0,cone,3
74,0.1,256,0.96875,<function dropout at 0x7fc0b4af2a60>,3,0.6967592835426331,0.0,cone,4
75,0.1,256,0.48750000000000004,<function dropout at 0x7fc0b4af2a60>,3,0.5532407760620117,0.0,cone,8
76,0.1,256,0.8875,<function dropout at 0x7fc0b4af2a60>,3,0.5879629850387573,0.0,cone,16
77,0.1,256,0.51875,<function dropout at 0x7fc0b4af2a60>,3,0.4999999701976776,0.0,cone,32
78,0.1,256,0.8125,<function dropout at 0x7fc0b4af2a60>,3,0.7268519401550293,0.5,cone,2
79,0.1,256,0.76875,<function dropout at 0x7fc0b4af2a60>,3,0.7129629850387573,0.5,cone,3
80,0.1,256,0.8625,<function dropout at 0x7fc0b4af2a60>,3,0.6064814925193787,0.5,cone,4
81,0.1,256,0.5875,<function dropout at 0x7fc0b4af2a60>,3,0.5416666865348816,0.5,cone,8
82,0.1,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
83,0.1,256,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.4745370149612427,0.5,cone,32
84,0.1,512,0.6625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.3587963283061981,0.0,cone,2
85,0.1,512,0.94375,<function dropout at 0x7fc0b4af2a60>,3,0.6111111044883728,0.0,cone,3
86,0.1,512,0.4875000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.555555522441864,0.0,cone,4
87,0.1,512,0.8812499999999999,<function dropout at 0x7fc0b4af2a60>,3,0.6620370149612427,0.0,cone,8
88,0.1,512,0.5125000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.43518516421318054,0.0,cone,16
89,0.1,512,0.58125,<function dropout at 0x7fc0b4af2a60>,3,0.5092592835426331,0.0,cone,32
90,0.1,512,0.8437500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.7407407760620117,0.5,cone,2
91,0.1,512,0.5000000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.4791666567325592,0.5,cone,3
92,0.1,512,0.5000000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.4375,0.5,cone,4
93,0.1,512,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
94,0.1,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
95,0.1,512,0.4875000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
96,0.1,1024,0.58125,<function dropout at 0x7fc0b4af2a60>,3,0.7268518805503845,0.0,cone,2
97,0.1,1024,0.525,<function dropout at 0x7fc0b4af2a60>,3,0.43981483578681946,0.0,cone,3
98,0.1,1024,0.5,<function dropout at 0x7fc0b4af2a60>,3,0.7060185074806213,0.0,cone,4
99,0.1,1024,0.83125,<function dropout at 0x7fc0b4af2a60>,3,0.5717592239379883,0.0,cone,8
100,0.1,1024,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5254629850387573,0.0,cone,16
101,0.1,1024,0.8187500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6435185074806213,0.0,cone,32
102,0.1,1024,0.6812499999999999,<function dropout at 0x7fc0b4af2a60>,3,0.6226851940155029,0.5,cone,2
103,0.1,1024,0.5125000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5439814925193787,0.5,cone,3
104,0.1,1024,0.5000000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.4305555820465088,0.5,cone,4
105,0.1,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,8
106,0.1,1024,0.4625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
107,0.1,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,32
108,0.01,256,0.9874999999999999,<function dropout at 0x7fc0b4af2a60>,3,0.6666666865348816,0.0,cone,2
109,0.01,256,0.925,<function dropout at 0x7fc0b4af2a60>,3,0.6550925970077515,0.0,cone,3
110,0.01,256,0.9625,<function dropout at 0x7fc0b4af2a60>,3,0.506944477558136,0.0,cone,4
111,0.01,256,0.91875,<function dropout at 0x7fc0b4af2a60>,3,0.5370370149612427,0.0,cone,8
112,0.01,256,0.9375,<function dropout at 0x7fc0b4af2a60>,3,0.5833333730697632,0.0,cone,16
113,0.01,256,0.81875,<function dropout at 0x7fc0b4af2a60>,3,0.5347222089767456,0.0,cone,32
114,0.01,256,0.8750000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6666666269302368,0.5,cone,2
115,0.01,256,0.7375000000000002,<function dropout at 0x7fc0b4af2a60>,3,0.7199075222015381,0.5,cone,3
116,0.01,256,0.5750000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5648148059844971,0.5,cone,4
117,0.01,256,0.4562500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5439814925193787,0.5,cone,8
118,0.01,256,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.5648148059844971,0.5,cone,16
119,0.01,256,0.6812499999999999,<function dropout at 0x7fc0b4af2a60>,3,0.5833333730697632,0.5,cone,32
120,0.01,512,0.9375,<function dropout at 0x7fc0b4af2a60>,3,0.6504629850387573,0.0,cone,2
121,0.01,512,0.9375,<function dropout at 0x7fc0b4af2a60>,3,0.5810185670852661,0.0,cone,3
122,0.01,512,0.93125,<function dropout at 0x7fc0b4af2a60>,3,0.5601851940155029,0.0,cone,4
123,0.01,512,0.8687500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6435185074806213,0.0,cone,8
124,0.01,512,0.91875,<function dropout at 0x7fc0b4af2a60>,3,0.5763888955116272,0.0,cone,16
125,0.01,512,0.8750000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.569444477558136,0.0,cone,32
126,0.01,512,0.8812500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6759259700775146,0.5,cone,2
127,0.01,512,0.625,<function dropout at 0x7fc0b4af2a60>,3,0.7384259700775146,0.5,cone,3
128,0.01,512,0.71875,<function dropout at 0x7fc0b4af2a60>,3,0.6620370745658875,0.5,cone,4
129,0.01,512,0.45000000000000007,<function dropout at 0x7fc0b4af2a60>,3,0.6157407760620117,0.5,cone,8
130,0.01,512,0.5625000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.46064817905426025,0.5,cone,16
131,0.01,512,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.4629629850387573,0.5,cone,32
132,0.01,1024,0.9624999999999999,<function dropout at 0x7fc0b4af2a60>,3,0.5902777910232544,0.0,cone,2
133,0.01,1024,0.96875,<function dropout at 0x7fc0b4af2a60>,3,0.5972222685813904,0.0,cone,3
134,0.01,1024,0.9874999999999999,<function dropout at 0x7fc0b4af2a60>,3,0.6435185670852661,0.0,cone,4
135,0.01,1024,0.9624999999999999,<function dropout at 0x7fc0b4af2a60>,3,0.4027777910232544,0.0,cone,8
136,0.01,1024,0.9312499999999999,<function dropout at 0x7fc0b4af2a60>,3,0.680555522441864,0.0,cone,16
137,0.01,1024,0.90625,<function dropout at 0x7fc0b4af2a60>,3,0.5462962985038757,0.0,cone,32
138,0.01,1024,0.9375000000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6828703284263611,0.5,cone,2
139,0.01,1024,0.8812500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.6944444179534912,0.5,cone,3
140,0.01,1024,0.49374999999999997,<function dropout at 0x7fc0b4af2a60>,3,0.6250000596046448,0.5,cone,4
141,0.01,1024,0.4437500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5393518805503845,0.5,cone,8
142,0.01,1024,0.43750000000000006,<function dropout at 0x7fc0b4af2a60>,3,0.472222238779068,0.5,cone,16
143,0.01,1024,0.5562500000000001,<function dropout at 0x7fc0b4af2a60>,3,0.5254629254341125,0.5,cone,32
