,testAccuracy,layerForm,dR,activationFn,nlayers,dropoutFn,nstart,learningrate,valAccuracy
35,0.89000004529953,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,1024,0.01,0.8951734602451323
36,0.2304999977350235,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
37,0.2304999977350235,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
38,0.8760000467300415,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,256,0.1,0.8966817557811736
39,0.8925000429153442,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,256,0.01,0.8865761756896972
40,0.2304999977350235,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
41,0.2304999977350235,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,512,1.0,0.259426862001419
42,0.8889999985694885,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,512,0.1,0.8903469145298003
43,0.8925000429153442,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,512,0.01,0.898340880870819
44,0.2305000126361847,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
45,0.1119999885559082,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,1024,1.0,0.10708899050951003
46,0.9079999923706055,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,1024,0.1,0.9132730066776275
47,0.8920000195503235,cone,0.0,3,8,<function dropout at 0x7ff861a4da60>,1024,0.01,0.898340880870819
48,0.2304999977350235,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
49,0.2304999977350235,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
50,0.8850001096725464,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,256,0.1,0.8826546072959899
51,0.8835000395774841,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,256,0.01,0.8825037777423858
52,0.2305000126361847,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
53,0.2304999977350235,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,512,1.0,0.259426862001419
54,0.902999997138977,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,512,0.1,0.9015083014965056
55,0.8884999752044678,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,512,0.01,0.8953242897987365
56,0.2305000126361847,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
57,0.2304999977350235,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,1024,1.0,0.259426862001419
58,0.2304999977350235,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,1024,0.1,0.24736049771308896
59,0.9050000309944153,cone,0.0,3,16,<function dropout at 0x7ff861a4da60>,1024,0.01,0.9000000059604644
60,0.2304999977350235,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
61,0.2305000126361847,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
62,0.4339999854564667,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,256,0.1,0.5708899110555649
63,0.8889999985694885,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,256,0.01,0.8992458581924437
64,0.2304999977350235,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
65,0.2304999977350235,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,512,1.0,0.259426862001419
66,0.5005000233650208,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,512,0.1,0.4894419461488723
67,0.9045000076293945,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,512,0.01,0.9027149379253386
68,0.2305000126361847,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
69,0.2305000126361847,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,1024,1.0,0.259426862001419
70,0.2304999977350235,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,1024,0.1,0.259426862001419
71,0.9049999713897705,cone,0.0,3,32,<function dropout at 0x7ff861a4da60>,1024,0.01,0.9015083014965056
72,0.2304999977350235,cone,0.5,3,2,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
73,0.2305000126361847,cone,0.5,3,2,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
74,0.8740001320838928,cone,0.5,3,2,<function dropout at 0x7ff861a4da60>,256,0.1,0.8894419372081755
75,0.8300000429153442,cone,0.5,3,2,<function dropout at 0x7ff861a4da60>,256,0.01,0.8582202196121215
