,testAccuracy,activationFn,valAccuracy,layerForm,learningrate,dropoutFn,nlayers,dR,nstart
60,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,256
61,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,512
62,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.0,1024
63,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,256
64,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,512
65,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,16,0.5,1024
66,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,256
67,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,512
68,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.0,1024
69,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,256
70,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,512
71,0.0996578186750412,3,0.09411404281854631,rect,1.0,<function dropout at 0x7f5f67c0ba60>,32,0.5,1024
72,0.6082121133804321,3,0.632801991701126,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.0,256
73,0.6412888765335083,3,0.6338749408721923,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.0,512
74,0.6410036683082581,3,0.6306253850460053,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.0,1024
75,0.45423439145088196,3,0.4822808176279068,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.5,256
76,0.4813230633735657,3,0.4541079223155975,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.5,512
77,0.4568006694316864,3,0.4406192630529404,rect,0.1,<function dropout at 0x7f5f67c0ba60>,2,0.5,1024
78,0.7925577163696289,3,0.7798896610736847,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.0,256
79,0.7911320328712463,3,0.7839668929576874,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.0,512
80,0.7999714612960815,3,0.7787247061729431,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.0,1024
81,0.5101225972175598,3,0.5137032806873323,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.5,256
82,0.4803250730037689,3,0.45367873609066006,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.5,512
83,0.5116909146308899,3,0.4793991595506668,rect,0.1,<function dropout at 0x7f5f67c0ba60>,3,0.5,1024
84,0.8310521245002747,3,0.8177498817443848,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.0,256
85,0.8468776941299438,3,0.8302881836891174,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.0,512
86,0.8498716950416565,3,0.8453709781169892,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.0,1024
87,0.5178214907646179,3,0.5174126505851745,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.5,256
88,0.5346449613571167,3,0.5362354516983032,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.5,512
89,0.4188765287399292,3,0.4133966863155365,rect,0.1,<function dropout at 0x7f5f67c0ba60>,4,0.5,1024
90,0.8768177032470703,3,0.8636726319789887,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.0,256
91,0.8838038444519043,3,0.8639484941959382,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.0,512
92,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.0,1024
93,0.45423442125320435,3,0.45505826175212855,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.5,256
94,0.5035642981529236,3,0.4828939408063889,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.5,512
95,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,8,0.5,1024
96,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.0,256
97,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.0,512
98,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.0,1024
99,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.5,256
100,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.5,512
101,0.0996578186750412,3,0.09411404281854631,rect,0.1,<function dropout at 0x7f5f67c0ba60>,16,0.5,1024
