,dR,valAccuracy,nlayers,layerForm,testAccuracy,dropoutFn,learningrate,nstart,activationFn
71,0.0,0.7980000197887421,32,rect,0.7894736528396606,<function dropout at 0x7f41091aca60>,0.01,1024,3
72,0.5,0.4359999805688857,2,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,256,3
73,0.5,0.4359999895095824,2,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,512,3
74,0.5,0.435999983549118,2,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,1024,3
75,0.5,0.42500000298023216,2,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
76,0.5,0.44599997401237484,2,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
77,0.5,0.4359999805688857,2,rect,0.4210526645183563,<function dropout at 0x7f41091aca60>,1.0,1024,3
78,0.5,0.7670000076293946,2,rect,0.7456140518188477,<function dropout at 0x7f41091aca60>,0.1,256,3
79,0.5,0.7770000100135803,2,rect,0.7412281036376953,<function dropout at 0x7f41091aca60>,0.1,512,3
80,0.5,0.74099999666214,2,rect,0.7587719559669495,<function dropout at 0x7f41091aca60>,0.1,1024,3
81,0.5,0.7370000064373017,2,rect,0.7280701994895935,<function dropout at 0x7f41091aca60>,0.01,256,3
82,0.5,0.7700000166893006,2,rect,0.7456139922142029,<function dropout at 0x7f41091aca60>,0.01,512,3
83,0.5,0.7730000138282777,2,rect,0.7456139922142029,<function dropout at 0x7f41091aca60>,0.01,1024,3
84,0.5,0.4199999928474426,3,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,256,3
85,0.5,0.41999999880790706,3,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,512,3
86,0.5,0.41999999880790706,3,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,1024,3
87,0.5,0.4359999805688857,3,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
88,0.5,0.4359999865293502,3,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,512,3
89,0.5,0.4359999895095824,3,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,1024,3
90,0.5,0.7590000212192537,3,rect,0.7368420362472534,<function dropout at 0x7f41091aca60>,0.1,256,3
91,0.5,0.747999995946884,3,rect,0.7236841917037964,<function dropout at 0x7f41091aca60>,0.1,512,3
92,0.5,0.7399999797344209,3,rect,0.7763158082962036,<function dropout at 0x7f41091aca60>,0.1,1024,3
93,0.5,0.7369999945163728,3,rect,0.6973683834075928,<function dropout at 0x7f41091aca60>,0.01,256,3
94,0.5,0.7450000107288361,3,rect,0.7236842513084412,<function dropout at 0x7f41091aca60>,0.01,512,3
95,0.5,0.7650000154972076,3,rect,0.7324561476707458,<function dropout at 0x7f41091aca60>,0.01,1024,3
96,0.5,0.4199999868869781,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,256,3
97,0.5,0.4199999868869781,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,512,3
98,0.5,0.4200000017881393,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,1024,3
99,0.5,0.4199999868869781,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
100,0.5,0.41999999582767483,4,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
101,0.5,0.41999999582767483,4,rect,0.4210526645183563,<function dropout at 0x7f41091aca60>,1.0,1024,3
102,0.5,0.7070000171661377,4,rect,0.7192983031272888,<function dropout at 0x7f41091aca60>,0.1,256,3
103,0.5,0.7149999916553497,4,rect,0.719298243522644,<function dropout at 0x7f41091aca60>,0.1,512,3
104,0.5,0.7039999842643737,4,rect,0.719298243522644,<function dropout at 0x7f41091aca60>,0.1,1024,3
105,0.5,0.6679999649524689,4,rect,0.609649121761322,<function dropout at 0x7f41091aca60>,0.01,256,3
106,0.5,0.718999981880188,4,rect,0.6710525751113892,<function dropout at 0x7f41091aca60>,0.01,512,3
107,0.5,0.7169999957084655,4,rect,0.7236842513084412,<function dropout at 0x7f41091aca60>,0.01,1024,3
108,0.5,0.420000010728836,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,256,3
109,0.5,0.4199999958276748,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,512,3
110,0.5,0.4200000047683715,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,1024,3
111,0.5,0.41999999880790706,8,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,256,3
112,0.5,0.4199999868869781,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,512,3
113,0.5,0.4199999928474426,8,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,1024,3
114,0.5,0.55999995470047,8,rect,0.5175439119338989,<function dropout at 0x7f41091aca60>,0.1,256,3
115,0.5,0.43499998152256003,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
116,0.5,0.41999999284744255,8,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,1024,3
117,0.5,0.5169999778270722,8,rect,0.44736844301223755,<function dropout at 0x7f41091aca60>,0.01,256,3
118,0.5,0.5179999738931655,8,rect,0.5570175647735596,<function dropout at 0x7f41091aca60>,0.01,512,3
119,0.5,0.5359999597072602,8,rect,0.5394737124443054,<function dropout at 0x7f41091aca60>,0.01,1024,3
120,0.5,0.4200000017881393,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,10.0,256,3
121,0.5,0.41999999284744255,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,512,3
122,0.5,0.4199999958276748,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,10.0,1024,3
123,0.5,0.4199999898672103,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,256,3
124,0.5,0.42000000774860374,16,rect,0.42105260491371155,<function dropout at 0x7f41091aca60>,1.0,512,3
125,0.5,0.41999999284744255,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,1.0,1024,3
126,0.5,0.4199999898672103,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,256,3
127,0.5,0.41999999880790706,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,512,3
128,0.5,0.420000010728836,16,rect,0.42105263471603394,<function dropout at 0x7f41091aca60>,0.1,1024,3
