,testAccuracy,dR,layerForm,nstart,activationFn,nlayers,learningrate,dropoutFn,valAccuracy
103,0.8440000414848328,0.5,cone,512,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.8610168993473054
104,0.3312000036239624,0.5,cone,512,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
105,0.3312000036239624,0.5,cone,512,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
106,0.8375999927520752,0.5,cone,512,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.852730667591095
107,0.8255999684333801,0.5,cone,512,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8244820833206178
108,0.3312000036239624,0.5,cone,512,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
109,0.3312000036239624,0.5,cone,512,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
110,0.8112000226974487,0.5,cone,512,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.819962340593338
111,0.6567999124526978,0.5,cone,512,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.68775897026062
112,0.3312000036239624,0.5,cone,512,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
113,0.3312000036239624,0.5,cone,512,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
114,0.3399999737739563,0.5,cone,512,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.3386063992977143
115,0.37519997358322144,0.5,cone,512,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.3864406645298004
116,0.3312000036239624,0.5,cone,512,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
117,0.3312000036239624,0.5,cone,512,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
118,0.3312000036239624,0.5,cone,512,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
119,0.3431999683380127,0.5,cone,512,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.4137476280331611
120,0.3312000036239624,0.5,cone,1024,3,2,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
121,0.3312000036239624,0.5,cone,1024,3,2,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
122,0.8303999304771423,0.5,cone,1024,3,2,0.1,<function dropout at 0x7f6cb43c0a60>,0.8485875606536866
123,0.8439998626708984,0.5,cone,1024,3,2,0.01,<function dropout at 0x7f6cb43c0a60>,0.8647833943367004
124,0.3312000036239624,0.5,cone,1024,3,3,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
125,0.3312000036239624,0.5,cone,1024,3,3,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
126,0.8479999303817749,0.5,cone,1024,3,3,0.1,<function dropout at 0x7f6cb43c0a60>,0.8467043340206146
127,0.8367998600006104,0.5,cone,1024,3,3,0.01,<function dropout at 0x7f6cb43c0a60>,0.8519773542881012
128,0.3312000036239624,0.5,cone,1024,3,4,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
129,0.3312000036239624,0.5,cone,1024,3,4,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
130,0.8287999629974365,0.5,cone,1024,3,4,0.1,<function dropout at 0x7f6cb43c0a60>,0.8506591022014618
131,0.8271999359130859,0.5,cone,1024,3,4,0.01,<function dropout at 0x7f6cb43c0a60>,0.8536723077297211
132,0.3312000036239624,0.5,cone,1024,3,8,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
133,0.3312000036239624,0.5,cone,1024,3,8,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
134,0.8319999575614929,0.5,cone,1024,3,8,0.1,<function dropout at 0x7f6cb43c0a60>,0.8401129603385925
135,0.6527999639511108,0.5,cone,1024,3,8,0.01,<function dropout at 0x7f6cb43c0a60>,0.6706214606761933
136,0.3312000036239624,0.5,cone,1024,3,16,10.0,<function dropout at 0x7f6cb43c0a60>,0.31261771321296694
137,0.3312000036239624,0.5,cone,1024,3,16,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
138,0.3312000036239624,0.5,cone,1024,3,16,0.1,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
139,0.30319997668266296,0.5,cone,1024,3,16,0.01,<function dropout at 0x7f6cb43c0a60>,0.30357815623283385
140,0.3312000036239624,0.5,cone,1024,3,32,10.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
141,0.3312000036239624,0.5,cone,1024,3,32,1.0,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
142,0.3312000036239624,0.5,cone,1024,3,32,0.1,<function dropout at 0x7f6cb43c0a60>,0.3126177191734314
143,0.3312000036239624,0.5,cone,1024,3,32,0.01,<function dropout at 0x7f6cb43c0a60>,0.31431263089179995
