,layerForm,activationFn,testAccuracy,dR,valAccuracy,dropoutFn,nstart,nlayers,learningrate
26,rect,3,0.5652173757553101,0.0,0.6714285969734191,<function dropout at 0x7f1b5ef25a60>,512,2,0.1
27,rect,3,0.6086956858634949,0.0,0.685714304447174,<function dropout at 0x7f1b5ef25a60>,512,2,0.01
28,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,3,10.0
29,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,3,1.0
30,rect,3,0.6086956858634949,0.0,0.7142857432365416,<function dropout at 0x7f1b5ef25a60>,512,3,0.1
31,rect,3,0.5652173757553101,0.0,0.7142857313156127,<function dropout at 0x7f1b5ef25a60>,512,3,0.01
32,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,4,10.0
33,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,4,1.0
34,rect,3,0.695652186870575,0.0,0.7428571760654449,<function dropout at 0x7f1b5ef25a60>,512,4,0.1
35,rect,3,0.6521739363670349,0.0,0.8571429252624511,<function dropout at 0x7f1b5ef25a60>,512,4,0.01
36,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,8,10.0
37,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,8,1.0
38,rect,3,0.21739131212234497,0.0,0.15714286416769024,<function dropout at 0x7f1b5ef25a60>,512,8,0.1
39,rect,3,0.7391304969787598,0.0,0.7857143402099609,<function dropout at 0x7f1b5ef25a60>,512,8,0.01
40,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,16,10.0
41,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,16,1.0
42,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,16,0.1
43,rect,3,0.6521738767623901,0.0,0.8142857670783996,<function dropout at 0x7f1b5ef25a60>,512,16,0.01
44,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,32,10.0
45,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,32,1.0
46,rect,3,0.21739131212234497,0.0,0.14285714924335477,<function dropout at 0x7f1b5ef25a60>,512,32,0.1
