,learningrate,testAccuracy,activationFn,nstart,valAccuracy,dR,nlayers,dropoutFn,layerForm
103,0.1,0.9632439613342285,3,1024,0.9699634015560149,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
104,0.1,0.9597433805465698,3,1024,0.9672161281108855,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
105,0.1,0.021295215934515,3,1024,0.03296703472733497,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
106,0.1,0.021295215934515,3,1024,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
107,0.1,0.021295215934515,3,1024,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
108,0.01,0.9574097394943237,3,256,0.9778388440608977,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
109,0.01,0.9568262100219727,3,256,0.978022003173828,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
110,0.01,0.9734540581703186,3,256,0.9846154451370239,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
111,0.01,0.9734539985656738,3,256,0.9877289593219757,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
112,0.01,0.9717037081718445,3,256,0.9811355531215668,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
113,0.01,0.9705368280410767,3,256,0.9800366520881654,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
114,0.01,0.9480747580528259,3,256,0.9642857372760772,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
115,0.01,0.9442825317382812,3,256,0.962820518016815,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
116,0.01,0.912193775177002,3,256,0.9492674171924591,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
117,0.01,0.9349476099014282,3,256,0.9426740407943727,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
118,0.01,0.9270713329315186,3,256,0.9304029941558837,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
119,0.01,0.021295215934515,3,256,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
120,0.01,0.9617853760719299,3,512,0.9787545919418336,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
121,0.01,0.9702451229095459,3,512,0.9805861055850983,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
122,0.01,0.9731622934341431,3,512,0.982967072725296,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
123,0.01,0.9754960536956787,3,512,0.9849817216396332,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
124,0.01,0.9717037081718445,3,512,0.9813187062740326,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
125,0.01,0.9717037677764893,3,512,0.9778388559818267,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
126,0.01,0.9477829933166504,3,512,0.9694139063358307,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
127,0.01,0.9372813105583191,3,512,0.9597069621086122,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
128,0.01,0.9218204021453857,3,512,0.9428571820259093,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
129,0.01,0.8591015934944153,3,512,0.8774725615978242,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
130,0.01,0.9270712733268738,3,512,0.9304029941558837,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
131,0.01,0.021295215934515,3,512,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
132,0.01,0.9530339241027832,3,1024,0.9820513129234314,0.0,2,<function dropout at 0x7fd42ee63a60>,rect
133,0.01,0.9743291735649109,3,1024,0.9879121124744414,0.0,3,<function dropout at 0x7fd42ee63a60>,rect
134,0.01,0.9617853760719299,3,1024,0.9835165441036224,0.0,4,<function dropout at 0x7fd42ee63a60>,rect
135,0.01,0.9778296947479248,3,1024,0.9855311572551727,0.0,8,<function dropout at 0x7fd42ee63a60>,rect
136,0.01,0.9658694267272949,3,1024,0.9791209161281585,0.0,16,<function dropout at 0x7fd42ee63a60>,rect
137,0.01,0.9714120030403137,3,1024,0.9809524118900299,0.0,32,<function dropout at 0x7fd42ee63a60>,rect
138,0.01,0.9381564855575562,3,1024,0.9725274741649628,0.5,2,<function dropout at 0x7fd42ee63a60>,rect
139,0.01,0.9296966791152954,3,1024,0.9498168528079987,0.5,3,<function dropout at 0x7fd42ee63a60>,rect
140,0.01,0.8591016530990601,3,1024,0.906959754228592,0.5,4,<function dropout at 0x7fd42ee63a60>,rect
141,0.01,0.8299300670623779,3,1024,0.8617216408252716,0.5,8,<function dropout at 0x7fd42ee63a60>,rect
142,0.01,0.021295215934515,3,1024,0.03296703472733497,0.5,16,<function dropout at 0x7fd42ee63a60>,rect
143,0.01,0.021295215934515,3,1024,0.03296703472733497,0.5,32,<function dropout at 0x7fd42ee63a60>,rect
