,layerForm,activationFn,valAccuracy,nlayers,testAccuracy,nstart,dR,dropoutFn,learningrate
26,cone,3,0.5794444799423217,3,0.52173912525177,256,0.0,<function dropout at 0x7f805b732a60>,0.1
27,cone,3,0.5605555951595307,3,0.5054348111152649,256,0.0,<function dropout at 0x7f805b732a60>,0.01
28,cone,3,0.4888889193534851,3,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,10.0
29,cone,3,0.4888889193534851,3,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,1.0
30,cone,3,0.5633333742618561,3,0.508152186870575,256,0.5,<function dropout at 0x7f805b732a60>,0.1
31,cone,3,0.4572222471237183,3,0.44565218687057495,256,0.5,<function dropout at 0x7f805b732a60>,0.01
32,cone,3,0.4888889193534851,3,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,10.0
33,cone,3,0.4011111378669739,3,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,1.0
34,cone,3,0.5877778172492981,3,0.49728262424468994,512,0.0,<function dropout at 0x7f805b732a60>,0.1
35,cone,3,0.5955556035041809,3,0.5271739363670349,512,0.0,<function dropout at 0x7f805b732a60>,0.01
36,cone,3,0.4888889193534851,3,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,10.0
37,cone,3,0.38611114025115967,3,0.34510868787765503,512,0.5,<function dropout at 0x7f805b732a60>,1.0
38,cone,3,0.5638889312744141,3,0.5271739363670349,512,0.5,<function dropout at 0x7f805b732a60>,0.1
39,cone,3,0.5188889503479004,3,0.4945652484893799,512,0.5,<function dropout at 0x7f805b732a60>,0.01
40,cone,3,0.4888889193534851,3,0.4293478727340698,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
41,cone,3,0.2277777791023255,3,0.22554346919059753,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
42,cone,3,0.5727778196334838,3,0.47010868787765503,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
43,cone,3,0.5994444787502289,3,0.5163043737411499,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
44,cone,3,0.4888889193534851,3,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
45,cone,3,0.4905555844306946,3,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
46,cone,3,0.5822222769260408,3,0.510869562625885,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
47,cone,3,0.521111136674881,3,0.5,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
48,cone,3,0.4888889193534851,4,0.4293478727340698,256,0.0,<function dropout at 0x7f805b732a60>,10.0
49,cone,3,0.4255555897951126,4,0.3994565010070801,256,0.0,<function dropout at 0x7f805b732a60>,1.0
50,cone,3,0.5822222650051118,4,0.5027173757553101,256,0.0,<function dropout at 0x7f805b732a60>,0.1
51,cone,3,0.6044444799423219,4,0.5353261232376099,256,0.0,<function dropout at 0x7f805b732a60>,0.01
52,cone,3,0.4888889193534851,4,0.4293478727340698,256,0.5,<function dropout at 0x7f805b732a60>,10.0
53,cone,3,0.40888891220092777,4,0.4266304671764374,256,0.5,<function dropout at 0x7f805b732a60>,1.0
54,cone,3,0.5250000417232513,4,0.489130437374115,256,0.5,<function dropout at 0x7f805b732a60>,0.1
55,cone,3,0.4744444727897645,4,0.45108696818351746,256,0.5,<function dropout at 0x7f805b732a60>,0.01
56,cone,3,0.4888889193534851,4,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,10.0
57,cone,3,0.28333336114883423,4,0.34510868787765503,512,0.0,<function dropout at 0x7f805b732a60>,1.0
58,cone,3,0.5583333671092987,4,0.489130437374115,512,0.0,<function dropout at 0x7f805b732a60>,0.1
59,cone,3,0.6027778029441834,4,0.5135869979858398,512,0.0,<function dropout at 0x7f805b732a60>,0.01
60,cone,3,0.4888889193534851,4,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,10.0
61,cone,3,0.35444446802139284,4,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,1.0
62,cone,3,0.5083333790302276,4,0.51902174949646,512,0.5,<function dropout at 0x7f805b732a60>,0.1
63,cone,3,0.49166670143604285,4,0.4945651888847351,512,0.5,<function dropout at 0x7f805b732a60>,0.01
64,cone,3,0.4888889193534851,4,0.42934784293174744,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
65,cone,3,0.395555579662323,4,0.34510868787765503,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
66,cone,3,0.5772222757339478,4,0.4891304075717926,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
67,cone,3,0.6072222769260406,4,0.5353261232376099,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
68,cone,3,0.4888889193534851,4,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
69,cone,3,0.4888889193534851,4,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
70,cone,3,0.5394444823265075,4,0.49184784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
71,cone,3,0.5250000476837158,4,0.49728262424468994,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
72,cone,3,0.4888889193534851,8,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,10.0
73,cone,3,0.4055555820465088,8,0.42934784293174744,256,0.0,<function dropout at 0x7f805b732a60>,1.0
74,cone,3,0.5638889372348785,8,0.5163043737411499,256,0.0,<function dropout at 0x7f805b732a60>,0.1
75,cone,3,0.562777829170227,8,0.5244565606117249,256,0.0,<function dropout at 0x7f805b732a60>,0.01
76,cone,3,0.4888889193534851,8,0.4293478727340698,256,0.5,<function dropout at 0x7f805b732a60>,10.0
77,cone,3,0.46833336353302,8,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,1.0
78,cone,3,0.4888889193534851,8,0.4293478727340698,256,0.5,<function dropout at 0x7f805b732a60>,0.1
79,cone,3,0.4888889193534851,8,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,0.01
80,cone,3,0.46833336353302,8,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,10.0
81,cone,3,0.5361111551523209,8,0.48641306161880493,512,0.0,<function dropout at 0x7f805b732a60>,1.0
82,cone,3,0.5538889169692993,8,0.5,512,0.0,<function dropout at 0x7f805b732a60>,0.1
83,cone,3,0.5783333599567413,8,0.5163043737411499,512,0.0,<function dropout at 0x7f805b732a60>,0.01
84,cone,3,0.4888889193534851,8,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,10.0
85,cone,3,0.4888889193534851,8,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,1.0
86,cone,3,0.4888889193534851,8,0.42934784293174744,512,0.5,<function dropout at 0x7f805b732a60>,0.1
87,cone,3,0.3488889127969742,8,0.36684781312942505,512,0.5,<function dropout at 0x7f805b732a60>,0.01
88,cone,3,0.4888889193534851,8,0.42934784293174744,1024,0.0,<function dropout at 0x7f805b732a60>,10.0
89,cone,3,0.4888889193534851,8,0.4293478727340698,1024,0.0,<function dropout at 0x7f805b732a60>,1.0
90,cone,3,0.5627778172492981,8,0.4836956560611725,1024,0.0,<function dropout at 0x7f805b732a60>,0.1
91,cone,3,0.5655555963516234,8,0.510869562625885,1024,0.0,<function dropout at 0x7f805b732a60>,0.01
92,cone,3,0.4888889193534851,8,0.4293478727340698,1024,0.5,<function dropout at 0x7f805b732a60>,10.0
93,cone,3,0.4888889193534851,8,0.42934784293174744,1024,0.5,<function dropout at 0x7f805b732a60>,1.0
94,cone,3,0.4888889372348786,8,0.44021740555763245,1024,0.5,<function dropout at 0x7f805b732a60>,0.1
95,cone,3,0.5011111557483674,8,0.4130434989929199,1024,0.5,<function dropout at 0x7f805b732a60>,0.01
96,cone,3,0.4888889193534851,16,0.4293478727340698,256,0.0,<function dropout at 0x7f805b732a60>,10.0
97,cone,3,0.5211111545562744,16,0.489130437374115,256,0.0,<function dropout at 0x7f805b732a60>,1.0
98,cone,3,0.5327778100967407,16,0.5271739363670349,256,0.0,<function dropout at 0x7f805b732a60>,0.1
99,cone,3,0.48888892829418185,16,0.489130437374115,256,0.0,<function dropout at 0x7f805b732a60>,0.01
100,cone,3,0.4888889193534851,16,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,10.0
101,cone,3,0.4888889193534851,16,0.42934784293174744,256,0.5,<function dropout at 0x7f805b732a60>,1.0
102,cone,3,0.4888889193534851,16,0.4293478727340698,256,0.5,<function dropout at 0x7f805b732a60>,0.1
103,cone,3,0.4888889223337174,16,0.426630437374115,256,0.5,<function dropout at 0x7f805b732a60>,0.01
104,cone,3,0.4888889193534851,16,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,10.0
105,cone,3,0.46833336353302,16,0.42934784293174744,512,0.0,<function dropout at 0x7f805b732a60>,1.0
106,cone,3,0.5516667068004608,16,0.49184784293174744,512,0.0,<function dropout at 0x7f805b732a60>,0.1
107,cone,3,0.571666705608368,16,0.529891312122345,512,0.0,<function dropout at 0x7f805b732a60>,0.01
108,cone,3,0.4888889193534851,16,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,10.0
109,cone,3,0.4888889193534851,16,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,1.0
110,cone,3,0.4888889193534851,16,0.4293478727340698,512,0.5,<function dropout at 0x7f805b732a60>,0.1
