,nlayers,dropoutFn,activationFn,layerForm,dR,nstart,testAccuracy,valAccuracy,learningrate
62,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.9090909361839294,0.989655166864395,0.1
63,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.8863636255264282,0.8275861740112304,0.01
64,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,10.0
65,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,1.0
66,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.9318182468414307,0.9620689451694487,0.1
67,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.875,0.8275861740112304,0.01
68,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
69,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
70,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.43793102502822867,0.1
71,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.9204545021057129,0.9275861740112303,0.01
72,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,10.0
73,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,1.0
74,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9204545617103577,0.9206896364688872,0.1
75,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9204545617103577,0.965517222881317,0.01
76,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,10.0
77,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
78,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.22068965733051304,0.1
79,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9204545617103577,0.9310344457626342,0.01
80,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,10.0
81,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,1.0
82,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.23793103396892554,0.1
83,8,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9659091234207153,0.9310344457626342,0.01
84,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,10.0
85,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,1.0
86,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.23793103396892554,0.1
87,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.75,0.768965494632721,0.01
88,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,10.0
89,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,1.0
90,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,0.1
91,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.75,0.6241379320621492,0.01
92,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
93,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
94,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,0.1
95,8,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.8409091234207153,0.7551724076271059,0.01
96,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,10.0
97,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,1.0
98,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.23793103396892554,0.1
99,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9318181872367859,0.9310344457626342,0.01
100,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,10.0
101,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
102,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,0.1
103,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9204545617103577,0.9344827234745025,0.01
104,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,10.0
105,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,1.0
106,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,0.1
107,16,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9204545617103577,0.965517222881317,0.01
108,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,10.0
109,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,1.0
110,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,0.1
111,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.6590908765792847,0.8103448092937471,0.01
112,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,10.0
113,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,1.0
114,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,0.1
115,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,0.01
116,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
117,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
118,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,0.1
119,16,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,0.01
120,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,10.0
121,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,1.0
122,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,0.1
123,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.875,0.8620689511299132,0.01
124,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,10.0
125,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
126,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,0.1
127,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9318182468414307,0.8965517282485961,0.01
128,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,10.0
129,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,1.0
130,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,0.1
131,32,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9431817531585693,0.8965517282485961,0.01
132,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,10.0
133,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,1.0
134,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,0.1
135,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,0.01
136,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,10.0
137,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,1.0
138,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,0.1
139,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,0.01
140,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
141,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
142,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,0.1
143,32,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,0.01
