,dropoutFn,layerForm,learningrate,nlayers,nstart,testAccuracy,valAccuracy,dR,activationFn
51,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,512,0.08021390438079834,0.5833333730697632,0.5,3
52,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,1024,0.08021390438079834,0.5833333730697632,0.0,3
53,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,1024,0.08021390438079834,0.5833333730697632,0.5,3
54,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,256,0.08021390438079834,0.5833333730697632,0.0,3
55,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,256,0.08021390438079834,0.5833333730697632,0.5,3
56,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,512,0.08021390438079834,0.5833333730697632,0.0,3
57,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,512,0.08021390438079834,0.5833333730697632,0.5,3
58,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,1024,0.08021390438079834,0.5833333730697632,0.0,3
59,<function dropout at 0x7fbe6a934a60>,rect,1.0,8,1024,0.08021390438079834,0.5833333730697632,0.5,3
60,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,256,0.08021390438079834,0.5833333730697632,0.0,3
61,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,256,0.08021390438079834,0.5833333730697632,0.5,3
62,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,512,0.08021390438079834,0.5833333730697632,0.0,3
63,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,512,0.08021390438079834,0.5833333730697632,0.5,3
64,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,1024,0.08021390438079834,0.5833333730697632,0.0,3
65,<function dropout at 0x7fbe6a934a60>,rect,1.0,16,1024,0.08021390438079834,0.5833333730697632,0.5,3
66,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,256,0.08021390438079834,0.5833333730697632,0.0,3
67,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,256,0.08021390438079834,0.5833333730697632,0.5,3
68,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,512,0.08021390438079834,0.5833333730697632,0.0,3
69,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,512,0.08021390438079834,0.5833333730697632,0.5,3
70,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,1024,0.08021390438079834,0.5833333730697632,0.0,3
71,<function dropout at 0x7fbe6a934a60>,rect,1.0,32,1024,0.08021390438079834,0.5833333730697632,0.5,3
72,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,256,0.5828877091407776,0.6500000178813934,0.0,3
73,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,256,0.5294117331504822,0.5333333671092988,0.5,3
74,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,512,0.5614973306655884,0.6333333611488342,0.0,3
75,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,512,0.5454545617103577,0.5083333611488343,0.5,3
76,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,1024,0.6524064540863037,0.5333333611488342,0.0,3
77,<function dropout at 0x7fbe6a934a60>,rect,0.1,2,1024,0.593582808971405,0.5416666984558106,0.5,3
78,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,256,0.6524064540863037,0.6000000298023224,0.0,3
79,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,256,0.08021390438079834,0.5833333730697632,0.5,3
80,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,512,0.5989304780960083,0.6583333492279053,0.0,3
81,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,512,0.08021390438079834,0.5833333730697632,0.5,3
82,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,1024,0.08021390438079834,0.5833333730697632,0.0,3
83,<function dropout at 0x7fbe6a934a60>,rect,0.1,3,1024,0.08021390438079834,0.5833333730697632,0.5,3
84,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,256,0.08021390438079834,0.5833333730697632,0.0,3
85,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,256,0.08021390438079834,0.5833333730697632,0.5,3
86,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,512,0.08021390438079834,0.5833333730697632,0.0,3
87,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,512,0.08021390438079834,0.5833333730697632,0.5,3
88,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,1024,0.08021390438079834,0.5833333730697632,0.0,3
89,<function dropout at 0x7fbe6a934a60>,rect,0.1,4,1024,0.08021390438079834,0.5833333730697632,0.5,3
90,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,256,0.08021390438079834,0.5833333730697632,0.0,3
91,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,256,0.08021390438079834,0.5833333730697632,0.5,3
92,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,512,0.08021390438079834,0.5833333730697632,0.0,3
93,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,512,0.08021390438079834,0.5833333730697632,0.5,3
94,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,1024,0.08021390438079834,0.5833333730697632,0.0,3
95,<function dropout at 0x7fbe6a934a60>,rect,0.1,8,1024,0.08021390438079834,0.5833333730697632,0.5,3
96,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,256,0.08021390438079834,0.5833333730697632,0.0,3
97,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,256,0.08021390438079834,0.5833333730697632,0.5,3
98,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,512,0.08021390438079834,0.5833333730697632,0.0,3
99,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,512,0.08021390438079834,0.5833333730697632,0.5,3
100,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,1024,0.08021390438079834,0.5833333730697632,0.0,3
101,<function dropout at 0x7fbe6a934a60>,rect,0.1,16,1024,0.08021390438079834,0.5833333730697632,0.5,3
102,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,256,0.08021390438079834,0.5833333730697632,0.0,3
103,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,256,0.08021390438079834,0.5833333730697632,0.5,3
104,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,512,0.08021390438079834,0.5833333730697632,0.0,3
105,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,512,0.08021390438079834,0.5833333730697632,0.5,3
106,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,1024,0.08021390438079834,0.5833333730697632,0.0,3
107,<function dropout at 0x7fbe6a934a60>,rect,0.1,32,1024,0.08021390438079834,0.5833333730697632,0.5,3
108,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,256,0.47593581676483154,0.641666692495346,0.0,3
109,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,256,0.5240641236305237,0.5583333611488343,0.5,3
110,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,512,0.48128342628479004,0.5833333671092988,0.0,3
111,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,512,0.5347593426704407,0.6083333671092988,0.5,3
112,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,1024,0.5133689641952515,0.641666692495346,0.0,3
113,<function dropout at 0x7fbe6a934a60>,rect,0.01,2,1024,0.5347593426704407,0.5416666984558106,0.5,3
114,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,256,0.5508021116256714,0.5833333611488343,0.0,3
115,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,256,0.4331550598144531,0.5833333671092987,0.5,3
116,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,512,0.47593584656715393,0.6666666865348817,0.0,3
117,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,512,0.5508021116256714,0.5500000357627869,0.5,3
118,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,1024,0.5828877091407776,0.5833333611488343,0.0,3
119,<function dropout at 0x7fbe6a934a60>,rect,0.01,3,1024,0.4812834560871124,0.6416666865348816,0.5,3
120,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,256,0.5508021712303162,0.6833333551883697,0.0,3
121,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,256,0.5080214142799377,0.525000023841858,0.5,3
122,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,512,0.51871657371521,0.5666666924953461,0.0,3
123,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,512,0.6844919323921204,0.5500000357627869,0.5,3
124,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,1024,0.6096256375312805,0.6166666924953461,0.0,3
125,<function dropout at 0x7fbe6a934a60>,rect,0.01,4,1024,0.5614973306655884,0.5083333611488343,0.5,3
126,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,256,0.5133689641952515,0.5750000357627869,0.0,3
127,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,256,0.6898395419120789,0.5000000298023224,0.5,3
128,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,512,0.6844919919967651,0.6000000208616256,0.0,3
129,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,512,0.5454545617103577,0.5250000298023224,0.5,3
130,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,1024,0.48128342628479004,0.5666666984558106,0.0,3
131,<function dropout at 0x7fbe6a934a60>,rect,0.01,8,1024,0.22459891438484192,0.5333333671092988,0.5,3
132,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,256,0.374331533908844,0.5333333671092988,0.0,3
133,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,256,0.08021390438079834,0.5833333730697632,0.5,3
134,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,512,0.8342245817184448,0.5333333671092988,0.0,3
135,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,512,0.08021390438079834,0.5833333730697632,0.5,3
136,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,1024,0.6631015539169312,0.5833333671092987,0.0,3
137,<function dropout at 0x7fbe6a934a60>,rect,0.01,16,1024,0.08021390438079834,0.5833333730697632,0.5,3
138,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,256,0.3743315637111664,0.5166666984558106,0.0,3
139,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,256,0.08021390438079834,0.5833333730697632,0.5,3
140,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,512,0.09625668823719025,0.5000000298023225,0.0,3
141,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,512,0.08021390438079834,0.5833333730697632,0.5,3
142,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,1024,0.9197862148284912,0.5166666984558106,0.0,3
143,<function dropout at 0x7fbe6a934a60>,rect,0.01,32,1024,0.08021390438079834,0.5833333730697632,0.5,3
