,nlayers,learningrate,valAccuracy,layerForm,testAccuracy,dropoutFn,activationFn,dR,nstart
32,3,1.0,0.08152173832058907,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
33,3,1.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
34,3,1.0,0.08152173981070521,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
35,3,1.0,0.08152174130082132,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
36,3,0.1,0.9130434453487396,rect,0.9321607351303101,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
37,3,0.1,0.9184782505035403,rect,0.9296481609344482,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
38,3,0.1,0.9402173638343811,rect,0.9447236061096191,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
39,3,0.1,0.9309782147407533,rect,0.9346734285354614,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
40,3,0.1,0.9494565129280089,rect,0.9422110915184021,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
41,3,0.1,0.9374999523162844,rect,0.9321607947349548,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
42,3,0.01,0.9076086461544036,rect,0.9170854091644287,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
43,3,0.01,0.9244564771652223,rect,0.9371859431266785,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
44,3,0.01,0.9239130139350893,rect,0.927135705947876,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
45,3,0.01,0.9173912703990937,rect,0.9170854091644287,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
46,3,0.01,0.9385869443416596,rect,0.9296482801437378,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
47,3,0.01,0.9407608389854432,rect,0.9145727753639221,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
48,4,10.0,0.08152173981070521,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
49,4,10.0,0.08152174130082132,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
50,4,10.0,0.08152173757553101,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
51,4,10.0,0.0815217398107052,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
52,4,10.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
53,4,10.0,0.0815217398107052,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
54,4,1.0,0.08152174204587938,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
55,4,1.0,0.08152174204587938,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
56,4,1.0,0.08152173757553101,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
57,4,1.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
58,4,1.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
59,4,1.0,0.08152174204587938,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
60,4,0.1,0.9233695268630984,rect,0.9346733689308167,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
61,4,0.1,0.9293478608131409,rect,0.9346733689308167,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
62,4,0.1,0.9489130079746246,rect,0.947236180305481,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
63,4,0.1,0.9293477892875673,rect,0.929648220539093,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
64,4,0.1,0.9282608389854432,rect,0.9371859431266785,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
65,4,0.1,0.9510869324207305,rect,0.9422110915184021,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
66,4,0.01,0.9038042843341827,rect,0.9070351123809814,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
67,4,0.01,0.9184781968593596,rect,0.929648220539093,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
68,4,0.01,0.9347825765609742,rect,0.9321607351303101,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
69,4,0.01,0.8978260755538939,rect,0.8869346380233765,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
70,4,0.01,0.9157608747482302,rect,0.9145728349685669,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
71,4,0.01,0.9211956202983858,rect,0.9396985173225403,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
72,8,10.0,0.08152174130082131,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
73,8,10.0,0.08152173832058908,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
74,8,10.0,0.08152173832058908,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
75,8,10.0,0.08152173832058908,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
