,activationFn,valAccuracy,nlayers,learningrate,dR,testAccuracy,layerForm,dropoutFn,nstart
102,3,0.36842104792594915,16,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
103,3,0.36842104792594915,16,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
104,3,0.36842104792594915,16,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
105,3,0.36842104792594915,16,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
106,3,0.36842104792594915,16,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
107,3,0.36842104792594915,16,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
108,3,0.4105263233184814,16,0.1,0.0,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
109,3,0.36842105388641355,16,0.1,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
110,3,0.4842105150222779,16,0.1,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
111,3,0.36842104792594915,16,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
112,3,0.36842104792594915,16,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
113,3,0.36842104792594915,16,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
114,3,0.36842104792594915,16,0.01,0.0,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
115,3,0.4473684251308441,16,0.01,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
116,3,0.28421052694320675,16,0.01,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
117,3,0.38421052396297456,16,0.01,0.5,0.2291666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
118,3,0.06842105314135552,16,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
119,3,0.3736842066049576,16,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
120,3,0.36842104792594915,32,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
121,3,0.36842104792594915,32,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
122,3,0.36842104792594915,32,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
123,3,0.36842104792594915,32,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
124,3,0.36842104792594915,32,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
125,3,0.36842104792594915,32,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
126,3,0.36842104792594915,32,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
127,3,0.36842104792594915,32,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
128,3,0.36842104792594915,32,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
129,3,0.36842104792594915,32,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
130,3,0.36842104792594915,32,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
131,3,0.36842104792594915,32,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
132,3,0.31052632629871374,32,0.1,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
133,3,0.2631578981876373,32,0.1,0.0,0.3333333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
134,3,0.24736843034625058,32,0.1,0.0,0.2291666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
135,3,0.36842104792594915,32,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
136,3,0.36842104792594915,32,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
137,3,0.36842104792594915,32,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
138,3,0.40526316761970516,32,0.01,0.0,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
139,3,0.4263157933950424,32,0.01,0.0,0.3958333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
140,3,0.38947369158267975,32,0.01,0.0,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,1024
141,3,0.36842104792594915,32,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
142,3,0.36842104792594915,32,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
143,3,0.36842104792594915,32,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
