,layerForm,valAccuracy,dR,testAccuracy,nlayers,nstart,dropoutFn,activationFn,learningrate
63,cone,0.9937213242053986,0.0,0.9947530031204224,32,256,<function dropout at 0x7f441aa56a60>,3,0.01
64,cone,0.3328973025083542,0.0,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,10.0
65,cone,0.3328973025083542,0.0,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,1.0
66,cone,0.4364944338798524,0.0,0.32901236414909363,32,512,<function dropout at 0x7f441aa56a60>,3,0.1
67,cone,0.9965989828109741,0.0,0.9932098388671875,32,512,<function dropout at 0x7f441aa56a60>,3,0.01
68,cone,0.3328972935676575,0.0,0.33364200592041016,32,1024,<function dropout at 0x7f441aa56a60>,3,10.0
69,cone,0.33289729952812197,0.0,0.33364197611808777,32,1024,<function dropout at 0x7f441aa56a60>,3,1.0
70,cone,0.47789401412010196,0.0,0.33364200592041016,32,1024,<function dropout at 0x7f441aa56a60>,3,0.1
71,cone,0.9973184227943421,0.0,0.9959875345230103,32,1024,<function dropout at 0x7f441aa56a60>,3,0.01
72,cone,0.33289729654788974,0.5,0.33364197611808777,2,256,<function dropout at 0x7f441aa56a60>,3,10.0
73,cone,0.8974492788314818,0.5,0.896913468837738,2,256,<function dropout at 0x7f441aa56a60>,3,1.0
74,cone,0.9451274931430815,0.5,0.962962806224823,2,256,<function dropout at 0x7f441aa56a60>,3,0.1
75,cone,0.9155656814575196,0.5,0.9311727285385132,2,256,<function dropout at 0x7f441aa56a60>,3,0.01
76,cone,0.3328973025083542,0.5,0.33364197611808777,2,512,<function dropout at 0x7f441aa56a60>,3,10.0
77,cone,0.33289729952812197,0.5,0.33364197611808777,2,512,<function dropout at 0x7f441aa56a60>,3,1.0
78,cone,0.9595159530639649,0.5,0.9700616598129272,2,512,<function dropout at 0x7f441aa56a60>,3,0.1
79,cone,0.9234793722629547,0.5,0.9376542568206787,2,512,<function dropout at 0x7f441aa56a60>,3,0.01
80,cone,0.33289729654788974,0.5,0.33364197611808777,2,1024,<function dropout at 0x7f441aa56a60>,3,10.0
81,cone,0.3328973025083542,0.5,0.33364200592041016,2,1024,<function dropout at 0x7f441aa56a60>,3,1.0
82,cone,0.9668410301208497,0.5,0.9771603941917419,2,1024,<function dropout at 0x7f441aa56a60>,3,0.1
83,cone,0.9419228136539458,0.5,0.9567899703979492,2,1024,<function dropout at 0x7f441aa56a60>,3,0.01
84,cone,0.3328972935676575,0.5,0.33364197611808777,3,256,<function dropout at 0x7f441aa56a60>,3,10.0
85,cone,0.33289729952812197,0.5,0.33364200592041016,3,256,<function dropout at 0x7f441aa56a60>,3,1.0
86,cone,0.9447350919246673,0.5,0.9577159285545349,3,256,<function dropout at 0x7f441aa56a60>,3,0.1
87,cone,0.9021582305431366,0.5,0.9225307703018188,3,256,<function dropout at 0x7f441aa56a60>,3,0.01
88,cone,0.3328973025083542,0.5,0.33364200592041016,3,512,<function dropout at 0x7f441aa56a60>,3,10.0
89,cone,0.33289729952812197,0.5,0.33364197611808777,3,512,<function dropout at 0x7f441aa56a60>,3,1.0
90,cone,0.967625880241394,0.5,0.9793209433555603,3,512,<function dropout at 0x7f441aa56a60>,3,0.1
91,cone,0.9154348909854889,0.5,0.9314814209938049,3,512,<function dropout at 0x7f441aa56a60>,3,0.01
92,cone,0.33289729952812197,0.5,0.33364197611808777,3,1024,<function dropout at 0x7f441aa56a60>,3,10.0
93,cone,0.3328973054885864,0.5,0.33364197611808777,3,1024,<function dropout at 0x7f441aa56a60>,3,1.0
94,cone,0.9805101215839386,0.5,0.9885801076889038,3,1024,<function dropout at 0x7f441aa56a60>,3,0.1
95,cone,0.9304119884967804,0.5,0.9453703165054321,3,1024,<function dropout at 0x7f441aa56a60>,3,0.01
96,cone,0.33289729952812197,0.5,0.33364197611808777,4,256,<function dropout at 0x7f441aa56a60>,3,10.0
97,cone,0.33289729654788974,0.5,0.33364197611808777,4,256,<function dropout at 0x7f441aa56a60>,3,1.0
98,cone,0.9214518785476685,0.5,0.9453701972961426,4,256,<function dropout at 0x7f441aa56a60>,3,0.1
99,cone,0.9071942150592804,0.5,0.9157406687736511,4,256,<function dropout at 0x7f441aa56a60>,3,0.01
100,cone,0.3328973025083542,0.5,0.33364197611808777,4,512,<function dropout at 0x7f441aa56a60>,3,10.0
101,cone,0.33289729654788974,0.5,0.33364197611808777,4,512,<function dropout at 0x7f441aa56a60>,3,1.0
102,cone,0.9691301047801971,0.5,0.9805554151535034,4,512,<function dropout at 0x7f441aa56a60>,3,0.1
103,cone,0.9122301697731019,0.5,0.9283949732780457,4,512,<function dropout at 0x7f441aa56a60>,3,0.01
104,cone,0.33289729654788974,0.5,0.33364197611808777,4,1024,<function dropout at 0x7f441aa56a60>,3,10.0
105,cone,0.33289729654788974,0.5,0.33364197611808777,4,1024,<function dropout at 0x7f441aa56a60>,3,1.0
106,cone,0.9852190554141997,0.5,0.9885801076889038,4,1024,<function dropout at 0x7f441aa56a60>,3,0.1
107,cone,0.9205362737178802,0.5,0.937345564365387,4,1024,<function dropout at 0x7f441aa56a60>,3,0.01
108,cone,0.33289729356765746,0.5,0.33364200592041016,8,256,<function dropout at 0x7f441aa56a60>,3,10.0
109,cone,0.3328973025083542,0.5,0.33364197611808777,8,256,<function dropout at 0x7f441aa56a60>,3,1.0
110,cone,0.6764551997184753,0.5,0.6626542806625366,8,256,<function dropout at 0x7f441aa56a60>,3,0.1
111,cone,0.7133420288562775,0.5,0.690123438835144,8,256,<function dropout at 0x7f441aa56a60>,3,0.01
112,cone,0.3328973054885864,0.5,0.33364200592041016,8,512,<function dropout at 0x7f441aa56a60>,3,10.0
113,cone,0.33289729952812197,0.5,0.33364200592041016,8,512,<function dropout at 0x7f441aa56a60>,3,1.0
114,cone,0.6748201012611389,0.5,0.6626542806625366,8,512,<function dropout at 0x7f441aa56a60>,3,0.1
115,cone,0.7723348379135132,0.5,0.7577160000801086,8,512,<function dropout at 0x7f441aa56a60>,3,0.01
116,cone,0.3328972905874253,0.5,0.33364197611808777,8,1024,<function dropout at 0x7f441aa56a60>,3,10.0
117,cone,0.33289729952812197,0.5,0.33364197611808777,8,1024,<function dropout at 0x7f441aa56a60>,3,1.0
118,cone,0.6669064462184905,0.5,0.6456789374351501,8,1024,<function dropout at 0x7f441aa56a60>,3,0.1
119,cone,0.6924133062362671,0.5,0.6749998927116394,8,1024,<function dropout at 0x7f441aa56a60>,3,0.01
120,cone,0.3328973054885864,0.5,0.33364197611808777,16,256,<function dropout at 0x7f441aa56a60>,3,10.0
121,cone,0.33289729654788974,0.5,0.33364197611808777,16,256,<function dropout at 0x7f441aa56a60>,3,1.0
122,cone,0.3370176404714585,0.5,0.32901236414909363,16,256,<function dropout at 0x7f441aa56a60>,3,0.1
123,cone,0.36108566522598273,0.5,0.3404321074485779,16,256,<function dropout at 0x7f441aa56a60>,3,0.01
124,cone,0.3328973054885864,0.5,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,10.0
125,cone,0.3328972935676575,0.5,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,1.0
126,cone,0.33289729952812197,0.5,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,0.1
127,cone,0.3663178235292435,0.5,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,0.01
128,cone,0.3328973054885864,0.5,0.33364197611808777,16,1024,<function dropout at 0x7f441aa56a60>,3,10.0
129,cone,0.33289729952812197,0.5,0.33364197611808777,16,1024,<function dropout at 0x7f441aa56a60>,3,1.0
130,cone,0.3328972935676575,0.5,0.33364197611808777,16,1024,<function dropout at 0x7f441aa56a60>,3,0.1
131,cone,0.43139304816722873,0.5,0.392901211977005,16,1024,<function dropout at 0x7f441aa56a60>,3,0.01
132,cone,0.33289729952812197,0.5,0.33364197611808777,32,256,<function dropout at 0x7f441aa56a60>,3,10.0
133,cone,0.33289729654788974,0.5,0.33364197611808777,32,256,<function dropout at 0x7f441aa56a60>,3,1.0
134,cone,0.33289728462696083,0.5,0.33364197611808777,32,256,<function dropout at 0x7f441aa56a60>,3,0.1
135,cone,0.3444080829620361,0.5,0.32901236414909363,32,256,<function dropout at 0x7f441aa56a60>,3,0.01
136,cone,0.3328972935676575,0.5,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,10.0
137,cone,0.3328972905874253,0.5,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,1.0
138,cone,0.33289729952812197,0.5,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,0.1
139,cone,0.3328973025083542,0.5,0.33364197611808777,32,512,<function dropout at 0x7f441aa56a60>,3,0.01
140,cone,0.33289729654788974,0.5,0.33364197611808777,32,1024,<function dropout at 0x7f441aa56a60>,3,10.0
141,cone,0.3328973025083542,0.5,0.33364197611808777,32,1024,<function dropout at 0x7f441aa56a60>,3,1.0
142,cone,0.3328973054885864,0.5,0.33364197611808777,32,1024,<function dropout at 0x7f441aa56a60>,3,0.1
143,cone,0.33289729952812197,0.5,0.33364197611808777,32,1024,<function dropout at 0x7f441aa56a60>,3,0.01
