,dropoutFn,activationFn,testAccuracy,valAccuracy,layerForm,nstart,learningrate,nlayers,dR
21,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,16,0.5
22,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,32,0.0
23,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,32,0.5
24,<function dropout at 0x7f6d7e6e0a60>,3,0.8571428060531616,0.9269231319427489,rect,256,0.1,2,0.0
25,<function dropout at 0x7f6d7e6e0a60>,3,0.8571428060531616,0.8769231140613555,rect,256,0.1,2,0.5
26,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.9461538910865783,rect,256,0.1,3,0.0
27,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.8769230961799621,rect,256,0.1,3,0.5
28,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9615384936332704,rect,256,0.1,4,0.0
29,<function dropout at 0x7f6d7e6e0a60>,3,0.7551020383834839,0.9038462042808533,rect,256,0.1,4,0.5
30,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9615384936332704,rect,256,0.1,8,0.0
31,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,0.1,8,0.5
32,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,0.1,16,0.0
33,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,0.1,16,0.5
34,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,0.1,32,0.0
35,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,0.1,32,0.5
36,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.8384616017341613,rect,256,0.01,2,0.0
37,<function dropout at 0x7f6d7e6e0a60>,3,0.8571428060531616,0.8192308366298674,rect,256,0.01,2,0.5
38,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.9153846740722655,rect,256,0.01,3,0.0
39,<function dropout at 0x7f6d7e6e0a60>,3,0.795918345451355,0.8230769515037537,rect,256,0.01,3,0.5
40,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.9192308306694029,rect,256,0.01,4,0.0
41,<function dropout at 0x7f6d7e6e0a60>,3,0.7551020383834839,0.8730769515037538,rect,256,0.01,4,0.5
42,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.9230769872665404,rect,256,0.01,8,0.0
43,<function dropout at 0x7f6d7e6e0a60>,3,0.6530612111091614,0.8076923608779907,rect,256,0.01,8,0.5
44,<function dropout at 0x7f6d7e6e0a60>,3,0.9591836333274841,0.9615384936332704,rect,256,0.01,16,0.0
45,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,0.01,16,0.5
46,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9230769872665404,rect,256,0.01,32,0.0
47,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,0.01,32,0.5
48,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.3692307829856872,rect,512,10.0,2,0.0
49,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,512,10.0,2,0.5
50,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,3,0.0
51,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,3,0.5
52,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,4,0.0
53,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,4,0.5
54,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,8,0.0
55,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,8,0.5
56,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,16,0.0
57,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,16,0.5
58,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,32,0.0
59,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,10.0,32,0.5
60,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,512,1.0,2,0.0
61,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,512,1.0,2,0.5
62,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,512,1.0,3,0.0
63,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,3,0.5
64,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,4,0.0
65,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,4,0.5
66,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,8,0.0
67,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,8,0.5
68,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,16,0.0
69,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,16,0.5
70,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,32,0.0
71,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,1.0,32,0.5
72,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9307692706584931,rect,512,0.1,2,0.0
73,<function dropout at 0x7f6d7e6e0a60>,3,0.7551020383834839,0.930769270658493,rect,512,0.1,2,0.5
74,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9615384936332704,rect,512,0.1,3,0.0
75,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.8961538970470428,rect,512,0.1,3,0.5
76,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9576923429965974,rect,512,0.1,4,0.0
77,<function dropout at 0x7f6d7e6e0a60>,3,0.6938775777816772,0.7653846561908723,rect,512,0.1,4,0.5
78,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.3692307829856872,rect,512,0.1,8,0.0
79,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.1,8,0.5
80,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.1,16,0.0
81,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.1,16,0.5
82,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.1,32,0.0
83,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.1,32,0.5
84,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.9153846740722654,rect,512,0.01,2,0.0
85,<function dropout at 0x7f6d7e6e0a60>,3,0.8571428060531616,0.8576923370361328,rect,512,0.01,2,0.5
86,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9269231140613557,rect,512,0.01,3,0.0
87,<function dropout at 0x7f6d7e6e0a60>,3,0.8163264989852905,0.8153846502304077,rect,512,0.01,3,0.5
88,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.8923077404499054,rect,512,0.01,4,0.0
89,<function dropout at 0x7f6d7e6e0a60>,3,0.7142857313156128,0.7961538851261138,rect,512,0.01,4,0.5
90,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9461538910865784,rect,512,0.01,8,0.0
91,<function dropout at 0x7f6d7e6e0a60>,3,0.6530612111091614,0.8038462102413177,rect,512,0.01,8,0.5
92,<function dropout at 0x7f6d7e6e0a60>,3,0.9591836333274841,0.9615384936332704,rect,512,0.01,16,0.0
93,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.01,16,0.5
94,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9615384936332704,rect,512,0.01,32,0.0
95,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,512,0.01,32,0.5
96,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.36538462638854974,rect,1024,10.0,2,0.0
97,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.3692307829856872,rect,1024,10.0,2,0.5
98,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,3,0.0
99,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,3,0.5
100,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,4,0.0
101,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,4,0.5
102,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,8,0.0
103,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,8,0.5
104,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,16,0.0
105,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,16,0.5
106,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,32,0.0
107,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,10.0,32,0.5
108,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,2,0.0
109,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,1024,1.0,2,0.5
110,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.3615384697914123,rect,1024,1.0,3,0.0
111,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,3,0.5
112,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,4,0.0
113,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,4,0.5
114,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,8,0.0
115,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,8,0.5
116,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,16,0.0
117,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,16,0.5
118,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,32,0.0
119,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,1.0,32,0.5
120,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9307692766189575,rect,1024,0.1,2,0.0
121,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9269231259822845,rect,1024,0.1,2,0.5
122,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.9576923429965974,rect,1024,0.1,3,0.0
123,<function dropout at 0x7f6d7e6e0a60>,3,0.9387754201889038,0.9192308247089386,rect,1024,0.1,3,0.5
124,<function dropout at 0x7f6d7e6e0a60>,3,0.9387754201889038,0.9346154391765593,rect,1024,0.1,4,0.0
125,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,1024,0.1,4,0.5
126,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,1024,0.1,8,0.0
127,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.1,8,0.5
128,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.1,16,0.0
129,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.1,16,0.5
130,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.1,32,0.0
131,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.1,32,0.5
132,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.8730769634246826,rect,1024,0.01,2,0.0
133,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.8576923429965974,rect,1024,0.01,2,0.5
134,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.8923077523708343,rect,1024,0.01,3,0.0
135,<function dropout at 0x7f6d7e6e0a60>,3,0.8775509595870972,0.8769231140613557,rect,1024,0.01,3,0.5
136,<function dropout at 0x7f6d7e6e0a60>,3,0.8979591131210327,0.934615433216095,rect,1024,0.01,4,0.0
137,<function dropout at 0x7f6d7e6e0a60>,3,0.7142857313156128,0.8961538970470427,rect,1024,0.01,4,0.5
138,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9615384936332704,rect,1024,0.01,8,0.0
139,<function dropout at 0x7f6d7e6e0a60>,3,0.6734693646430969,0.8076923549175262,rect,1024,0.01,8,0.5
140,<function dropout at 0x7f6d7e6e0a60>,3,0.9591836333274841,0.9615384936332704,rect,1024,0.01,16,0.0
141,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.01,16,0.5
142,<function dropout at 0x7f6d7e6e0a60>,3,0.9183672666549683,0.9615384936332704,rect,1024,0.01,32,0.0
143,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,1024,0.01,32,0.5
