,layerForm,testAccuracy,dR,nlayers,valAccuracy,nstart,dropoutFn,learningrate,activationFn
53,cone,0.21739131212234497,0.0,16,0.48571429848670955,512,<function dropout at 0x7f657ef23a60>,1.0,3
54,cone,0.6521738767623901,0.0,16,0.6000000357627868,512,<function dropout at 0x7f657ef23a60>,0.1,3
55,cone,0.6086956262588501,0.0,16,0.642857176065445,512,<function dropout at 0x7f657ef23a60>,0.01,3
56,cone,0.21739131212234497,0.0,16,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
57,cone,0.21739131212234497,0.0,16,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
58,cone,0.6086956262588501,0.0,16,0.5785714507102966,1024,<function dropout at 0x7f657ef23a60>,0.1,3
59,cone,0.52173912525177,0.0,16,0.42142859995365145,1024,<function dropout at 0x7f657ef23a60>,0.01,3
60,cone,0.5652173757553101,0.0,32,0.37142858207225804,256,<function dropout at 0x7f657ef23a60>,10.0,3
61,cone,0.5652173757553101,0.0,32,0.6571428731083869,256,<function dropout at 0x7f657ef23a60>,1.0,3
62,cone,0.52173912525177,0.0,32,0.6285714507102966,256,<function dropout at 0x7f657ef23a60>,0.1,3
63,cone,0.5652173757553101,0.0,32,0.6571428954601289,256,<function dropout at 0x7f657ef23a60>,0.01,3
64,cone,0.21739131212234497,0.0,32,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
65,cone,0.21739131212234497,0.0,32,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
66,cone,0.52173912525177,0.0,32,0.6642857491970062,512,<function dropout at 0x7f657ef23a60>,0.1,3
67,cone,0.47826087474823,0.0,32,0.6142857313156128,512,<function dropout at 0x7f657ef23a60>,0.01,3
68,cone,0.21739131212234497,0.0,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
69,cone,0.21739131212234497,0.0,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
70,cone,0.6086956262588501,0.0,32,0.6142857372760773,1024,<function dropout at 0x7f657ef23a60>,0.1,3
71,cone,0.6521738767623901,0.0,32,0.5785714566707612,1024,<function dropout at 0x7f657ef23a60>,0.01,3
72,cone,0.21739131212234497,0.5,2,0.20000000745058055,256,<function dropout at 0x7f657ef23a60>,10.0,3
73,cone,0.21739131212234497,0.5,2,0.20000000745058055,256,<function dropout at 0x7f657ef23a60>,1.0,3
74,cone,0.52173912525177,0.5,2,0.7142857432365417,256,<function dropout at 0x7f657ef23a60>,0.1,3
75,cone,0.6086956262588501,0.5,2,0.6214286088943481,256,<function dropout at 0x7f657ef23a60>,0.01,3
76,cone,0.21739131212234497,0.5,2,0.19285715371370313,512,<function dropout at 0x7f657ef23a60>,10.0,3
77,cone,0.21739131212234497,0.5,2,0.20000000745058055,512,<function dropout at 0x7f657ef23a60>,1.0,3
78,cone,0.52173912525177,0.5,2,0.6357143104076385,512,<function dropout at 0x7f657ef23a60>,0.1,3
79,cone,0.47826087474823,0.5,2,0.685714316368103,512,<function dropout at 0x7f657ef23a60>,0.01,3
80,cone,0.21739131212234497,0.5,2,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
81,cone,0.21739131212234497,0.5,2,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
82,cone,0.52173912525177,0.5,2,0.6142857372760773,1024,<function dropout at 0x7f657ef23a60>,0.1,3
83,cone,0.52173912525177,0.5,2,0.6857143104076385,1024,<function dropout at 0x7f657ef23a60>,0.01,3
84,cone,0.21739131212234497,0.5,3,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
85,cone,0.21739131212234497,0.5,3,0.20000000745058055,256,<function dropout at 0x7f657ef23a60>,1.0,3
