,nlayers,activationFn,layerForm,nstart,dR,dropoutFn,testAccuracy,learningrate,valAccuracy
90,8,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
91,8,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
92,8,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
93,8,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
94,8,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
95,8,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
96,16,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
97,16,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
98,16,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
99,16,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
100,16,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
101,16,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
102,16,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
103,16,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
104,16,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
105,16,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
106,16,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
107,16,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
108,16,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
109,16,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
110,16,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
111,16,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
112,16,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
113,16,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
114,16,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
115,16,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
116,16,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
117,16,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
118,16,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
119,16,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
120,32,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
121,32,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
122,32,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
123,32,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
124,32,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
125,32,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
126,32,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
127,32,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
128,32,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
129,32,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
130,32,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
131,32,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
132,32,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
133,32,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
134,32,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
135,32,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
136,32,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
137,32,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
138,32,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
139,32,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
140,32,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
141,32,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
142,32,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
143,32,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.01,0.6666666865348815
