,dropoutFn,valAccuracy,activationFn,nstart,layerForm,nlayers,learningrate,testAccuracy,dR
47,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,0.01,0.31976744532585144,0.5
48,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,512,rect,2,10.0,0.31976744532585144,0.0
49,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,512,rect,2,10.0,0.31976744532585144,0.5
50,<function dropout at 0x7fa5b96c9a60>,0.3809523999691009,3,512,rect,2,1.0,0.31976744532585144,0.0
51,<function dropout at 0x7fa5b96c9a60>,0.342857152223587,3,512,rect,2,1.0,0.31976744532585144,0.5
52,<function dropout at 0x7fa5b96c9a60>,0.616666704416275,3,512,rect,2,0.1,0.6337209343910217,0.0
53,<function dropout at 0x7fa5b96c9a60>,0.5904762208461762,3,512,rect,2,0.1,0.6279069781303406,0.5
54,<function dropout at 0x7fa5b96c9a60>,0.6464285790920258,3,512,rect,2,0.01,0.6511628031730652,0.0
55,<function dropout at 0x7fa5b96c9a60>,0.644047647714615,3,512,rect,2,0.01,0.6627907156944275,0.5
56,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,3,10.0,0.31976744532585144,0.0
57,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,3,10.0,0.31976744532585144,0.5
58,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,3,1.0,0.31976744532585144,0.0
59,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,512,rect,3,1.0,0.31976744532585144,0.5
60,<function dropout at 0x7fa5b96c9a60>,0.6511904954910278,3,512,rect,3,0.1,0.6569767594337463,0.0
61,<function dropout at 0x7fa5b96c9a60>,0.6119047939777374,3,512,rect,3,0.1,0.6744186282157898,0.5
62,<function dropout at 0x7fa5b96c9a60>,0.60357146859169,3,512,rect,3,0.01,0.6627907156944275,0.0
63,<function dropout at 0x7fa5b96c9a60>,0.6357143282890321,3,512,rect,3,0.01,0.6744186282157898,0.5
64,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,4,10.0,0.31976744532585144,0.0
65,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,4,10.0,0.31976744532585144,0.5
66,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,4,1.0,0.31976744532585144,0.0
67,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,4,1.0,0.31976744532585144,0.5
68,<function dropout at 0x7fa5b96c9a60>,0.63095241189003,3,512,rect,4,0.1,0.6279069781303406,0.0
69,<function dropout at 0x7fa5b96c9a60>,0.6154762089252472,3,512,rect,4,0.1,0.4476744532585144,0.5
70,<function dropout at 0x7fa5b96c9a60>,0.6226190805435181,3,512,rect,4,0.01,0.6686046719551086,0.0
71,<function dropout at 0x7fa5b96c9a60>,0.5869047880172729,3,512,rect,4,0.01,0.5988371968269348,0.5
72,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,8,10.0,0.31976744532585144,0.0
73,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,8,10.0,0.31976744532585144,0.5
74,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,8,1.0,0.31976744532585144,0.0
75,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,8,1.0,0.31976744532585144,0.5
76,<function dropout at 0x7fa5b96c9a60>,0.3809523999691009,3,512,rect,8,0.1,0.31976744532585144,0.0
77,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,512,rect,8,0.1,0.31976744532585144,0.5
78,<function dropout at 0x7fa5b96c9a60>,0.6452381312847137,3,512,rect,8,0.01,0.6511628031730652,0.0
79,<function dropout at 0x7fa5b96c9a60>,0.535714328289032,3,512,rect,8,0.01,0.5174418687820435,0.5
80,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,16,10.0,0.31976744532585144,0.0
81,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,16,10.0,0.31976744532585144,0.5
82,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,16,1.0,0.31976744532585144,0.0
83,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,16,1.0,0.31976744532585144,0.5
84,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,512,rect,16,0.1,0.31976744532585144,0.0
85,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,16,0.1,0.31976744532585144,0.5
86,<function dropout at 0x7fa5b96c9a60>,0.630952399969101,3,512,rect,16,0.01,0.6569767594337463,0.0
87,<function dropout at 0x7fa5b96c9a60>,0.3892857432365418,3,512,rect,16,0.01,0.3372093141078949,0.5
88,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,10.0,0.31976744532585144,0.0
89,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,10.0,0.31976744532585144,0.5
90,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,1.0,0.31976744532585144,0.0
91,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,1.0,0.31976744532585144,0.5
92,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,0.1,0.31976744532585144,0.0
93,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,0.1,0.31976744532585144,0.5
94,<function dropout at 0x7fa5b96c9a60>,0.6333333790302277,3,512,rect,32,0.01,0.6337209343910217,0.0
95,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,512,rect,32,0.01,0.31976744532585144,0.5
96,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,2,10.0,0.31976744532585144,0.0
97,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,1024,rect,2,10.0,0.31976744532585144,0.5
98,<function dropout at 0x7fa5b96c9a60>,0.35119049251079554,3,1024,rect,2,1.0,0.31976744532585144,0.0
99,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,2,1.0,0.31976744532585144,0.5
100,<function dropout at 0x7fa5b96c9a60>,0.6095238268375397,3,1024,rect,2,0.1,0.5988371968269348,0.0
101,<function dropout at 0x7fa5b96c9a60>,0.616666692495346,3,1024,rect,2,0.1,0.6511628031730652,0.5
102,<function dropout at 0x7fa5b96c9a60>,0.6559524238109589,3,1024,rect,2,0.01,0.6511628031730652,0.0
103,<function dropout at 0x7fa5b96c9a60>,0.6404762148857117,3,1024,rect,2,0.01,0.6511628031730652,0.5
104,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,3,10.0,0.31976744532585144,0.0
105,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,3,10.0,0.31976744532585144,0.5
106,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,1024,rect,3,1.0,0.31976744532585144,0.0
107,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,1024,rect,3,1.0,0.31976744532585144,0.5
108,<function dropout at 0x7fa5b96c9a60>,0.6011905014514923,3,1024,rect,3,0.1,0.5988371968269348,0.0
109,<function dropout at 0x7fa5b96c9a60>,0.6000000268220901,3,1024,rect,3,0.1,0.6976744532585144,0.5
110,<function dropout at 0x7fa5b96c9a60>,0.648809552192688,3,1024,rect,3,0.01,0.6627907156944275,0.0
111,<function dropout at 0x7fa5b96c9a60>,0.576190510392189,3,1024,rect,3,0.01,0.5813953280448914,0.5
112,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,4,10.0,0.31976744532585144,0.0
113,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,4,10.0,0.31976744532585144,0.5
114,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,4,1.0,0.31976744532585144,0.0
115,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,4,1.0,0.31976744532585144,0.5
116,<function dropout at 0x7fa5b96c9a60>,0.6416666984558106,3,1024,rect,4,0.1,0.645348846912384,0.0
117,<function dropout at 0x7fa5b96c9a60>,0.5642857402563095,3,1024,rect,4,0.1,0.6104651093482971,0.5
118,<function dropout at 0x7fa5b96c9a60>,0.6095238387584686,3,1024,rect,4,0.01,0.6686046719551086,0.0
119,<function dropout at 0x7fa5b96c9a60>,0.5809524118900299,3,1024,rect,4,0.01,0.6395348906517029,0.5
120,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,8,10.0,0.31976744532585144,0.0
121,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,8,10.0,0.31976744532585144,0.5
122,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,8,1.0,0.31976744532585144,0.0
123,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,8,1.0,0.31976744532585144,0.5
124,<function dropout at 0x7fa5b96c9a60>,0.3452381134033202,3,1024,rect,8,0.1,0.31976744532585144,0.0
125,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,8,0.1,0.31976744532585144,0.5
126,<function dropout at 0x7fa5b96c9a60>,0.6309524178504944,3,1024,rect,8,0.01,0.6686046719551086,0.0
127,<function dropout at 0x7fa5b96c9a60>,0.5952381223440171,3,1024,rect,8,0.01,0.6162790656089783,0.5
128,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,10.0,0.31976744532585144,0.0
129,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,10.0,0.31976744532585144,0.5
130,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,1.0,0.31976744532585144,0.0
131,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,1.0,0.31976744532585144,0.5
132,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,0.1,0.31976744532585144,0.0
133,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,0.1,0.31976744532585144,0.5
134,<function dropout at 0x7fa5b96c9a60>,0.661904799938202,3,1024,rect,16,0.01,0.5872092843055725,0.0
135,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,16,0.01,0.31976744532585144,0.5
136,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,10.0,0.31976744532585144,0.0
137,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,10.0,0.31976744532585144,0.5
138,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,1.0,0.31976744532585144,0.0
139,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,1.0,0.31976744532585144,0.5
140,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,0.1,0.31976744532585144,0.0
141,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,0.1,0.31976744532585144,0.5
142,<function dropout at 0x7fa5b96c9a60>,0.6654762327671052,3,1024,rect,32,0.01,0.680232584476471,0.0
143,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,1024,rect,32,0.01,0.31976744532585144,0.5
