,dropoutFn,dR,testAccuracy,nstart,learningrate,activationFn,nlayers,valAccuracy,layerForm
90,<function dropout at 0x7f61731caa60>,0.5,0.8177083730697632,256,0.01,3,2,0.8189873099327089,rect
91,<function dropout at 0x7f61731caa60>,0.5,0.8229166865348816,256,0.01,3,3,0.8354430198669436,rect
92,<function dropout at 0x7f61731caa60>,0.5,0.8229166865348816,256,0.01,3,4,0.8392404913902285,rect
93,<function dropout at 0x7f61731caa60>,0.5,0.8333333730697632,256,0.01,3,8,0.8012658059597016,rect
94,<function dropout at 0x7f61731caa60>,0.5,0.40625,256,0.01,3,16,0.2784810185432434,rect
95,<function dropout at 0x7f61731caa60>,0.5,0.5,256,0.01,3,32,0.5316455960273743,rect
96,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,2,0.5316455960273743,rect
97,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,3,0.5316455960273743,rect
98,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,4,0.5316455960273743,rect
99,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,8,0.5316455960273743,rect
100,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,16,0.5316455960273743,rect
101,<function dropout at 0x7f61731caa60>,0.5,0.5,512,10.0,3,32,0.5316455960273743,rect
102,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,2,0.5316455960273743,rect
103,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,3,0.5316455960273743,rect
104,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,4,0.5316455960273743,rect
105,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,8,0.5316455960273743,rect
106,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,16,0.5316455960273743,rect
107,<function dropout at 0x7f61731caa60>,0.5,0.5,512,1.0,3,32,0.5316455960273743,rect
108,<function dropout at 0x7f61731caa60>,0.5,0.8645833730697632,512,0.1,3,2,0.8202531516551973,rect
109,<function dropout at 0x7f61731caa60>,0.5,0.8489583730697632,512,0.1,3,3,0.8303797423839571,rect
110,<function dropout at 0x7f61731caa60>,0.5,0.8697916865348816,512,0.1,3,4,0.8367088556289675,rect
111,<function dropout at 0x7f61731caa60>,0.5,0.5,512,0.1,3,8,0.5316455960273743,rect
112,<function dropout at 0x7f61731caa60>,0.5,0.5,512,0.1,3,16,0.5316455960273743,rect
113,<function dropout at 0x7f61731caa60>,0.5,0.5,512,0.1,3,32,0.5316455960273743,rect
114,<function dropout at 0x7f61731caa60>,0.5,0.8437500596046448,512,0.01,3,2,0.8379746675491335,rect
115,<function dropout at 0x7f61731caa60>,0.5,0.8541666865348816,512,0.01,3,3,0.8253164291381837,rect
116,<function dropout at 0x7f61731caa60>,0.5,0.8541667461395264,512,0.01,3,4,0.835443025827408,rect
