,nlayers,valAccuracy,layerForm,learningrate,dropoutFn,dR,testAccuracy,nstart,activationFn
62,4,0.7599173307418823,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.746391773223877,1024,3
63,4,0.6578511893749238,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.6680412292480469,256,3
64,4,0.6400826096534727,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.6907216310501099,512,3
65,4,0.7301652669906616,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.748453676700592,1024,3
66,4,0.7429751634597779,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7484535574913025,256,3
67,4,0.7442148506641387,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7360824942588806,512,3
68,4,0.7537189960479735,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7484535574913025,1024,3
69,4,0.6140495657920838,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.6309278607368469,256,3
70,4,0.6541322052478791,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.6845361590385437,512,3
71,4,0.6884297192096712,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.7092783451080322,1024,3
72,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
73,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
74,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
75,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
76,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
77,8,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
78,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
79,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
80,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
81,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
82,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
83,8,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
84,8,0.7603305339813233,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7422680258750916,256,3
85,8,0.7524793028831482,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7525773048400879,512,3
86,8,0.7446280658245088,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7340206503868103,1024,3
87,8,0.3223140239715577,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.3525773584842682,256,3
88,8,0.5330578088760375,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.5134021043777466,512,3
89,8,0.5330578327178955,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.5319587588310242,1024,3
90,8,0.7380164921283723,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7340206503868103,256,3
91,8,0.7524792969226837,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7443299293518066,512,3
92,8,0.7842975080013275,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7690721750259399,1024,3
93,8,0.5231404662132264,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.48041242361068726,256,3
94,8,0.49628097712993624,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.49484536051750183,512,3
95,8,0.5173553407192231,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.5134020447731018,1024,3
96,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
97,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
98,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
99,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
100,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
101,16,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
102,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
103,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
104,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
105,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
106,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
107,16,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
108,16,0.7322313785552979,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7195875644683838,256,3
109,16,0.7599173307418824,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7505155205726624,512,3
110,16,0.7376032710075379,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7628865838050842,1024,3
111,16,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
112,16,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
113,16,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
114,16,0.728099149465561,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7381443381309509,256,3
115,16,0.756611531972885,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7525773048400879,512,3
116,16,0.7483470737934113,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7484536170959473,1024,3
117,16,0.383884271979332,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.4041237533092499,256,3
118,16,0.40743799805641173,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.47835054993629456,512,3
119,16,0.1958677560091019,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.2206185758113861,1024,3
120,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
121,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
122,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
123,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
124,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
125,32,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
126,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
127,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
128,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
129,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
130,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
131,32,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
132,32,0.6971073925495147,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7134020328521729,256,3
133,32,0.7392561614513398,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7443299293518066,512,3
134,32,0.7380165040493012,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.6989691257476807,1024,3
135,32,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
136,32,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
137,32,0.07438015937805174,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
138,32,0.6917355120182038,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7072165012359619,256,3
139,32,0.7442148327827455,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7154639363288879,512,3
140,32,0.7202479124069213,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7505155205726624,1024,3
141,32,0.07438015937805174,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
142,32,0.07438015937805174,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
143,32,0.07438015937805174,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
