,dR,nlayers,dropoutFn,learningrate,layerForm,valAccuracy,testAccuracy,nstart,activationFn
32,0.0,4,<function dropout at 0x7f588976aa60>,0.1,rect,0.7500000059604643,0.8219177722930908,1024,3
33,0.0,4,<function dropout at 0x7f588976aa60>,0.01,rect,0.7821428418159486,0.8904109597206116,256,3
34,0.0,4,<function dropout at 0x7f588976aa60>,0.01,rect,0.7142857313156128,0.8767123222351074,512,3
35,0.0,4,<function dropout at 0x7f588976aa60>,0.01,rect,0.7928571403026581,0.8219177722930908,1024,3
36,0.0,8,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
37,0.0,8,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
38,0.0,8,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
39,0.0,8,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
40,0.0,8,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
41,0.0,8,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
42,0.0,8,<function dropout at 0x7f588976aa60>,0.1,rect,0.7535714387893676,0.8630136847496033,256,3
43,0.0,8,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,512,3
44,0.0,8,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,1024,3
45,0.0,8,<function dropout at 0x7f588976aa60>,0.01,rect,0.7571428716182708,0.8082191944122314,256,3
46,0.0,8,<function dropout at 0x7f588976aa60>,0.01,rect,0.7250000119209289,0.8356164693832397,512,3
47,0.0,8,<function dropout at 0x7f588976aa60>,0.01,rect,0.725000011920929,0.8219177722930908,1024,3
48,0.0,16,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
49,0.0,16,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
50,0.0,16,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
51,0.0,16,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
52,0.0,16,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
53,0.0,16,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
54,0.0,16,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,256,3
55,0.0,16,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,512,3
56,0.0,16,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,1024,3
57,0.0,16,<function dropout at 0x7f588976aa60>,0.01,rect,0.6821428894996644,0.7534246444702148,256,3
58,0.0,16,<function dropout at 0x7f588976aa60>,0.01,rect,0.7142857313156127,0.7808219194412231,512,3
59,0.0,16,<function dropout at 0x7f588976aa60>,0.01,rect,0.7142857313156127,0.8493150472640991,1024,3
60,0.0,32,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
61,0.0,32,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
62,0.0,32,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
63,0.0,32,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
64,0.0,32,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
65,0.0,32,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
66,0.0,32,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,256,3
67,0.0,32,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,512,3
68,0.0,32,<function dropout at 0x7f588976aa60>,0.1,rect,0.5714285969734191,0.6438356041908264,1024,3
69,0.0,32,<function dropout at 0x7f588976aa60>,0.01,rect,0.7250000178813935,0.8219177722930908,256,3
70,0.0,32,<function dropout at 0x7f588976aa60>,0.01,rect,0.6928571701049805,0.7808218598365784,512,3
71,0.0,32,<function dropout at 0x7f588976aa60>,0.01,rect,0.725000011920929,0.7534246444702148,1024,3
72,0.5,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
73,0.5,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
74,0.5,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
75,0.5,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
76,0.5,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
77,0.5,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
78,0.5,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.8035714447498323,0.8630136847496033,256,3
79,0.5,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.7607142865657807,0.7534247040748596,512,3
80,0.5,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.7678571581840514,0.7808219194412231,1024,3
81,0.5,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.8214285373687745,0.8493150472640991,256,3
82,0.5,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.8357142746448517,0.7945205569267273,512,3
83,0.5,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.8035714447498322,0.8767123222351074,1024,3
84,0.5,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
85,0.5,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
86,0.5,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
87,0.5,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
88,0.5,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
89,0.5,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
90,0.5,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7892857193946838,0.7945204973220825,256,3
91,0.5,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7428571641445161,0.7808219194412231,512,3
92,0.5,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7321428716182707,0.7945205569267273,1024,3
93,0.5,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.8214285969734192,0.8356164693832397,256,3
94,0.5,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.8000000000000002,0.8082191944122314,512,3
95,0.5,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.807142859697342,0.8082191944122314,1024,3
96,0.5,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
97,0.5,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
98,0.5,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
99,0.5,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
100,0.5,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
101,0.5,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
102,0.5,4,<function dropout at 0x7f588976aa60>,0.1,rect,0.7857142806053161,0.8493150472640991,256,3
103,0.5,4,<function dropout at 0x7f588976aa60>,0.1,rect,0.7857142806053162,0.7945205569267273,512,3
