,valAccuracy,nstart,nlayers,dropoutFn,activationFn,learningrate,testAccuracy,layerForm,dR
114,0.25555557012557983,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
115,0.25555557012557983,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
116,0.830000013113022,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7867298722267151,rect,0.0
117,0.7177778244018554,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7251185178756714,rect,0.5
118,0.8555555999279022,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8104265928268433,rect,0.0
119,0.6877778112888336,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7393364906311035,rect,0.5
120,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
121,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
122,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
123,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
124,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
125,0.25555557012557983,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
126,0.8733333587646486,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8199052214622498,rect,0.0
127,0.6077778279781343,1024,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.6445497870445251,rect,0.5
128,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
129,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
130,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
131,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
132,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
133,0.25555557012557983,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
134,0.8311111390590669,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.800947904586792,rect,0.0
135,0.2611111253499985,1024,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.22748816013336182,rect,0.5
136,0.25555557012557983,1024,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
137,0.25555557012557983,1024,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
138,0.25555557012557983,1024,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
139,0.25555557012557983,1024,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
140,0.25555557012557983,1024,32,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
