,dropoutFn,nstart,valAccuracy,learningrate,layerForm,nlayers,activationFn,dR,testAccuracy
58,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,32,3,0.0,0.009999999776482582
59,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,32,3,0.5,0.009999999776482582
60,<function dropout at 0x7fab5d204a60>,512,0.008791209012269974,1.0,cone,2,3,0.0,0.14499999582767487
61,<function dropout at 0x7fab5d204a60>,512,0.585714328289032,1.0,cone,2,3,0.5,0.5424999594688416
62,<function dropout at 0x7fab5d204a60>,512,0.0005494505632668734,1.0,cone,3,3,0.0,0.009999999776482582
63,<function dropout at 0x7fab5d204a60>,512,0.04450549613684417,1.0,cone,3,3,0.5,0.009999999776482582
64,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,4,3,0.0,0.009999999776482582
65,<function dropout at 0x7fab5d204a60>,512,0.008791209058836102,1.0,cone,4,3,0.5,0.009999999776482582
66,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,8,3,0.0,0.009999999776482582
67,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,8,3,0.5,0.009999999776482582
68,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,16,3,0.0,0.009999999776482582
69,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,16,3,0.5,0.009999999776482582
70,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,32,3,0.0,0.009999999776482582
71,<function dropout at 0x7fab5d204a60>,512,0.0,1.0,cone,32,3,0.5,0.009999999776482582
72,<function dropout at 0x7fab5d204a60>,512,0.8021978497505189,0.1,cone,2,3,0.0,0.8125
73,<function dropout at 0x7fab5d204a60>,512,0.7653846621513367,0.1,cone,2,3,0.5,0.7925000190734863
74,<function dropout at 0x7fab5d204a60>,512,0.8071429014205933,0.1,cone,3,3,0.0,0.7849999666213989
75,<function dropout at 0x7fab5d204a60>,512,0.7917582988739014,0.1,cone,3,3,0.5,0.824999988079071
76,<function dropout at 0x7fab5d204a60>,512,0.8164835631847382,0.1,cone,4,3,0.0,0.8075000047683716
77,<function dropout at 0x7fab5d204a60>,512,0.7736263990402222,0.1,cone,4,3,0.5,0.7875000238418579
78,<function dropout at 0x7fab5d204a60>,512,0.7582417905330658,0.1,cone,8,3,0.0,0.7950000762939453
79,<function dropout at 0x7fab5d204a60>,512,0.0038461540825664997,0.1,cone,8,3,0.5,0.004999999888241291
80,<function dropout at 0x7fab5d204a60>,512,0.7994505822658539,0.1,cone,16,3,0.0,0.7599999904632568
81,<function dropout at 0x7fab5d204a60>,512,0.0,0.1,cone,16,3,0.5,0.009999999776482582
82,<function dropout at 0x7fab5d204a60>,512,0.7450549840927125,0.1,cone,32,3,0.0,0.7649999260902405
83,<function dropout at 0x7fab5d204a60>,512,0.0,0.1,cone,32,3,0.5,0.009999999776482582
84,<function dropout at 0x7fab5d204a60>,512,0.7164835512638091,0.01,cone,2,3,0.0,0.75
85,<function dropout at 0x7fab5d204a60>,512,0.7280220210552215,0.01,cone,2,3,0.5,0.7250000238418579
86,<function dropout at 0x7fab5d204a60>,512,0.7357143402099611,0.01,cone,3,3,0.0,0.7599999904632568
87,<function dropout at 0x7fab5d204a60>,512,0.6615385234355927,0.01,cone,3,3,0.5,0.7024999856948853
88,<function dropout at 0x7fab5d204a60>,512,0.7961538970470429,0.01,cone,4,3,0.0,0.7749999761581421
89,<function dropout at 0x7fab5d204a60>,512,0.5439560890197754,0.01,cone,4,3,0.5,0.5874999761581421
90,<function dropout at 0x7fab5d204a60>,512,0.7576923489570618,0.01,cone,8,3,0.0,0.7599999308586121
91,<function dropout at 0x7fab5d204a60>,512,0.034065936133265494,0.01,cone,8,3,0.5,0.017500000074505806
92,<function dropout at 0x7fab5d204a60>,512,0.7274725615978241,0.01,cone,16,3,0.0,0.6799999475479126
93,<function dropout at 0x7fab5d204a60>,512,0.003846153942868113,0.01,cone,16,3,0.5,0.009999999776482582
94,<function dropout at 0x7fab5d204a60>,512,0.6203297257423402,0.01,cone,32,3,0.0,0.6024999618530273
95,<function dropout at 0x7fab5d204a60>,512,0.0,0.01,cone,32,3,0.5,0.009999999776482582
96,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,2,3,0.0,0.009999999776482582
97,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,2,3,0.5,0.009999999776482582
98,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,3,3,0.0,0.009999999776482582
99,<function dropout at 0x7fab5d204a60>,1024,0.0,10.0,cone,3,3,0.5,0.009999999776482582
