,nstart,nlayers,valAccuracy,dropoutFn,testAccuracy,activationFn,dR,layerForm,learningrate
19,256,4,0.7880478143692019,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.01
20,256,4,0.6812749564647674,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
21,256,4,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
22,256,4,0.7900398373603821,<function dropout at 0x7fb51a8c6a60>,0.7763636112213135,3,0.5,rect,0.1
23,256,4,0.7904382765293123,<function dropout at 0x7fb51a8c6a60>,0.7763636112213135,3,0.5,rect,0.01
24,256,8,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
25,256,8,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
26,256,8,0.7856573820114137,<function dropout at 0x7fb51a8c6a60>,0.7872726917266846,3,0.0,rect,0.1
27,256,8,0.784063756465912,<function dropout at 0x7fb51a8c6a60>,0.7890909314155579,3,0.0,rect,0.01
28,256,8,0.6812749207019805,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
29,256,8,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
30,256,8,0.7888446271419524,<function dropout at 0x7fb51a8c6a60>,0.7818182110786438,3,0.5,rect,0.1
31,256,8,0.7852589905261994,<function dropout at 0x7fb51a8c6a60>,0.7709090709686279,3,0.5,rect,0.01
32,256,16,0.6812749385833741,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
33,256,16,0.6812749207019806,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
34,256,16,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
35,256,16,0.7840637564659121,<function dropout at 0x7fb51a8c6a60>,0.7909091711044312,3,0.0,rect,0.01
36,256,16,0.6812749207019805,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
37,256,16,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
38,256,16,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
39,256,16,0.6812749028205871,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.01
40,256,32,0.6812749385833741,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
41,256,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
42,256,32,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
43,256,32,0.7852589607238771,<function dropout at 0x7fb51a8c6a60>,0.7927272915840149,3,0.0,rect,0.01
44,256,32,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
45,256,32,0.6812748968601227,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
46,256,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
47,256,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.01
48,512,2,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
49,512,2,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
50,512,2,0.785258960723877,<function dropout at 0x7fb51a8c6a60>,0.774545431137085,3,0.0,rect,0.1
51,512,2,0.7884462118148805,<function dropout at 0x7fb51a8c6a60>,0.7909091711044312,3,0.0,rect,0.01
52,512,2,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
53,512,2,0.6812749326229096,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
54,512,2,0.7896414220333099,<function dropout at 0x7fb51a8c6a60>,0.7890908718109131,3,0.5,rect,0.1
55,512,2,0.7884462356567383,<function dropout at 0x7fb51a8c6a60>,0.7709090709686279,3,0.5,rect,0.01
56,512,3,0.6812749326229096,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
57,512,3,0.6812749326229096,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
58,512,3,0.7868526041507722,<function dropout at 0x7fb51a8c6a60>,0.7800000309944153,3,0.0,rect,0.1
59,512,3,0.7868525981903077,<function dropout at 0x7fb51a8c6a60>,0.7872727513313293,3,0.0,rect,0.01
60,512,3,0.6812749207019807,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
61,512,3,0.6812749207019806,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
62,512,3,0.7872510313987733,<function dropout at 0x7fb51a8c6a60>,0.7709090709686279,3,0.5,rect,0.1
63,512,3,0.7896414577960968,<function dropout at 0x7fb51a8c6a60>,0.7890909314155579,3,0.5,rect,0.01
64,512,4,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
65,512,4,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
66,512,4,0.787250989675522,<function dropout at 0x7fb51a8c6a60>,0.7800000905990601,3,0.0,rect,0.1
67,512,4,0.785258972644806,<function dropout at 0x7fb51a8c6a60>,0.7927272915840149,3,0.0,rect,0.01
68,512,4,0.6812749028205871,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
69,512,4,0.6812749266624452,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
70,512,4,0.7860558152198792,<function dropout at 0x7fb51a8c6a60>,0.7709090709686279,3,0.5,rect,0.1
71,512,4,0.790039837360382,<function dropout at 0x7fb51a8c6a60>,0.7818180918693542,3,0.5,rect,0.01
72,512,8,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
73,512,8,0.6812749445438385,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
74,512,8,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
75,512,8,0.7844621539115907,<function dropout at 0x7fb51a8c6a60>,0.7854545712471008,3,0.0,rect,0.01
76,512,8,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
77,512,8,0.6812748908996581,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
78,512,8,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
79,512,8,0.7888446748256683,<function dropout at 0x7fb51a8c6a60>,0.7763636112213135,3,0.5,rect,0.01
80,512,16,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
81,512,16,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
82,512,16,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
83,512,16,0.7860557913780213,<function dropout at 0x7fb51a8c6a60>,0.7890908718109131,3,0.0,rect,0.01
84,512,16,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
85,512,16,0.6812749207019805,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
86,512,16,0.6812749087810517,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
87,512,16,0.6916334748268127,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.01
88,512,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
89,512,32,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
90,512,32,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
91,512,32,0.7844621658325197,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.01
92,512,32,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
93,512,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
94,512,32,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
95,512,32,0.6812749385833741,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.01
96,1024,2,0.6812749207019805,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
97,1024,2,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
98,1024,2,0.7880478024482729,<function dropout at 0x7fb51a8c6a60>,0.7872726917266846,3,0.0,rect,0.1
99,1024,2,0.784063756465912,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.01
100,1024,2,0.6812749028205871,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
101,1024,2,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
102,1024,2,0.7828685283660888,<function dropout at 0x7fb51a8c6a60>,0.7781817317008972,3,0.5,rect,0.1
103,1024,2,0.7864542245864868,<function dropout at 0x7fb51a8c6a60>,0.778181791305542,3,0.5,rect,0.01
104,1024,3,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
105,1024,3,0.6812749385833738,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
106,1024,3,0.7844621658325197,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.1
107,1024,3,0.7772908568382265,<function dropout at 0x7fb51a8c6a60>,0.7727273106575012,3,0.0,rect,0.01
108,1024,3,0.6812749445438385,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
109,1024,3,0.6812749445438384,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
110,1024,3,0.7661354720592498,<function dropout at 0x7fb51a8c6a60>,0.7054545283317566,3,0.5,rect,0.1
111,1024,3,0.7888446331024171,<function dropout at 0x7fb51a8c6a60>,0.778181791305542,3,0.5,rect,0.01
112,1024,4,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
113,1024,4,0.6812749266624449,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
114,1024,4,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
115,1024,4,0.7868526041507722,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.01
116,1024,4,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
117,1024,4,0.681274914741516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
118,1024,4,0.7561753392219543,<function dropout at 0x7fb51a8c6a60>,0.5309090614318848,3,0.5,rect,0.1
119,1024,4,0.7892430186271668,<function dropout at 0x7fb51a8c6a60>,0.7818182110786438,3,0.5,rect,0.01
120,1024,8,0.6812749266624449,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
121,1024,8,0.6812749385833741,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
122,1024,8,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
123,1024,8,0.7844621539115907,<function dropout at 0x7fb51a8c6a60>,0.7854545712471008,3,0.0,rect,0.01
124,1024,8,0.6812749028205871,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
125,1024,8,0.6812748908996581,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
126,1024,8,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
127,1024,8,0.7908366680145265,<function dropout at 0x7fb51a8c6a60>,0.7890908718109131,3,0.5,rect,0.01
128,1024,16,0.681274926662445,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
129,1024,16,0.6812749564647675,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
130,1024,16,0.6812749207019805,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
131,1024,16,0.7844621658325197,<function dropout at 0x7fb51a8c6a60>,0.7909091114997864,3,0.0,rect,0.01
132,1024,16,0.6812749266624449,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
133,1024,16,0.6812749862670899,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
134,1024,16,0.6812749326229094,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
135,1024,16,0.5342629671096801,<function dropout at 0x7fb51a8c6a60>,0.5454545021057129,3,0.5,rect,0.01
136,1024,32,0.6812749564647674,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
137,1024,32,0.6812749087810516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
138,1024,32,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,0.1
139,1024,32,0.7892430305480959,<function dropout at 0x7fb51a8c6a60>,0.7909091711044312,3,0.0,rect,0.01
140,1024,32,0.681274950504303,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
141,1024,32,0.6812749326229096,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
142,1024,32,0.6812748908996581,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.1
143,1024,32,0.6812749445438385,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,0.01
