,dropoutFn,activationFn,dR,nstart,layerForm,nlayers,testAccuracy,valAccuracy,learningrate
80,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,4,0.0,0.0,10.0
81,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,4,0.0,0.0,1.0
82,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,4,0.0,0.0,0.1
83,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,4,0.0,0.0,0.01
84,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,8,0.0,0.0,10.0
85,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,8,0.0,0.0,1.0
86,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,8,0.0,0.0,0.1
87,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,8,0.0,0.0,0.01
88,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,16,0.0,0.0,10.0
89,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,16,0.0,0.0,1.0
90,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,16,0.0,0.0,0.1
91,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,16,0.0,0.0,0.01
92,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,32,0.0,0.0,10.0
93,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,32,0.0,0.0,1.0
94,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,32,0.0,0.0,0.1
95,<function dropout at 0x7fd3ff0dba60>,3,0.5,256,cone,32,0.0,0.0,0.01
96,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,2,0.0,0.0,10.0
97,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,2,0.0,0.0,1.0
98,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,2,0.0,0.0,0.1
99,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,2,0.0,0.0,0.01
100,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,3,0.0,0.0,10.0
101,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,3,0.0,0.0,1.0
102,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,3,0.0,0.0,0.1
103,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,3,0.0,0.0,0.01
104,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,4,0.0,0.0,10.0
105,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,4,0.0,0.0,1.0
106,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,4,0.0,0.0,0.1
107,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,4,0.0,0.0,0.01
108,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,8,0.0,0.0,10.0
109,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,8,0.0,0.0,1.0
110,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,8,0.0,0.0,0.1
111,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,8,0.0,0.0,0.01
112,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,16,0.0,0.0,10.0
113,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,16,0.0,0.0,1.0
114,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,16,0.0,0.0,0.1
115,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,16,0.0,0.0,0.01
116,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,32,0.0,0.0,10.0
117,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,32,0.0,0.0,1.0
118,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,32,0.0,0.0,0.1
119,<function dropout at 0x7fd3ff0dba60>,3,0.5,512,cone,32,0.0,0.0,0.01
120,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,2,0.0,0.0,10.0
121,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,2,0.0,0.0,1.0
122,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,2,0.0,0.0,0.1
123,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,2,0.0,0.0,0.01
124,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,3,0.0,0.0,10.0
125,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,3,0.0,0.0,1.0
126,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,3,0.0,0.0,0.1
127,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,3,0.0,0.0,0.01
128,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,4,0.0,0.0,10.0
129,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,4,0.0,0.0,1.0
130,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,4,0.0,0.0,0.1
131,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,4,0.0,0.0,0.01
132,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,8,0.0,0.0,10.0
133,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,8,0.0,0.0,1.0
134,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,8,0.0,0.0,0.1
135,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,8,0.0,0.0,0.01
136,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,16,0.0,0.0,10.0
137,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,16,0.0,0.0,1.0
138,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,16,0.0,0.0,0.1
139,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,16,0.0,0.0,0.01
140,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,32,0.0,0.0,10.0
141,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,32,0.0,0.0,1.0
142,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,32,0.0,0.0,0.1
143,<function dropout at 0x7fd3ff0dba60>,3,0.5,1024,cone,32,0.0,0.0,0.01
