,learningrate,testAccuracy,activationFn,valAccuracy,dropoutFn,layerForm,nstart,nlayers,dR
79,0.1,0.014999999664723873,3,0.00837438409216702,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.5
80,0.1,0.7824999690055847,3,0.7798029482364653,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.0
81,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.5
82,0.1,0.7599999904632568,3,0.7246305465698243,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.0
83,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.5
84,0.1,0.7875000238418579,3,0.8270936012268068,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.0
85,0.1,0.8149999380111694,3,0.8270936012268066,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.5
86,0.1,0.8250000476837158,3,0.8699507415294647,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.0
87,0.1,0.8125,3,0.8251231670379638,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.5
88,0.1,0.8274999856948853,3,0.8384236395359039,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.0
89,0.1,0.8049999475479126,3,0.8221675157546998,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.5
90,0.1,0.809999942779541,3,0.816256159543991,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.0
91,0.1,0.01249999925494194,3,0.012807881738990542,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.5
92,0.1,0.8075000047683716,3,0.8206896841526031,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.0
93,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.5
94,0.1,0.009999999776482582,3,0.005418719118461012,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.0
95,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.5
96,0.1,0.8075000047683716,3,0.8369458317756652,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.0
97,0.1,0.7999999523162842,3,0.8418719291687012,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.5
98,0.1,0.8324999809265137,3,0.8448276102542878,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.0
99,0.1,0.7975000143051147,3,0.8270936071872711,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.5
100,0.1,0.8174999952316284,3,0.8384236752986908,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.0
101,0.1,0.7999999523162842,3,0.8192118346691132,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.5
102,0.1,0.8349999189376831,3,0.8369458436965943,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.0
103,0.1,0.6499999165534973,3,0.6517241656780243,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.5
104,0.1,0.009999999776482582,3,0.005418719118461012,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.0
105,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.5
106,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.0
107,0.1,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.5
108,0.01,0.7574999332427979,3,0.7300492703914644,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.0
109,0.01,0.6875,3,0.6931034684181213,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.5
110,0.01,0.7675000429153442,3,0.7812807917594911,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.0
111,0.01,0.6924999952316284,3,0.6847290873527527,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.5
112,0.01,0.7849999666213989,3,0.7600985288619995,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.0
113,0.01,0.637499988079071,3,0.6073891639709472,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.5
114,0.01,0.7674999833106995,3,0.7832512557506561,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.0
115,0.01,0.03749999776482582,3,0.05862068869173528,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.5
116,0.01,0.7300000190734863,3,0.7438423633575441,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.0
117,0.01,0.01249999925494194,3,0.01527093593031168,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.5
118,0.01,0.6574999690055847,3,0.6650246620178223,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.0
119,0.01,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.5
120,0.01,0.7749999761581421,3,0.7674876809120178,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.0
121,0.01,0.737500011920929,3,0.7778325319290162,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.5
122,0.01,0.7875000238418579,3,0.7822660326957703,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.0
123,0.01,0.7524999976158142,3,0.7487684965133666,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.5
124,0.01,0.8250000476837158,3,0.8177340090274811,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.0
125,0.01,0.7199999690055847,3,0.7280788362026215,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.5
126,0.01,0.7925000190734863,3,0.8014778554439544,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.0
127,0.01,0.11999998986721039,3,0.11182265728712083,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.5
128,0.01,0.7625000476837158,3,0.7881773710250853,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.0
129,0.01,0.007499999832361937,3,0.00837438404560089,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.5
130,0.01,0.7250000238418579,3,0.7334975838661195,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.0
131,0.01,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.5
132,0.01,0.7999999523162842,3,0.8142857134342194,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.0
133,0.01,0.7799999713897705,3,0.8004926264286041,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.5
134,0.01,0.8075000047683716,3,0.8418719172477722,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.0
135,0.01,0.7924999594688416,3,0.7842364609241486,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.5
136,0.01,0.7999999523162842,3,0.841871929168701,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.0
137,0.01,0.7674999833106995,3,0.7758620619773866,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.5
138,0.01,0.8224999904632568,3,0.8157635509967804,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.0
139,0.01,0.2474999725818634,3,0.22216749340295794,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.5
140,0.01,0.7875000238418579,3,0.8128078758716586,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.0
141,0.01,0.0024999999441206455,3,0.02019704417325556,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.5
142,0.01,0.7799999713897705,3,0.744335013628006,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.0
143,0.01,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.5
