,testAccuracy,nlayers,dropoutFn,layerForm,dR,activationFn,nstart,learningrate,valAccuracy
83,0.7578125,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.7622641742229462
84,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
85,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.3584905862808228
86,0.4453125,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.4792452871799469
87,0.6484375,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.5962264269590378
88,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
89,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.3584905862808228
90,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.3584905862808228
91,0.640625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.6320754766464234
92,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
93,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3584905862808228
94,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.3584905862808228
95,0.703125,8,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.01,0.6849056601524353
96,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,10.0,0.3584905862808228
97,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,1.0,0.3584905862808228
98,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.1,0.3584905862808228
99,0.8125,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.01,0.7415094137191774
100,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,10.0,0.3584905862808228
101,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.3584905862808228
102,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.38679246902465825
103,0.78125,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.7226415395736696
104,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.3584905862808228
105,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.3584905862808228
106,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.3584905862808228
107,0.75,16,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.7584905743598938
108,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
109,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.3584905862808228
110,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.3584905862808228
111,0.609375,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.6018868029117584
112,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
113,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.3584905862808228
114,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.3584905862808228
115,0.609375,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.6452830076217652
116,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
117,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3584905862808228
118,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.3584905862808228
119,0.390625,16,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.01,0.3584905862808228
120,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,10.0,0.3584905862808228
121,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,1.0,0.3584905862808228
122,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.1,0.3584905862808228
123,0.75,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.01,0.7207547068595885
124,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,10.0,0.3584905862808228
125,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.3584905862808228
126,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.3584905862808228
127,0.78125,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.7603773713111878
128,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.3584905862808228
129,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.3584905862808228
130,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.3584905862808228
131,0.765625,32,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.8301886916160583
132,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
133,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.3584905862808228
134,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.3584905862808228
135,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.3584905862808228
136,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
137,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.3584905862808228
138,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.3584905862808228
139,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.3584905862808228
140,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
141,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3584905862808228
142,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.3584905862808228
143,0.390625,32,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.01,0.3584905862808228
