,testAccuracy,nstart,nlayers,activationFn,dR,learningrate,valAccuracy,dropoutFn,layerForm
20,0.30769234895706177,256,4,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
21,0.30769234895706177,256,4,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
22,0.9560439586639404,256,4,3,0.5,0.1,0.984615385532379,<function dropout at 0x7f7cc7cdaa60>,rect
23,0.9670330286026001,256,4,3,0.5,0.01,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
24,0.30769234895706177,256,8,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
25,0.30769234895706177,256,8,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
26,0.9670330286026001,256,8,3,0.0,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
27,0.9560439586639404,256,8,3,0.0,0.01,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
28,0.30769234895706177,256,8,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
29,0.30769234895706177,256,8,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
30,0.30769234895706177,256,8,3,0.5,0.1,0.30000001341104504,<function dropout at 0x7f7cc7cdaa60>,rect
31,0.8021978139877319,256,8,3,0.5,0.01,0.8435897529125213,<function dropout at 0x7f7cc7cdaa60>,rect
32,0.30769234895706177,256,16,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
33,0.30769234895706177,256,16,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
34,0.30769234895706177,256,16,3,0.0,0.1,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
35,0.9450550079345703,256,16,3,0.0,0.01,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
36,0.30769234895706177,256,16,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
37,0.30769234895706177,256,16,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
38,0.30769234895706177,256,16,3,0.5,0.1,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
39,0.17582419514656067,256,16,3,0.5,0.01,0.21025641709566112,<function dropout at 0x7f7cc7cdaa60>,rect
40,0.30769234895706177,256,32,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
41,0.30769234895706177,256,32,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
42,0.30769234895706177,256,32,3,0.0,0.1,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
43,0.9560439586639404,256,32,3,0.0,0.01,0.9743589758872985,<function dropout at 0x7f7cc7cdaa60>,rect
44,0.30769234895706177,256,32,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
45,0.30769234895706177,256,32,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
46,0.30769234895706177,256,32,3,0.5,0.1,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
47,0.30769234895706177,256,32,3,0.5,0.01,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
48,0.30769234895706177,512,2,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
49,0.30769234895706177,512,2,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
50,0.9670330286026001,512,2,3,0.0,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
