,layerForm,dropoutFn,nlayers,dR,learningrate,activationFn,nstart,testAccuracy,valAccuracy
67,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.1,3,512,0.4785478711128235,0.5043956339359282
68,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.1,3,1024,0.49339932203292847,0.4857143431901933
69,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.01,3,256,0.5066006779670715,0.5098901391029357
70,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.01,3,512,0.49174922704696655,0.5032967329025267
71,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.01,3,1024,0.5066006779670715,0.526373654603958
72,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,10.0,3,256,0.49339932203292847,0.48351654410362255
73,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,10.0,3,512,0.49339932203292847,0.48351654410362255
74,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,10.0,3,1024,0.49339932203292847,0.48351654410362255
75,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,1.0,3,256,0.49339932203292847,0.48351654410362255
76,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,1.0,3,512,0.49339932203292847,0.48351654410362255
77,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,1.0,3,1024,0.49339932203292847,0.48351654410362255
78,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.1,3,256,0.49339932203292847,0.4868132442235948
79,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.1,3,512,0.49339932203292847,0.48351654410362255
80,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.1,3,1024,0.49339932203292847,0.48351654410362255
81,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.01,3,256,0.5099009871482849,0.5549450874328612
82,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.01,3,512,0.5033003091812134,0.5285714626312256
83,rect,<function dropout at 0x7fe45d1dfa60>,8,0.0,0.01,3,1024,0.5165016651153564,0.5626374065876006
