,learningrate,testAccuracy,valAccuracy,activationFn,nlayers,nstart,dropoutFn,dR,layerForm
20,10.0,0.3362068831920624,0.3530655503273011,3,8,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
21,10.0,0.3362068831920624,0.3530655503273011,3,8,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
22,10.0,0.3362068831920624,0.3530655562877656,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
23,10.0,0.3362068831920624,0.35306555330753336,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
24,10.0,0.33620691299438477,0.3530655503273011,3,16,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
25,10.0,0.33620691299438477,0.3530655503273011,3,16,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
26,10.0,0.3362068831920624,0.3530655503273011,3,16,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
27,10.0,0.33620691299438477,0.3530655562877656,3,16,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
28,10.0,0.3362068831920624,0.3530655503273011,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
29,10.0,0.3362068831920624,0.3530655503273011,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
30,10.0,0.33620691299438477,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
31,10.0,0.3362068831920624,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
32,10.0,0.3362068831920624,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
33,10.0,0.33620691299438477,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
34,10.0,0.3362068831920624,0.3530655562877656,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
35,10.0,0.3362068831920624,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
36,1.0,0.3362068831920624,0.3530655503273011,3,2,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
37,1.0,0.3362068831920624,0.3530655503273011,3,2,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
38,1.0,0.33620691299438477,0.3530655533075333,3,2,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
39,1.0,0.3362068831920624,0.3530655503273011,3,2,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
40,1.0,0.33620691299438477,0.3530655503273011,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
41,1.0,0.3362068831920624,0.3530655503273011,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
42,1.0,0.33620691299438477,0.3530655503273011,3,3,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
43,1.0,0.33620691299438477,0.3530655503273011,3,3,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
44,1.0,0.3362068831920624,0.3530655503273011,3,3,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
45,1.0,0.3362068831920624,0.3530655503273011,3,3,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
46,1.0,0.33620691299438477,0.3530655503273011,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
47,1.0,0.3362068831920624,0.3530655503273011,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
48,1.0,0.3362068831920624,0.35306555330753336,3,4,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
49,1.0,0.3362068831920624,0.3530655503273011,3,4,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
50,1.0,0.33620691299438477,0.3530655503273011,3,4,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
51,1.0,0.33620691299438477,0.3530655503273011,3,4,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
52,1.0,0.33620691299438477,0.35306556224823005,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
53,1.0,0.3362068831920624,0.3530655503273011,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
54,1.0,0.33620691299438477,0.3530655503273011,3,8,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
55,1.0,0.3362068831920624,0.3530655503273011,3,8,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
56,1.0,0.3362068831920624,0.3530655503273011,3,8,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
57,1.0,0.3362068831920624,0.3530655652284623,3,8,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
58,1.0,0.33620691299438477,0.3530655503273011,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
59,1.0,0.33620691299438477,0.3530655592679978,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
60,1.0,0.3362068831920624,0.35306555330753336,3,16,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
61,1.0,0.3362068831920624,0.3530655533075333,3,16,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
62,1.0,0.3362068831920624,0.35306555330753336,3,16,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
63,1.0,0.3362068831920624,0.3530655503273011,3,16,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
64,1.0,0.3362068831920624,0.35306555330753336,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
65,1.0,0.3362068831920624,0.3530655533075333,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
66,1.0,0.3362068831920624,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
67,1.0,0.3362068831920624,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
68,1.0,0.3362068831920624,0.3530655592679978,3,32,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
69,1.0,0.33620691299438477,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
70,1.0,0.3362068831920624,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
71,1.0,0.3362068831920624,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
72,0.1,0.6484674215316772,0.660042279958725,3,2,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
73,0.1,0.640804648399353,0.6507399380207063,3,2,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
74,0.1,0.6494253277778625,0.6621564447879792,3,2,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
75,0.1,0.6197317838668823,0.6477801144123079,3,2,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
76,0.1,0.6532567143440247,0.6549682736396789,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
77,0.1,0.6398467421531677,0.6207188189029694,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
78,0.1,0.6465516686439514,0.657082450389862,3,3,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
79,0.1,0.6273946166038513,0.649260038137436,3,3,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
80,0.1,0.65421462059021,0.6596194624900819,3,3,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
81,0.1,0.6446360945701599,0.6606765449047088,3,3,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
82,0.1,0.5938697457313538,0.629809719324112,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
83,0.1,0.6226053237915039,0.6433403849601746,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
84,0.1,0.6446360349655151,0.6562367558479308,3,4,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
85,0.1,0.6455938816070557,0.6511627674102782,3,4,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
86,0.1,0.6283524632453918,0.6517970263957977,3,4,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
87,0.1,0.6369732022285461,0.6526427030563355,3,4,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
88,0.1,0.33620691299438477,0.35306555330753336,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
89,0.1,0.3362068831920624,0.3530655503273011,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
90,0.1,0.3362068831920624,0.3530655503273011,3,8,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
91,0.1,0.48467427492141724,0.5505285352468492,3,8,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
92,0.1,0.3362068831920624,0.3530655503273011,3,8,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
93,0.1,0.3362068831920624,0.35306555330753336,3,8,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
94,0.1,0.33620691299438477,0.3530655503273011,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
95,0.1,0.3362068831920624,0.3530655503273011,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
96,0.1,0.3362068831920624,0.3530655503273011,3,16,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
97,0.1,0.3362068831920624,0.3530655503273011,3,16,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
98,0.1,0.33620691299438477,0.3530655652284622,3,16,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
99,0.1,0.3362068831920624,0.3530655503273011,3,16,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
100,0.1,0.3362068831920624,0.3530655503273011,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
101,0.1,0.3362068831920624,0.35306555330753336,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
102,0.1,0.33620691299438477,0.3530655562877656,3,32,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
103,0.1,0.33620691299438477,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
104,0.1,0.3362068831920624,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
105,0.1,0.33620691299438477,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
106,0.1,0.3362068831920624,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
107,0.1,0.3362068831920624,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
108,0.01,0.6475095748901367,0.6689217686653137,3,2,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
109,0.01,0.6398467421531677,0.6505285382270815,3,2,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
110,0.01,0.6503831148147583,0.6608879566192628,3,2,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
111,0.01,0.6340996623039246,0.6568710148334503,3,2,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
112,0.01,0.6340996623039246,0.655602526664734,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
113,0.01,0.640804648399353,0.661733615398407,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
114,0.01,0.648467481136322,0.6636363744735718,3,3,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
115,0.01,0.6398468017578125,0.6403805494308472,3,3,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
116,0.01,0.6465517282485962,0.6572938621044159,3,3,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
117,0.01,0.6369732022285461,0.6543340504169465,3,3,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
118,0.01,0.6417624354362488,0.6509513735771179,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
119,0.01,0.6398467421531677,0.6583509385585785,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
120,0.01,0.6484674215316772,0.6613107681274414,3,4,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
121,0.01,0.6273945569992065,0.6226215660572051,3,4,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
122,0.01,0.6264368295669556,0.6524312913417817,3,4,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
123,0.01,0.6350575089454651,0.6408034145832062,3,4,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
124,0.01,0.6465516686439514,0.6558139503002167,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
125,0.01,0.6398468017578125,0.6598308742046357,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
126,0.01,0.6379310488700867,0.6547568738460542,3,8,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
127,0.01,0.5565134286880493,0.5591966092586517,3,8,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
128,0.01,0.6494252681732178,0.6477801203727723,3,8,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
129,0.01,0.5651340484619141,0.5687103569507599,3,8,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
130,0.01,0.6484674215316772,0.6443974673748016,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
131,0.01,0.5948275327682495,0.5911204874515534,3,8,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
132,0.01,0.6082375645637512,0.6456659615039826,3,16,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
133,0.01,0.29501914978027344,0.34355178773403167,3,16,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
134,0.01,0.6321839094161987,0.6403805255889893,3,16,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
135,0.01,0.4252873361110687,0.41120507121086125,3,16,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
136,0.01,0.6283525228500366,0.6412261962890626,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
137,0.01,0.35823753476142883,0.3401691287755966,3,16,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
138,0.01,0.6206896901130676,0.6437631845474243,3,32,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
139,0.01,0.3362068831920624,0.3530655503273011,3,32,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
140,0.01,0.6091954112052917,0.6429175674915314,3,32,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
141,0.01,0.33620691299438477,0.3530655503273011,3,32,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
142,0.01,0.6283525228500366,0.6386892259120941,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
143,0.01,0.33620691299438477,0.3530655503273011,3,32,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
