,dropoutFn,dR,activationFn,nlayers,layerForm,learningrate,nstart,testAccuracy,valAccuracy
126,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,256,0.1538461595773697,0.33846155107021325
127,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,512,0.1538461595773697,0.3076923191547393
128,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.1,1024,0.1538461595773697,0.3076923191547393
129,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,256,0.769230842590332,0.6153846383094786
130,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,512,0.769230842590332,0.6153846383094786
131,<function dropout at 0x7f3f4e8e3a60>,0.5,3,16,cone,0.01,1024,0.769230842590332,0.5923077166080474
132,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,256,0.1538461595773697,0.3076923191547393
133,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,512,0.1538461595773697,0.3076923191547393
134,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,10.0,1024,0.1538461595773697,0.33846155107021325
135,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,256,0.1538461595773697,0.3076923191547393
136,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,512,0.1538461595773697,0.3076923191547393
137,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,1.0,1024,0.1538461595773697,0.3076923191547393
138,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,256,0.769230842590332,0.6153846383094786
139,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,512,0.1538461595773697,0.3076923191547393
140,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.1,1024,0.1538461595773697,0.3076923191547393
141,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,256,0.6538461446762085,0.41538463830947875
142,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,512,0.1538461595773697,0.21538462340831754
143,<function dropout at 0x7f3f4e8e3a60>,0.5,3,32,cone,0.01,1024,0.1538461595773697,0.3692307829856872
