,learningrate,testAccuracy,layerForm,dropoutFn,nstart,activationFn,dR,valAccuracy,nlayers
22,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,16
23,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,32
24,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4764705926179885,2
25,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4705882370471954,3
26,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4705882370471954,4
27,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4705882370471954,8
28,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4705882370471954,16
29,10.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.5294117927551268,32
30,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,2
31,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,3
32,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,4
33,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,8
34,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,16
35,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,32
36,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,2
37,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,3
38,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.5294117927551268,4
39,1.0,0.8895348310470581,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.823529452085495,8
40,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.5117647260427475,16
41,1.0,0.5639534592628479,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.5494117885828018,32
42,1.0,0.8139535188674927,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.697647088766098,2
43,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4964705944061279,3
44,1.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4976470619440078,4
45,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4929411888122558,8
46,1.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,16
47,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.5235294371843338,32
48,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.5294117927551268,2
49,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.5294117927551268,3
50,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4764705926179885,4
51,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.47411765158176417,8
52,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.5294117927551268,16
53,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.5176470816135406,32
54,1.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,2
55,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4764705926179885,3
56,1.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4764705926179885,4
57,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,8
58,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,16
59,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.5294117927551268,32
60,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.5294117927551268,2
61,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4764705926179885,3
62,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4764705926179885,4
63,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.5070588409900665,8
64,1.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.4705882370471954,16
65,1.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.5541176736354827,32
66,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4764705926179885,2
67,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4764705926179885,3
68,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,4
69,1.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,8
70,1.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,16
71,1.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,32
72,0.1,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8341176867485047,2
73,0.1,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8576470851898195,3
74,0.1,0.8720930218696594,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8470588445663454,4
75,0.1,0.8837209939956665,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8552941441535952,8
76,0.1,0.8197674751281738,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8082353293895721,16
77,0.1,0.8488372564315796,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8270588397979737,32
78,0.1,0.84883713722229,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8270588636398315,2
79,0.1,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8305882930755615,3
80,0.1,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8376470804214478,4
81,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.530588263273239,8
82,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.530588263273239,16
83,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.5294117927551268,32
84,0.1,0.8662790060043335,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8258823752403258,2
85,0.1,0.8779069781303406,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8376470804214478,3
86,0.1,0.8604650497436523,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8400000333786012,4
87,0.1,0.8779069781303406,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8223529636859893,8
88,0.1,0.8488372564315796,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8082353115081786,16
89,0.1,0.883720874786377,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8435294568538666,32
90,0.1,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.8411765038967133,2
91,0.1,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.8400000214576722,3
92,0.1,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.8258823990821837,4
93,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.5294117927551268,8
94,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.5317647337913513,16
95,0.1,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,32
96,0.1,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8400000154972077,2
97,0.1,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8505882561206819,3
98,0.1,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8270588636398315,4
99,0.1,0.8313953280448914,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8282353103160859,8
100,0.1,0.8662790060043335,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8235294342041015,16
101,0.1,0.8720930814743042,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8329412102699281,32
102,0.1,0.8546512126922607,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.829411792755127,2
103,0.1,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.8447059154510499,3
104,0.1,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.8435294508934021,4
105,0.1,0.866279125213623,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.8223530054092406,8
106,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.5294117927551268,16
107,0.1,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.5294117927551268,32
108,0.01,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8564706087112428,2
109,0.01,0.854651153087616,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8705883026123049,3
110,0.01,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8541176557540895,4
111,0.01,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8341176629066468,8
112,0.01,0.8430232405662537,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8400000333786011,16
113,0.01,0.8197674751281738,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.8294118046760558,32
114,0.01,0.8604650497436523,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8317647337913514,2
115,0.01,0.8604651689529419,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8094117879867554,3
116,0.01,0.854651153087616,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.8117647171020507,4
117,0.01,0.6918604969978333,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.6470588922500612,8
118,0.01,0.5232558250427246,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.5658823788166046,16
119,0.01,0.5639535188674927,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.5788235664367676,32
120,0.01,0.8720929622650146,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8364706099033355,2
121,0.01,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8235294222831725,3
122,0.01,0.8662790060043335,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.863529443740845,4
123,0.01,0.8895348310470581,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8117647171020508,8
124,0.01,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8258823692798614,16
125,0.01,0.84883713722229,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.8235294342041016,32
126,0.01,0.8604650497436523,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.847058892250061,2
127,0.01,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.8400000214576722,3
128,0.01,0.8779069781303406,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.829411804676056,4
129,0.01,0.5639535188674927,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.5329412043094635,8
130,0.01,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.5400000274181366,16
131,0.01,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.6258823752403261,32
132,0.01,0.8779069781303406,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8470588803291321,2
133,0.01,0.8662790060043335,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8423529505729677,3
134,0.01,0.8604651689529419,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8423529863357544,4
135,0.01,0.8720930218696594,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8388235569000244,8
136,0.01,0.866279125213623,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.8117647171020507,16
137,0.01,0.8430233001708984,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.0,0.7964706122875215,32
138,0.01,0.8546510934829712,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.8423529863357544,2
139,0.01,0.883720874786377,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.8305882692337037,3
140,0.01,0.8779069185256958,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.847058892250061,4
141,0.01,0.8139535188674927,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.7388235509395601,8
142,0.01,0.4593023359775543,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4835294187068939,16
143,0.01,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,1024,3,0.5,0.4705882370471954,32
