,layerForm,nstart,valAccuracy,dR,testAccuracy,activationFn,learningrate,dropoutFn,nlayers
65,cone,512,0.8026315629482269,0.0,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,32
66,cone,512,0.8421052694320678,0.0,0.8767123222351074,3,0.01,<function dropout at 0x7f57b91f0a60>,2
67,cone,512,0.8578947544097901,0.0,0.8493150472640991,3,0.01,<function dropout at 0x7f57b91f0a60>,3
68,cone,512,0.8684210777282717,0.0,0.8630136847496033,3,0.01,<function dropout at 0x7f57b91f0a60>,4
69,cone,512,0.8421052694320678,0.0,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,8
70,cone,512,0.8421052694320678,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,16
71,cone,512,0.8394736766815185,0.0,0.8082191348075867,3,0.01,<function dropout at 0x7f57b91f0a60>,32
72,cone,512,0.5,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
73,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
74,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
75,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,8
76,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
77,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,32
78,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
79,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,3
80,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,4
81,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,8
82,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
83,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
84,cone,512,0.8368421077728272,0.5,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,2
85,cone,512,0.8421052694320678,0.5,0.8493150472640991,3,0.1,<function dropout at 0x7f57b91f0a60>,3
86,cone,512,0.8631579160690309,0.5,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,4
87,cone,512,0.6868421196937562,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,8
88,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,16
89,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,32
90,cone,512,0.8421052694320678,0.5,0.8767123222351074,3,0.01,<function dropout at 0x7f57b91f0a60>,2
91,cone,512,0.8263157844543456,0.5,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,3
92,cone,512,0.8184210419654846,0.5,0.7397260069847107,3,0.01,<function dropout at 0x7f57b91f0a60>,4
93,cone,512,0.7763158023357392,0.5,0.7397260069847107,3,0.01,<function dropout at 0x7f57b91f0a60>,8
94,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,0.01,<function dropout at 0x7f57b91f0a60>,16
95,cone,512,0.6842105388641359,0.5,0.6438356041908264,3,0.01,<function dropout at 0x7f57b91f0a60>,32
96,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
97,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
98,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
99,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,8
100,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
101,cone,1024,0.6473684310913087,0.0,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,32
102,cone,1024,0.7026315927505494,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
103,cone,1024,0.5736842155456544,0.0,0.3561643958091736,3,1.0,<function dropout at 0x7f57b91f0a60>,3
104,cone,1024,0.6842105388641359,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,4
105,cone,1024,0.5736842155456544,0.0,0.3561643958091736,3,1.0,<function dropout at 0x7f57b91f0a60>,8
106,cone,1024,0.692105269432068,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
107,cone,1024,0.6473684310913087,0.0,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
108,cone,1024,0.8473684310913085,0.0,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,2
109,cone,1024,0.8394736886024474,0.0,0.8493150472640991,3,0.1,<function dropout at 0x7f57b91f0a60>,3
110,cone,1024,0.7921052336692811,0.0,0.835616409778595,3,0.1,<function dropout at 0x7f57b91f0a60>,4
111,cone,1024,0.850000011920929,0.0,0.7534245848655701,3,0.1,<function dropout at 0x7f57b91f0a60>,8
112,cone,1024,0.8657894968986513,0.0,0.835616409778595,3,0.1,<function dropout at 0x7f57b91f0a60>,16
113,cone,1024,0.8394736886024475,0.0,0.7808219194412231,3,0.1,<function dropout at 0x7f57b91f0a60>,32
114,cone,1024,0.8605263352394105,0.0,0.8630136847496033,3,0.01,<function dropout at 0x7f57b91f0a60>,2
115,cone,1024,0.8421052694320678,0.0,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,3
116,cone,1024,0.8500000119209288,0.0,0.8630136847496033,3,0.01,<function dropout at 0x7f57b91f0a60>,4
117,cone,1024,0.8684210777282717,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,8
118,cone,1024,0.8552631616592407,0.0,0.835616409778595,3,0.01,<function dropout at 0x7f57b91f0a60>,16
119,cone,1024,0.8684210777282717,0.0,0.8219177722930908,3,0.01,<function dropout at 0x7f57b91f0a60>,32
120,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,2
121,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,3
122,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,4
123,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,8
124,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,16
125,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,10.0,<function dropout at 0x7f57b91f0a60>,32
126,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,2
127,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,3
128,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,4
129,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,8
130,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,16
131,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,1.0,<function dropout at 0x7f57b91f0a60>,32
132,cone,1024,0.8447368502616882,0.5,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,2
133,cone,1024,0.8605263352394106,0.5,0.8630136847496033,3,0.1,<function dropout at 0x7f57b91f0a60>,3
134,cone,1024,0.85789475440979,0.5,0.8219177722930908,3,0.1,<function dropout at 0x7f57b91f0a60>,4
135,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,8
136,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,16
137,cone,1024,0.6842105388641359,0.5,0.6438356041908264,3,0.1,<function dropout at 0x7f57b91f0a60>,32
