,layerForm,testAccuracy,dropoutFn,dR,activationFn,nstart,learningrate,nlayers,valAccuracy
22,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,16,0.9999999999999999
23,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,32,0.8750000000000001
24,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,2,0.18750000000000006
25,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,3,0.12499999999999999
26,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,4,0.12499999999999999
27,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,8,0.12499999999999999
28,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,16,0.12499999999999999
29,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,10.0,32,0.12499999999999999
30,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,2,0.18750000000000006
31,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,3,0.20000000000000007
32,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,4,0.12499999999999999
33,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,8,0.12499999999999999
34,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,16,0.12499999999999999
35,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,1.0,32,0.12499999999999999
36,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,2,0.9999999999999999
37,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,3,0.9999999999999999
38,rect,0.8974359035491943,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,4,0.9999999999999999
39,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,8,0.26250000000000007
40,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,16,0.12499999999999999
41,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.1,32,0.12499999999999999
42,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,2,0.8875000000000002
43,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,3,0.9999999999999999
44,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,4,0.9999999999999999
45,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,8,0.9999999999999999
46,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,16,0.9999999999999999
47,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.0,3,512,0.01,32,0.9999999999999999
48,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,2,0.1625
49,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,3,0.12499999999999999
50,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,4,0.12499999999999999
51,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,8,0.12499999999999999
52,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,16,0.12499999999999999
53,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,10.0,32,0.12499999999999999
54,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,2,0.12499999999999999
55,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,3,0.20000000000000007
56,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,4,0.12499999999999999
57,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,8,0.12499999999999999
58,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,16,0.12499999999999999
59,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,1.0,32,0.12499999999999999
60,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,2,0.9999999999999999
61,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,3,0.9999999999999999
62,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,4,0.8750000000000001
63,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,8,0.20000000000000007
64,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,16,0.20000000000000007
65,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.1,32,0.12499999999999999
66,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,2,0.9999999999999999
67,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,3,0.9999999999999999
68,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,4,0.9999999999999999
69,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,8,0.9999999999999999
70,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,16,0.9999999999999999
71,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,1024,0.01,32,0.9999999999999999
72,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,2,0.12499999999999999
73,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,3,0.12499999999999999
74,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,4,0.12499999999999999
75,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,8,0.12499999999999999
76,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,16,0.12499999999999999
77,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,10.0,32,0.12499999999999999
78,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,2,0.20000000000000007
79,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,3,0.12499999999999999
80,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,4,0.12499999999999999
81,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,8,0.12499999999999999
82,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,16,0.12499999999999999
83,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,1.0,32,0.12499999999999999
84,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,2,0.9625
85,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,3,0.9625
86,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,4,0.9625
87,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,8,0.12499999999999999
88,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,16,0.12499999999999999
89,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.1,32,0.12499999999999999
90,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,2,0.9999999999999999
91,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,3,0.9999999999999999
92,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,4,0.8750000000000001
93,rect,0.7692307829856873,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,8,0.8499999999999999
94,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,16,0.12499999999999999
95,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,256,0.01,32,0.12499999999999999
96,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,2,0.20000000000000007
97,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,3,0.12499999999999999
98,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,4,0.12499999999999999
99,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,8,0.12499999999999999
100,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,16,0.12499999999999999
101,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,10.0,32,0.12499999999999999
102,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,2,0.20000000000000007
103,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,3,0.12499999999999999
104,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,4,0.12499999999999999
105,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,8,0.12499999999999999
106,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,16,0.12499999999999999
107,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,1.0,32,0.12499999999999999
108,rect,0.8974359035491943,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,2,0.9375000000000001
109,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,3,0.9625
110,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,4,0.5125
111,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,8,0.12499999999999999
112,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,16,0.12499999999999999
113,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.1,32,0.12499999999999999
114,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,2,0.9999999999999999
115,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,3,0.9999999999999999
116,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,4,0.9749999999999999
117,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,8,0.8875000000000001
118,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,16,0.12499999999999999
119,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,512,0.01,32,0.12499999999999999
120,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,2,0.20000000000000007
121,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,3,0.12499999999999999
122,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,4,0.12499999999999999
123,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,8,0.12499999999999999
124,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,16,0.12499999999999999
125,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,10.0,32,0.12499999999999999
126,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,2,0.12499999999999999
127,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,3,0.12499999999999999
128,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,4,0.12499999999999999
129,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,8,0.12499999999999999
130,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,16,0.12499999999999999
131,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,1.0,32,0.12499999999999999
132,rect,0.7179487347602844,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,2,0.9375
133,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,3,0.32500000000000007
134,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,4,0.12499999999999999
135,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,8,0.12499999999999999
136,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,16,0.12499999999999999
137,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.1,32,0.12499999999999999
138,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,2,0.9999999999999999
139,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,3,0.9999999999999999
140,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,4,0.9749999999999999
141,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,8,0.9749999999999999
142,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,16,0.12499999999999999
143,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.5,3,1024,0.01,32,0.12499999999999999
