,learningrate,valAccuracy,nstart,dropoutFn,layerForm,activationFn,testAccuracy,nlayers,dR
88,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
89,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
90,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
91,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
92,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
93,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
94,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
95,0.1,0.4736842215061188,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
96,0.1,0.9473684430122375,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7268518209457397,2,0.0
97,0.1,0.8684210658073427,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.7824074029922485,2,0.5
98,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
99,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
100,0.1,0.4789473801851273,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
101,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
102,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
103,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
104,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
105,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
106,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
107,0.1,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
108,0.01,0.7947368383407591,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.6828703284263611,2,0.0
109,0.01,0.7052631676197052,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.6481481790542603,2,0.5
110,0.01,0.8526315927505493,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7129629850387573,3,0.0
111,0.01,0.7263157844543459,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.6851851940155029,3,0.5
112,0.01,0.9052631855010987,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7685185670852661,4,0.0
