,nstart,nlayers,valAccuracy,activationFn,learningrate,testAccuracy,dropoutFn,dR,layerForm
75,512,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
76,512,8,0.6659090936183929,3,0.1,0.6875,<function dropout at 0x7ffbc4e32a60>,0.0,rect
77,512,8,0.2142045497894287,3,0.1,0.17999997735023499,<function dropout at 0x7ffbc4e32a60>,0.5,rect
78,512,8,0.6409091114997864,3,0.01,0.6549999713897705,<function dropout at 0x7ffbc4e32a60>,0.0,rect
79,512,8,0.06250000111758709,3,0.01,0.06499999761581421,<function dropout at 0x7ffbc4e32a60>,0.5,rect
80,512,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
81,512,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
82,512,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
83,512,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
84,512,16,0.6937500417232513,3,0.1,0.6574999094009399,<function dropout at 0x7ffbc4e32a60>,0.0,rect
85,512,16,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
86,512,16,0.6619318366050719,3,0.01,0.6899999380111694,<function dropout at 0x7ffbc4e32a60>,0.0,rect
87,512,16,0.00681818202137947,3,0.01,0.017500000074505806,<function dropout at 0x7ffbc4e32a60>,0.5,rect
88,512,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
89,512,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
90,512,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
91,512,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
92,512,32,0.0005681818351149559,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
93,512,32,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
94,512,32,0.6414772808551787,3,0.01,0.6625000238418579,<function dropout at 0x7ffbc4e32a60>,0.0,rect
95,512,32,0.0,3,0.01,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
96,1024,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
97,1024,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
98,1024,2,0.0005681818351149559,3,1.0,0.017500000074505806,<function dropout at 0x7ffbc4e32a60>,0.0,rect
99,1024,2,0.0005681818351149559,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
100,1024,2,0.658522742986679,3,0.1,0.6474999785423279,<function dropout at 0x7ffbc4e32a60>,0.0,rect
101,1024,2,0.634090930223465,3,0.1,0.6174999475479126,<function dropout at 0x7ffbc4e32a60>,0.5,rect
102,1024,2,0.5420454740524293,3,0.01,0.5699999928474426,<function dropout at 0x7ffbc4e32a60>,0.0,rect
103,1024,2,0.5119318306446077,3,0.01,0.5099999904632568,<function dropout at 0x7ffbc4e32a60>,0.5,rect
104,1024,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
105,1024,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
106,1024,3,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
107,1024,3,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
108,1024,3,0.6573863863945006,3,0.1,0.6824999451637268,<function dropout at 0x7ffbc4e32a60>,0.0,rect
109,1024,3,0.6511363804340362,3,0.1,0.6374999284744263,<function dropout at 0x7ffbc4e32a60>,0.5,rect
110,1024,3,0.5409090995788575,3,0.01,0.5699999928474426,<function dropout at 0x7ffbc4e32a60>,0.0,rect
111,1024,3,0.48920456469058987,3,0.01,0.4899999499320984,<function dropout at 0x7ffbc4e32a60>,0.5,rect
112,1024,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
113,1024,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
114,1024,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
115,1024,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
116,1024,4,0.6670454919338226,3,0.1,0.6749999523162842,<function dropout at 0x7ffbc4e32a60>,0.0,rect
117,1024,4,0.6426136672496795,3,0.1,0.6749999523162842,<function dropout at 0x7ffbc4e32a60>,0.5,rect
118,1024,4,0.6147727310657501,3,0.01,0.6199999451637268,<function dropout at 0x7ffbc4e32a60>,0.0,rect
119,1024,4,0.488636377453804,3,0.01,0.4950000047683716,<function dropout at 0x7ffbc4e32a60>,0.5,rect
120,1024,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
121,1024,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
122,1024,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
123,1024,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
124,1024,8,0.0051136363297700875,3,0.1,0.03999999910593033,<function dropout at 0x7ffbc4e32a60>,0.0,rect
125,1024,8,0.0022727273404598235,3,0.1,0.017499998211860657,<function dropout at 0x7ffbc4e32a60>,0.5,rect
126,1024,8,0.6284090995788574,3,0.01,0.6674998998641968,<function dropout at 0x7ffbc4e32a60>,0.0,rect
127,1024,8,0.07386363931000234,3,0.01,0.09749999642372131,<function dropout at 0x7ffbc4e32a60>,0.5,rect
128,1024,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
129,1024,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
130,1024,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
131,1024,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
132,1024,16,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
133,1024,16,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
134,1024,16,0.6562500536441802,3,0.01,0.7050000429153442,<function dropout at 0x7ffbc4e32a60>,0.0,rect
135,1024,16,0.010227273032069203,3,0.01,0.01249999925494194,<function dropout at 0x7ffbc4e32a60>,0.5,rect
136,1024,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
137,1024,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
138,1024,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
139,1024,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
140,1024,32,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
141,1024,32,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
142,1024,32,0.673863649368286,3,0.01,0.6725000143051147,<function dropout at 0x7ffbc4e32a60>,0.0,rect
143,1024,32,0.0,3,0.01,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
