,dR,learningrate,layerForm,testAccuracy,nlayers,nstart,activationFn,valAccuracy,dropoutFn
35,0.0,1.0,rect,0.7637733817100525,32,1024,3,0.7517905831336977,<function dropout at 0x7f95c6548a60>
36,0.0,0.1,rect,0.8522198796272278,2,256,3,0.8477186262607576,<function dropout at 0x7f95c6548a60>
37,0.0,0.1,rect,0.8493945598602295,2,512,3,0.8521384954452513,<function dropout at 0x7f95c6548a60>
38,0.0,0.1,rect,0.8457092642784119,2,1024,3,0.8495192766189574,<function dropout at 0x7f95c6548a60>
39,0.0,0.1,rect,0.8506230115890503,3,256,3,0.8502150237560271,<function dropout at 0x7f95c6548a60>
40,0.0,0.1,rect,0.8433138132095337,3,512,3,0.848823595046997,<function dropout at 0x7f95c6548a60>
41,0.0,0.1,rect,0.8364346623420715,3,1024,3,0.8454268097877503,<function dropout at 0x7f95c6548a60>
42,0.0,0.1,rect,0.8455249667167664,4,256,3,0.8488031148910523,<function dropout at 0x7f95c6548a60>
43,0.0,0.1,rect,0.8447879552841187,4,512,3,0.8493556261062621,<function dropout at 0x7f95c6548a60>
44,0.0,0.1,rect,0.8474904298782349,4,1024,3,0.8468387186527252,<function dropout at 0x7f95c6548a60>
45,0.0,0.1,rect,0.846507728099823,8,256,3,0.8465727150440217,<function dropout at 0x7f95c6548a60>
46,0.0,0.1,rect,0.7637733817100525,8,512,3,0.75179061293602,<function dropout at 0x7f95c6548a60>
47,0.0,0.1,rect,0.7637733221054077,8,1024,3,0.7517906248569489,<function dropout at 0x7f95c6548a60>
48,0.0,0.1,rect,0.7637733817100525,16,256,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
49,0.0,0.1,rect,0.7637733817100525,16,512,3,0.7517906069755557,<function dropout at 0x7f95c6548a60>
50,0.0,0.1,rect,0.7637733817100525,16,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
51,0.0,0.1,rect,0.7637733221054077,32,256,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
52,0.0,0.1,rect,0.7637733817100525,32,512,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
53,0.0,0.1,rect,0.7637733221054077,32,1024,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
54,0.0,0.01,rect,0.8500702381134033,2,256,3,0.8473093569278716,<function dropout at 0x7f95c6548a60>
55,0.0,0.01,rect,0.8462006449699402,2,512,3,0.848005086183548,<function dropout at 0x7f95c6548a60>
56,0.0,0.01,rect,0.8460163474082947,2,1024,3,0.8471047461032867,<function dropout at 0x7f95c6548a60>
57,0.0,0.01,rect,0.8474904298782349,3,256,3,0.8504401206970216,<function dropout at 0x7f95c6548a60>
58,0.0,0.01,rect,0.8474904894828796,3,512,3,0.8490077555179596,<function dropout at 0x7f95c6548a60>
59,0.0,0.01,rect,0.8449721932411194,3,1024,3,0.8477800011634827,<function dropout at 0x7f95c6548a60>
60,0.0,0.01,rect,0.8506843447685242,4,256,3,0.8499285697937012,<function dropout at 0x7f95c6548a60>
61,0.0,0.01,rect,0.8486575484275818,4,512,3,0.8498262107372282,<function dropout at 0x7f95c6548a60>
62,0.0,0.01,rect,0.847981870174408,4,1024,3,0.849335151910782,<function dropout at 0x7f95c6548a60>
63,0.0,0.01,rect,0.8483504056930542,8,256,3,0.848966830968857,<function dropout at 0x7f95c6548a60>
64,0.0,0.01,rect,0.8436824083328247,8,512,3,0.8490282118320466,<function dropout at 0x7f95c6548a60>
65,0.0,0.01,rect,0.8396285772323608,8,1024,3,0.8476367592811584,<function dropout at 0x7f95c6548a60>
66,0.0,0.01,rect,0.8484731912612915,16,256,3,0.8503378212451935,<function dropout at 0x7f95c6548a60>
67,0.0,0.01,rect,0.8453407287597656,16,512,3,0.8470024108886718,<function dropout at 0x7f95c6548a60>
68,0.0,0.01,rect,0.8451564311981201,16,1024,3,0.8412320077419282,<function dropout at 0x7f95c6548a60>
69,0.0,0.01,rect,0.8388915061950684,32,256,3,0.8415389120578766,<function dropout at 0x7f95c6548a60>
70,0.0,0.01,rect,0.8372330665588379,32,512,3,0.8395335972309113,<function dropout at 0x7f95c6548a60>
71,0.0,0.01,rect,0.8414711356163025,32,1024,3,0.8420095920562745,<function dropout at 0x7f95c6548a60>
72,0.5,10.0,rect,0.7637733817100525,2,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
73,0.5,10.0,rect,0.7637733817100525,2,512,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
74,0.5,10.0,rect,0.7637733817100525,2,1024,3,0.751790601015091,<function dropout at 0x7f95c6548a60>
75,0.5,10.0,rect,0.7637733817100525,3,256,3,0.7517905712127687,<function dropout at 0x7f95c6548a60>
76,0.5,10.0,rect,0.7637733817100525,3,512,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
77,0.5,10.0,rect,0.7637733817100525,3,1024,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
78,0.5,10.0,rect,0.7637733817100525,4,256,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
79,0.5,10.0,rect,0.7637733817100525,4,512,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
80,0.5,10.0,rect,0.7637733817100525,4,1024,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
81,0.5,10.0,rect,0.7637733817100525,8,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
82,0.5,10.0,rect,0.7637733817100525,8,512,3,0.75179061293602,<function dropout at 0x7f95c6548a60>
83,0.5,10.0,rect,0.7637733817100525,8,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
84,0.5,10.0,rect,0.7637733817100525,16,256,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
85,0.5,10.0,rect,0.7637733817100525,16,512,3,0.751790601015091,<function dropout at 0x7f95c6548a60>
86,0.5,10.0,rect,0.7637733817100525,16,1024,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
87,0.5,10.0,rect,0.7637733817100525,32,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
88,0.5,10.0,rect,0.7637733817100525,32,512,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
89,0.5,10.0,rect,0.7637733817100525,32,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
90,0.5,1.0,rect,0.7637733817100525,2,256,3,0.7517906308174134,<function dropout at 0x7f95c6548a60>
91,0.5,1.0,rect,0.7637733817100525,2,512,3,0.7517905712127686,<function dropout at 0x7f95c6548a60>
92,0.5,1.0,rect,0.7637733817100525,2,1024,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
93,0.5,1.0,rect,0.7637733817100525,3,256,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
94,0.5,1.0,rect,0.7637733817100525,3,512,3,0.7517906188964846,<function dropout at 0x7f95c6548a60>
95,0.5,1.0,rect,0.7637733817100525,3,1024,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
96,0.5,1.0,rect,0.7637733817100525,4,256,3,0.7517905592918397,<function dropout at 0x7f95c6548a60>
97,0.5,1.0,rect,0.7637733817100525,4,512,3,0.7517905950546265,<function dropout at 0x7f95c6548a60>
98,0.5,1.0,rect,0.7637733817100525,4,1024,3,0.7517905771732332,<function dropout at 0x7f95c6548a60>
99,0.5,1.0,rect,0.7637733817100525,8,256,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
100,0.5,1.0,rect,0.7637733817100525,8,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
101,0.5,1.0,rect,0.7637733817100525,8,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
102,0.5,1.0,rect,0.7637733817100525,16,256,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
103,0.5,1.0,rect,0.7637733817100525,16,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
104,0.5,1.0,rect,0.7637733817100525,16,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
105,0.5,1.0,rect,0.7637733817100525,32,256,3,0.751790624856949,<function dropout at 0x7f95c6548a60>
106,0.5,1.0,rect,0.7637733221054077,32,512,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
107,0.5,1.0,rect,0.7637733817100525,32,1024,3,0.75179061293602,<function dropout at 0x7f95c6548a60>
108,0.5,0.1,rect,0.8496402502059937,2,256,3,0.8458360612392426,<function dropout at 0x7f95c6548a60>
109,0.5,0.1,rect,0.8409799337387085,2,512,3,0.8426234364509583,<function dropout at 0x7f95c6548a60>
110,0.5,0.1,rect,0.8453406691551208,2,1024,3,0.8399019360542298,<function dropout at 0x7f95c6548a60>
111,0.5,0.1,rect,0.8356361389160156,3,256,3,0.8446287631988525,<function dropout at 0x7f95c6548a60>
112,0.5,0.1,rect,0.8151214718818665,3,512,3,0.8393699169158937,<function dropout at 0x7f95c6548a60>
113,0.5,0.1,rect,0.8297396898269653,3,1024,3,0.8347658455371857,<function dropout at 0x7f95c6548a60>
114,0.5,0.1,rect,0.8420239686965942,4,256,3,0.8432782292366028,<function dropout at 0x7f95c6548a60>
115,0.5,0.1,rect,0.8423311114311218,4,512,3,0.8363414645195006,<function dropout at 0x7f95c6548a60>
116,0.5,0.1,rect,0.8116204738616943,4,1024,3,0.8207081317901613,<function dropout at 0x7f95c6548a60>
117,0.5,0.1,rect,0.816902756690979,8,256,3,0.8379989206790924,<function dropout at 0x7f95c6548a60>
118,0.5,0.1,rect,0.8234133124351501,8,512,3,0.8348886370658875,<function dropout at 0x7f95c6548a60>
119,0.5,0.1,rect,0.7637733817100525,8,1024,3,0.7517905712127687,<function dropout at 0x7f95c6548a60>
120,0.5,0.1,rect,0.7637733817100525,16,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
121,0.5,0.1,rect,0.7637733817100525,16,512,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
122,0.5,0.1,rect,0.7637733817100525,16,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
123,0.5,0.1,rect,0.7637733221054077,32,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
124,0.5,0.1,rect,0.7637733817100525,32,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
125,0.5,0.1,rect,0.7637733817100525,32,1024,3,0.7517906188964846,<function dropout at 0x7f95c6548a60>
126,0.5,0.01,rect,0.8462006449699402,2,256,3,0.8473707377910613,<function dropout at 0x7f95c6548a60>
127,0.5,0.01,rect,0.8373559713363647,2,512,3,0.8399223864078523,<function dropout at 0x7f95c6548a60>
128,0.5,0.01,rect,0.8471219539642334,2,1024,3,0.8458155930042267,<function dropout at 0x7f95c6548a60>
129,0.5,0.01,rect,0.8404884338378906,3,256,3,0.8419276952743531,<function dropout at 0x7f95c6548a60>
130,0.5,0.01,rect,0.8405498266220093,3,512,3,0.8419686198234557,<function dropout at 0x7f95c6548a60>
131,0.5,0.01,rect,0.8430681228637695,3,1024,3,0.8430940687656403,<function dropout at 0x7f95c6548a60>
132,0.5,0.01,rect,0.8368031978607178,4,256,3,0.8383262872695922,<function dropout at 0x7f95c6548a60>
133,0.5,0.01,rect,0.8333635926246643,4,512,3,0.8392471373081207,<function dropout at 0x7f95c6548a60>
134,0.5,0.01,rect,0.8298625946044922,4,1024,3,0.8367097675800323,<function dropout at 0x7f95c6548a60>
135,0.5,0.01,rect,0.7806642651557922,8,256,3,0.772150719165802,<function dropout at 0x7f95c6548a60>
136,0.5,0.01,rect,0.805724024772644,8,512,3,0.8264785528182984,<function dropout at 0x7f95c6548a60>
137,0.5,0.01,rect,0.831091046333313,8,1024,3,0.8392062187194825,<function dropout at 0x7f95c6548a60>
138,0.5,0.01,rect,0.7637733817100525,16,256,3,0.7517906129360201,<function dropout at 0x7f95c6548a60>
139,0.5,0.01,rect,0.7637733221054077,16,512,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
140,0.5,0.01,rect,0.7637733817100525,16,1024,3,0.7517906069755556,<function dropout at 0x7f95c6548a60>
141,0.5,0.01,rect,0.7637733817100525,32,256,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
142,0.5,0.01,rect,0.7637733221054077,32,512,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
143,0.5,0.01,rect,0.7637733817100525,32,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
