,dR,valAccuracy,testAccuracy,activationFn,nstart,dropoutFn,nlayers,learningrate,layerForm
90,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,0.1,rect
91,0.5,0.6309734404087066,0.6274510025978088,3,256,<function dropout at 0x7f442f77aa60>,16,0.01,rect
92,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,10.0,rect
93,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,1.0,rect
94,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,0.1,rect
95,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,0.01,rect
96,0.5,0.39469026625156395,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,2,10.0,rect
97,0.5,0.39026548564434044,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,2,1.0,rect
98,0.5,0.8194690167903901,0.7607843279838562,3,512,<function dropout at 0x7f442f77aa60>,2,0.1,rect
99,0.5,0.7566371500492096,0.7529411911964417,3,512,<function dropout at 0x7f442f77aa60>,2,0.01,rect
100,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,3,10.0,rect
101,0.5,0.39026548564434044,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,3,1.0,rect
102,0.5,0.8486725747585296,0.7529411911964417,3,512,<function dropout at 0x7f442f77aa60>,3,0.1,rect
103,0.5,0.7592920362949371,0.7098039388656616,3,512,<function dropout at 0x7f442f77aa60>,3,0.01,rect
104,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,4,10.0,rect
105,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,4,1.0,rect
106,0.5,0.7787610590457916,0.6901960968971252,3,512,<function dropout at 0x7f442f77aa60>,4,0.1,rect
107,0.5,0.7566371798515321,0.6666666865348816,3,512,<function dropout at 0x7f442f77aa60>,4,0.01,rect
108,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,10.0,rect
109,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,1.0,rect
110,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,0.1,rect
111,0.5,0.6973451137542724,0.5764706134796143,3,512,<function dropout at 0x7f442f77aa60>,8,0.01,rect
112,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,10.0,rect
113,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,1.0,rect
114,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,0.1,rect
115,0.5,0.6327433526515961,0.6705882549285889,3,512,<function dropout at 0x7f442f77aa60>,16,0.01,rect
116,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,10.0,rect
117,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,1.0,rect
118,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,0.1,rect
119,0.5,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,0.01,rect
120,0.5,0.39026548564434044,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,2,10.0,rect
121,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,2,1.0,rect
122,0.5,0.8070796370506287,0.7411764860153198,3,1024,<function dropout at 0x7f442f77aa60>,2,0.1,rect
123,0.5,0.7946902573108673,0.7647058963775635,3,1024,<function dropout at 0x7f442f77aa60>,2,0.01,rect
124,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,3,10.0,rect
125,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,3,1.0,rect
126,0.5,0.7867256581783295,0.6627451181411743,3,1024,<function dropout at 0x7f442f77aa60>,3,0.1,rect
127,0.5,0.7761061787605286,0.6980392336845398,3,1024,<function dropout at 0x7f442f77aa60>,3,0.01,rect
128,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,4,10.0,rect
129,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,4,1.0,rect
130,0.5,0.8123893916606902,0.7843137383460999,3,1024,<function dropout at 0x7f442f77aa60>,4,0.1,rect
131,0.5,0.7548672616481782,0.6901960968971252,3,1024,<function dropout at 0x7f442f77aa60>,4,0.01,rect
132,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,10.0,rect
133,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,1.0,rect
134,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,0.1,rect
135,0.5,0.6831858217716217,0.5490196347236633,3,1024,<function dropout at 0x7f442f77aa60>,8,0.01,rect
136,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,10.0,rect
137,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,1.0,rect
138,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,0.1,rect
139,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,0.01,rect
140,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,10.0,rect
141,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,1.0,rect
142,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,0.1,rect
143,0.5,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,0.01,rect
