,dropoutFn,layerForm,dR,learningrate,valAccuracy,nstart,nlayers,activationFn,testAccuracy
38,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.95,256,4,3,0.8125000596046448
39,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.9999999999999999,256,8,3,0.8125
40,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8500000000000001,256,16,3,0.7708333134651184
41,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.61875,256,32,3,0.5972222089767456
42,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8875000000000001,512,2,3,0.7314814925193787
43,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.49999999999999994,512,3,3,0.506944477558136
44,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.5750000000000001,512,4,3,0.5578703880310059
45,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.625,512,8,3,0.5
46,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8,512,16,3,0.5347222685813904
47,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.37499999999999994,512,32,3,0.4560185372829437
48,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.525,1024,2,3,0.4583333134651184
49,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.525,1024,3,3,0.493055522441864
50,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.49999999999999994,1024,4,3,0.46296292543411255
51,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.5,1024,8,3,0.5740740895271301
52,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8,1024,16,3,0.6458333134651184
53,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.6625,1024,32,3,0.4976852238178253
54,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8500000000000001,256,2,3,0.6157407164573669
55,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8875000000000002,256,3,3,0.6342592835426331
56,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8562500000000001,256,4,3,0.6180555820465088
57,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8250000000000001,256,8,3,0.5925925970077515
58,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9999999999999999,256,16,3,0.6828703880310059
59,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8375,256,32,3,0.6643518805503845
60,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8374999999999999,512,2,3,0.6736111044883728
61,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8562500000000002,512,3,3,0.6574074029922485
62,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9125000000000001,512,4,3,0.6967592239379883
63,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9937499999999999,512,8,3,0.7152777910232544
64,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.95625,512,16,3,0.7037037014961243
65,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.86875,512,32,3,0.6597222685813904
66,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9125,1024,2,3,0.6481481790542603
67,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.8812500000000002,1024,3,3,0.7037037014961243
68,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9062500000000001,1024,4,3,0.703703761100769
69,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9625,1024,8,3,0.6828703284263611
70,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.9437500000000001,1024,16,3,0.6712962985038757
71,<function dropout at 0x7f6c16353a60>,cone,0.0,0.01,0.6437499999999999,1024,32,3,0.45370370149612427
72,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,2,3,0.5
73,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,3,3,0.5
74,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,4,3,0.5
75,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,8,3,0.5
76,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,16,3,0.5
77,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,256,32,3,0.5
78,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,2,3,0.5
79,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,3,3,0.5
80,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,4,3,0.5
81,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,8,3,0.5
82,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,16,3,0.5
83,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,512,32,3,0.5
84,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,2,3,0.5
85,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,3,3,0.5
86,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,4,3,0.5
87,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,8,3,0.5
88,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,16,3,0.5
89,<function dropout at 0x7f6c16353a60>,cone,0.5,10.0,0.625,1024,32,3,0.5
90,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,2,3,0.5
91,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,3,3,0.5
92,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,4,3,0.5
93,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,8,3,0.5
94,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,16,3,0.5
95,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,256,32,3,0.5
96,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,512,2,3,0.5
97,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,512,3,3,0.5
98,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,512,4,3,0.5
99,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,512,8,3,0.5
100,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,512,16,3,0.5
101,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.475,512,32,3,0.5000000596046448
102,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,2,3,0.5
103,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,3,3,0.5
104,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,4,3,0.5
105,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,8,3,0.5
106,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,16,3,0.5
107,<function dropout at 0x7f6c16353a60>,cone,0.5,1.0,0.625,1024,32,3,0.5
108,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.8625,256,2,3,0.6759259700775146
109,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.575,256,3,3,0.5925925970077515
110,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.75,256,4,3,0.47453707456588745
111,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,256,8,3,0.5
112,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,256,16,3,0.5
113,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.48124999999999996,256,32,3,0.5115740895271301
114,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.7562500000000001,512,2,3,0.6157407164573669
115,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.83125,512,3,3,0.6574074029922485
116,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.47500000000000003,512,4,3,0.4930555820465088
117,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.6000000000000001,512,8,3,0.5
118,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,512,16,3,0.5
119,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.4937499999999999,512,32,3,0.5208333134651184
120,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.5875,1024,2,3,0.409722238779068
121,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.5499999999999999,1024,3,3,0.5509259104728699
122,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,1024,4,3,0.5
123,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,1024,8,3,0.5
124,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,1024,16,3,0.5
125,<function dropout at 0x7f6c16353a60>,cone,0.5,0.1,0.625,1024,32,3,0.5
126,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.85625,256,2,3,0.6087963581085205
127,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.71875,256,3,3,0.6342592835426331
128,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.8625000000000002,256,4,3,0.6828703880310059
129,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.37499999999999994,256,8,3,0.5208333730697632
130,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.6250000000000001,256,16,3,0.5694444179534912
131,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.60625,256,32,3,0.5185185074806213
132,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.93125,512,2,3,0.6620370149612427
133,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.5999999999999999,512,3,3,0.5370370149612427
134,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.38749999999999996,512,4,3,0.4861111640930176
135,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.6312500000000001,512,8,3,0.5393518805503845
136,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.38749999999999996,512,16,3,0.506944477558136
137,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.5312499999999999,512,32,3,0.43518519401550293
138,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.93125,1024,2,3,0.6597222089767456
139,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.9125000000000001,1024,3,3,0.6689814925193787
140,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.73125,1024,4,3,0.5717592239379883
141,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.40624999999999994,1024,8,3,0.49768516421318054
142,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.625,1024,16,3,0.5
143,<function dropout at 0x7f6c16353a60>,cone,0.5,0.01,0.625,1024,32,3,0.5
